House number,Street name,Postal code,Latitude,Longitude
525,South Schwartz Avenue,87401,36.7255151,-108.2160069
1101,West Murray Drive,87401,36.7254735,-108.2241976
1220,West Apache Street,87401,36.7350539,-108.2275540
1001,West Broadway Avenue,87401,36.7255825,-108.2221243
730,West Main Street,87401,36.7294984,-108.2169370
5150,East Main Street,87402,36.7694521,-108.1445765
1001,Farmington Avenue,87401,36.7410733,-108.1801270
4337,East Main Street,87402,36.7618167,-108.1548500
1206,East Murray Drive,87401,36.7202814,-108.1906442
4450,East Main Street,87402-8654,36.7641104,-108.1545250
3030,East Main Street,87402,36.7455573,-108.1652840
727,West Broadway,87401,36.7277950,-108.2155979
5420,Bloomfield Highway,87401,36.7147406,-108.1478154
5420,Bloomfield Highway,87401,36.7148532,-108.1478253
5418,Bloomfield Highway,87401,36.7154754,-108.1491204
635,East Main Street,87401,36.7321297,-108.1942601
501,Airport Drive,87401,36.7345238,-108.2207130
216,West Main Street,87401,36.7296809,-108.2075183
2001,San Juan Boulevard,87401,36.7357383,-108.1810560
5800,College Boulevard,87402,36.7838206,-108.1539560
701,East 20th Street,87401,36.7475341,-108.1970304
5501,East Main Street,87402,36.7706731,-108.1397578
5501,East Main Street,87402,36.7705474,-108.1396880
3341,East Main Street,87402,36.7484890,-108.1604063
3341,East Main Street,87402,36.7485669,-108.1604660
4110,East Main Street,87402,36.7586029,-108.1564708
4110,East Main Street,87402,36.7585379,-108.1565144
2615,East Main Street,87401,36.7405050,-108.1712953
2615,East Main Street,87401,36.7404233,-108.1714482
2603,East 20th Street,87401,36.7478533,-108.1728382
2603,East 20th Street,87401,36.7479404,-108.1728301
3001,Bloomfield Highway,87401,36.7190003,-108.1719073
3001,Bloomfield Highway,87401,36.7188476,-108.1719059
507,East Broadway,87401,36.7282166,-108.1961464
531,East Broadway,87401,36.7279913,-108.1939272
507,East Broadway,87401,36.7281188,-108.1961451
2700,West Main Street,87401,36.7333922,-108.2439721
2700,West Main Street,87401,36.7333492,-108.2435402
301,East 20th Street,87401,36.7480559,-108.2018116
301,East 20th Street,87401,36.7481676,-108.2018733
727,West Broadway,87401,36.7276603,-108.2155318
531,East Broadway,87401,36.7281515,-108.1939151
1020,Highway 371,87401,36.7229385,-108.2224821
1020,Highway 371,87401,36.7226794,-108.2223896
2100,San Juan Blvd,87401,36.7373506,-108.1793662
2610,West Main Street,87401,36.7330418,-108.2430487
4001,East Main Street,87401,36.7563874,-108.1541080
1351,Bloomfield Highway,87401,36.7261155,-108.1907584
121,West Main Street,87401,36.7289104,-108.2062220
3120,North Butler Avenue,87401,36.7564057,-108.1963052
3180,North Butler Avenue,87401,36.7570479,-108.1961408
3030,East Main Street,87401,36.7454724,-108.1661098
801,West Maple Street,87401,36.7238103,-108.2168626
900,Municipal Drive,87401,36.7385670,-108.2162424
1308,East 20th Street,87401,36.7485572,-108.1907336
3530,East Main Street,87402,36.7510300,-108.1614355
3540,East Main Street,87401,36.7515487,-108.1611421
3540,East Main Street,87401,36.7504731,-108.1594779
5451,Pinon Hills Boulevard,87402,36.7725955,-108.1421326
4200,Sierra Vista Drive,87402,36.7669651,-108.1445884
4909,East Main Street,87402,36.7659374,-108.1464149
600,East 20th Street,87401,36.7494351,-108.1986486
5200,East Main Street,87402,36.7703018,-108.1446398
801,West Maple Street,87401,36.7233082,-108.2165874
1300,West Navajo Street,87401,36.7385381,-108.2293337
2900,East Main Street,87402,36.7432189,-108.1678562
332,East Main Street,87401,36.7295442,-108.2024002
1500,Bloomfield Boulevard,87401,36.7255905,-108.1882093
560,Scott Avenue,87401,36.7302666,-108.1889638
1601,East Broadway Avenue,87401,36.7239391,-108.1886431
1901,East Broadway Avenue,87401,36.7202516,-108.1851515
1951,Cortland Drive,87401,36.7218620,-108.1839222
3700,Bloomfield Highway,87401,36.7194498,-108.1627073
777,South Browning Parkway,87401,36.7230882,-108.1589626
400,West Main Street,87401,36.7292124,-108.2096229
219,East Main Street,87401,36.7287558,-108.2037457
232,West Broadway Street,87401,36.7283962,-108.2078041
3100,East Main Street,87401,36.7463927,-108.1643531
527,East Main Street,87401,36.7299833,-108.1982320
532,East Main Street,87401,36.7307638,-108.1981208
1213,18th Street,87401,36.7466452,-108.1921782
5444,Bloomfield Highway,87401,36.7137695,-108.1447314
5424,Bloomfield Highway,87401,36.7169448,-108.1470353
5426,Bloomfield Highway,87401,36.7183091,-108.1473681
5422,Bloomfield Highway,87401,36.7155815,-108.1482125
4420,Bloomfield Highway,87401,36.7154694,-108.1489901
1150,Madison Road,87401,36.7162339,-108.1503240
4050,Bloomfield Highway,87401,36.7176545,-108.1541950
3924,Bloomfield Highway,87401,36.7184963,-108.1551354
3900,Bloomfield Highway,87401,36.7199342,-108.1606388
3650,Bloomfield Highway,87401,36.7196338,-108.1634342
3220,Bloomfield Highway,87401,36.7195573,-108.1668856
3300,Bloomfield Highway,87401,36.7196639,-108.1672732
3125,Bloomfield Highway,87401,36.7188167,-108.1680310
3125,Bloomfield Highway,87401,36.7185589,-108.1682996
3125,Bloomfield Highway,87401,36.7188082,-108.1677452
