House number,Street name,Postal code,Latitude,Longitude
501,South Telshor Boulevard,88011,32.3150802,-106.7441124
2580,South Don Roser Drive,88004,32.2884002,-106.7370797
945,East University Avenue,88001,32.2841419,-106.7567987
2001,East Lohman,88001,32.3107424,-106.7584938
1733,East University Avenue,88011,32.2873428,-106.7451197
1701,East University Avenue,88001,32.2869550,-106.7469359
2580,Don Roser Avenue,88011,32.2883221,-106.7371596
3800,East Lohman Avenue,88011,32.3178094,-106.7365360
1285,El Paseo Road,88001,32.2981551,-106.7702060
136,North Water Street,88001,32.3099711,-106.7795196
3050,East Lohman Avenue,88011,32.3159236,-106.7407362
2350,East Lohman Avenue,88001,32.3120010,-106.7486808
3050,East Lohman Avenue,88011,32.3158543,-106.7411980
2280,East Lohman Avenue,88001,32.3114070,-106.7512987
2260,East Lohman Avenue,88001,32.3112574,-106.7517707
1490,Missouri Avenue,88001,32.2950078,-106.7570501
1492,Missouri Avenue,88001,32.2954173,-106.7571720
705,East University Avenue,88001,32.2834898,-106.7608420
901,East University Avenue,88001,32.2839304,-106.7578773
1265,El Paseo Road,88001,32.2984671,-106.7704421
1175,West Picacho Avenue,88005,32.3135520,-106.7943855
540,South Compress Road,88005,32.3030721,-106.7873760
3100,West Picacho Avenue,88007,32.3115265,-106.8179348
1970,North Valley Drive,88005,32.3240597,-106.8013813
442,East Lohman Avenue,88001,32.3069098,-106.7734247
330,South Church Street,88001,32.3076618,-106.7772072
344,South San Pedro Street,88001,32.3082867,-106.7751139
741,North Alameda Boulevard,88001,32.3151925,-106.7833968
505,South Main Street,88001,32.3055329,-106.7760460
120,South Water Street,88001,32.3088702,-106.7796090
277,East Amador Avenue,88001,32.3077200,-106.7766097
555,Utah Avenue,88001,32.2995354,-106.7718665
2001,East Lohman Avenue,88001,32.3109477,-106.7582854
2501,North Main Street,88001,32.3336574,-106.7831750
2497,North Main Street,88001,32.3331410,-106.7821002
5195,Bataan Memorial West,88012,32.3861972,-106.7140136
1274,Golf Club Road,88011,32.3404027,-106.7371129
1770,South Telshor Boulevard,88011,32.3006704,-106.7373373
3961,East Lohman Avenue,88011,32.3205183,-106.7342653
2615,Missouri Avenue,88011,32.2996539,-106.7403908
700,South Telshor Boulevard,88011,32.3118791,-106.7435847
1204,East Madrid Avenue,88001,32.3300165,-106.7729368
1414,South Solano Drive,88001,32.2976296,-106.7613314
2293,Divot Avenue,88001,32.3143284,-106.7537234
1235,Montana Avenue,88001,32.2967778,-106.7614373
1305,East University Avenue,88001,32.2850503,-106.7526721
2200,East Lohman Avenue,88001,32.3110599,-106.7535363
2001,East Lohman Avenue,88001,32.3118377,-106.7568288
580,South Valley Drive,88005,32.3020346,-106.7925486
717,West Organ Avenue,88005-2624,32.3078021,-106.7858397
212,South Main Street,88001,32.3083533,-106.7784504
945,East University Avenue,88001,32.2842357,-106.7571482
1001,East University Avenue,88001,32.2845206,-106.7558853
1600,South Valley Drive,88005,32.2903826,-106.7847780
1600,South Valley Drive,88005,32.2904083,-106.7847082
1600,South Valley Drive,88005,32.2904717,-106.7845176
1600,South Valley Drive,88005,32.2905813,-106.7842516
1500,South Valley Drive,88005,32.2907800,-106.7850060
540,Walton Boulevard,88001,32.3148724,-106.7522143
540,Walton Boulevard,88001,32.3149574,-106.7522492
540,Walton Boulevard,88001,32.3150489,-106.7522462
540,Walton Boulevard,88001,32.3151262,-106.7522947
540,Walton Boulevard,88001,32.3151764,-106.7523508
540,Walton Boulevard,88001,32.3152267,-106.7523887
1320,South Solano Drive,88001,32.2985340,-106.7623680
590,South Valley Drive,88005,32.3011408,-106.7917724
