House number,Street name,Postal code,Latitude,Longitude
2701,North Garden Avenue,88201,33.4276628,-104.5136102
700,West Deming Street,88203,33.3852532,-104.5323360
114,East Deming Street,88203,33.3854479,-104.5212385
1400,South Washington Avenue,88203,33.3766764,-104.5323721
408,North Washington Avenue,88201,33.3970901,-104.5321490
200,East Deming Street,88203,33.3854832,-104.5205465
6,EC Tucker Court,88201,33.4374410,-104.5069010
7,EC Tucker Court,88201,33.4373260,-104.5069018
1,Jerry Smith Circle,88203,33.3067025,-104.5189882
1110,South Main Street,88201,33.3811518,-104.5240954
3308,North Main,88201,33.4385773,-104.5236926
4301,North Main Street,88201,33.4475661,-104.5220298
3607,North Main,88201,33.4417425,-104.5224290
1201,North Main,88201,33.4063209,-104.5222600
2212,North Main Street,88201,33.4192237,-104.5236090
2423,North Main,88201,33.4229798,-104.5225630
720,North Main,88201-4816,33.4004561,-104.5232474
2901,North Main Street,88201,33.4308886,-104.5226546
808,North Main Street,88201,33.4017077,-104.5232310
2300,"2300 N Main St, Roswell, NM 88201",88201-6453,33.4201394,-104.5237700
2200,North Main Street,88201,33.4188790,-104.5236090
1310,North Main,88201,33.4076890,-104.5230590
2304,North Main Street,88201,33.4210819,-104.5235290
520,East 2nd Street,88201,33.3937603,-104.5147733
1,Jerry Smith Circle,88203,33.3067620,-104.5189004
2515,West 2nd Street,88201,33.3945522,-104.5587217
2610,West 2nd Street,88201,33.3936587,-104.5600924
2600,West 2nd Street,88201,33.3936207,-104.5594594
1303,West 2nd Street,88201,33.3944769,-104.5404453
701,West 2nd Street,88201,33.3945106,-104.5322301
1300,West Second,88201,33.3935991,-104.5406430
217,West 2nd Street,88201,33.3947728,-104.5256461
925,West 2nd Street,88201,33.3944425,-104.5359176
2700,West 2nd Street,88201,33.3938522,-104.5624291
2211,West 2nd Street,88201,33.3949244,-104.5561632
2810,North Main Street,88201-6509,33.4294598,-104.5248347
2513,North Main Street,88201,33.4244007,-104.5218092
211,East College Boulevard,88201,33.4089910,-104.5192799
500,North Main Street,88201,33.3978852,-104.5231440
600,North Main Street,88201,33.3989555,-104.5231091
114,North Main Street,88201,33.3937090,-104.5230540
200,North Main Street,88201,33.3944414,-104.5230006
226,North Main Street,88201,33.3952290,-104.5232871
1300,South Main Street,88203,33.3792206,-104.5241374
901,South Main Street,88203,33.3843876,-104.5223349
1140,South Main Street,88203,33.3800336,-104.5234024
501,West McGaffey Street,88203,33.3801568,-104.5292872
110,West Hobbs,88203,33.3722598,-104.5240843
1804,South Main Street,88203,33.3702550,-104.5236658
1718,South Main Street,88201,33.3716034,-104.5237624
128,West 2nd Street,88201,33.3939973,-104.5240891
216,West 2nd Street,88201,33.3940309,-104.5254382
400,North Pennsylvania Avenue,88201,33.3969228,-104.5266205
404,North Kentucky Avenue,88201,33.3968019,-104.5278248
329,Canoncito Drive,88201,33.3956168,-104.5625712
1701,West 2nd Street,88201,33.3944682,-104.5479237
900,West 2nd Street,88201,33.3936074,-104.5354130
412,West 2nd Street,88201,33.3940352,-104.5284609
600,East 2nd Street,88201,33.3935605,-104.5140065
1302,East 2nd Street,88201,33.3939120,-104.5051122
909,East 2nd Street,88201,33.3946468,-104.5104757
401,East 2nd Street,88201,33.3944226,-104.5185099
918,East 2nd Street,88201,33.3939727,-104.5106258
629,East 2nd Street,88201,33.3943983,-104.5119697
912,East 2nd Street,88201,33.3937556,-104.5110149
603,East 2nd Street,88201,33.3943961,-104.5136944
120,North Garden Avenue,88203,33.3934780,-104.5147807
1120,East 2nd Street,88201,33.3940221,-104.5069540
301,West McGaffey Street,88203,33.3800474,-104.5271841
2501,Gaye Drive,88201,33.4244452,-104.5371789
1701,North Main Street,88201,33.4144223,-104.5223238
1705,North Main Street,88201,33.4144082,-104.5218648
110,West Hobbs,88203,33.3722080,-104.5240828
604,West 2nd Street,88201,33.3936896,-104.5311239
1901,South Sunset Avenue,88203,33.3698830,-104.5411600
2810,North Main Street,88201,33.4290521,-104.5237534
800,North Main Street,88201,33.4012889,-104.5231556
105,West 3rd Street,88201,33.3955083,-104.5230474
505,North Main Street,88201,33.3980811,-104.5225380
500,North Main Street,88210,33.3981779,-104.5230853
1110,South Main Street,88201,33.3809768,-104.5242488
1309,North Main Street,88201,33.4075900,-104.5222964
1200,South Main Street,88203,33.3793825,-104.5233801
2350,North Main Street,88201,33.4214133,-104.5248898
4400,North Main Street,88201,33.4477231,-104.5266931
4500,North Main Street,88201,33.4498963,-104.5267803
201,West 19th Street,88201,33.4196536,-104.5317802
2725,North Main Street,88201-6512,33.4275045,-104.5213150
2110,North Main Street,88201,33.4181976,-104.5235893
1612,West 8th Street,88201,33.3981718,-104.5491950
401,North Richardson Avenue,88201,33.3965872,-104.5242303
912,North Main Street,88201,33.4028050,-104.5232956
901,West Brasher Road,88203,33.3497017,-104.5354316
3905,Southeast Main Street,88203,33.3495846,-104.5083992
3101,South Main Street,88203,33.3579412,-104.5160602
2005,Southeast Main Street,88203,33.3668082,-104.5134463
2100,Southeast Main Street,88203,33.3644641,-104.5140969
2007,Southeast Main Street,88203,33.3662540,-104.5131316
2010,Southeast Main Street,88203,33.3655378,-104.5142961
2609,South Main Street,88203,33.3621890,-104.5223993
119,West Gayle Street,88203,33.3621537,-104.5242834
323,West Gayle Street,88203,33.3623675,-104.5250164
700,East Berrendo Road,88201,33.4373405,-104.5138237
1101,West 4th Street,88201,33.3966132,-104.5379132
1612,West 8th Street,88201,33.4002815,-104.5459676
1101,West 4th Street,88201,33.3970049,-104.5378521
311,North Richardson Avenue,88201,33.3959543,-104.5240046
2305,West College Boulevard,88201,33.4089794,-104.5575799
1405,North Sycamore Avenue,88201,33.4078774,-104.5584221
1301,North Sycamore Avenue,88201,33.4062620,-104.5585351
1410,North Missouri Avenue,88201,33.4083304,-104.5309244
508,West College Boulevard,88201,33.4083105,-104.5297013
513,West College Boulevard,88201,33.4092279,-104.5307511
1401,North Lea Avenue,88201,33.4084117,-104.5287032
1400,North Washington Avenue,88201,33.4079781,-104.5322640
915,West 19th Street,88201,33.4165207,-104.5357313
1720,North Montana Avenue,88201,33.4139194,-104.5414933
1620,North Montana Avenue,88201,33.4121065,-104.5413047
1822,North Montana Avenue,88201,33.4157003,-104.5409997
5000,North Main Street,88201,33.4568581,-104.5244864
131,West 2nd Street,88201,33.3944737,-104.5241400
2601,North Urton Road,88201,33.4249871,-104.4911472
1,Briarwood Place,88201,33.4220498,-104.4874342
5,Briarwood Place,88201,33.4230244,-104.4871692
901,East Country Club Road,88201,33.4235484,-104.5102572
1206,East College Boulevard,88201,33.4083537,-104.5063813
1206,East College Boulevard,88201,33.4082546,-104.5060332
502,East College Boulevard,88201,33.4084125,-104.5147013
409,East College Boulevard,88201,33.4090543,-104.5169416
1306,East College Boulevard,88201,33.4077160,-104.5039580
1306,East College Boulevard,88201,33.4075609,-104.5039058
1306,East College Boulevard,88201,33.4068093,-104.5034253
2420,North Garden Avenue,88201,33.4226722,-104.5147234
2909,North Garden Avenue,88201,33.4320533,-104.5147176
701,East Country Club Road,88201,33.4231782,-104.5122837
2727,Wilshire Boulevard,88201,33.4301072,-104.5195040
2727,Wilshire Boulevard,88201,33.4284941,-104.5193201
505,North Pennsylvania Avenue,88201,33.3979605,-104.5255746
115,West 11th Street,88201,33.4048845,-104.5240091
500,North Pennsylvania Avenue,88201,33.3982050,-104.5266783
100,West 11th Street,88201,33.4041791,-104.5236900
501,North Kentucky Avenue,88201,33.3978779,-104.5272119
301,North Pennsylvania Avenue,88201,33.3959307,-104.5255645
