House number,Street name,Postal code,Latitude,Longitude
801,Griffin Street,87501,35.6958074,-105.9473683
551,Alarid Street,87501,35.6820320,-105.9517136
120,South Federal Place,87501,35.6911888,-105.9389430
142,West Palace Avenue,87501,35.6881259,-105.9404420
490,Bishop's Lodge Road,87501,35.6946164,-105.9358056
3299,Cerrillos Road,87501-2924,35.6502060,-106.0010770
3526,Zafarano Drive,87507,35.6407353,-106.0119094
3542,Zafarano Drive,87507,35.6410659,-106.0131818
3537,Zafarano Drive,87507,35.6409569,-106.0115135
1214,Hickox Street,87505,35.6808290,-105.9597870
562,North Guadalupe Street,87501,35.6928796,-105.9501346
142,East de Vargas Street,87501,35.6838970,-105.9388610
106,West San Francisco Street,87501,35.6872698,-105.9398685
930,Baca Street,87501,35.6727770,-105.9629260
530,West Cordova Road,87505,35.6730721,-105.9531640
100,West San Francisco Street,87501,35.6872280,-105.9396810
133,West Water Street,87501,35.6868858,-105.9405795
110,West San Francisco Street,87501,35.6873050,-105.9399900
104,West San Francisco Street,87501,35.6872575,-105.9398130
110,Don Gaspar Avenue,87501,35.6869601,-105.9397540
112,Don Gaspar Avenue,87501,35.6869066,-105.9397780
112,West San Francisco Street,87501,35.6871610,-105.9401319
116,Don Gaspar Avenue,87501,35.6868067,-105.9398200
114,Don Gaspar Avenue,87501,35.6868538,-105.9398060
117,Galisteo Street,87501,35.6870940,-105.9406144
516,Alto Street,87501,35.6877895,-105.9466160
1345,Cerrillos Road,87505,35.6716525,-105.9635048
913,West Alameda Street,87501,35.6893023,-105.9586000
1742,Cerrillos Road,87505,35.6656544,-105.9709780
1452,Cerrillos Road,87505,35.6689315,-105.9662810
125,Washington Avenue,87501,35.6882964,-105.9371264
3200,Calle Marie,87507,35.6579241,-105.9993660
505,West Cordova Road,87501,35.6732470,-105.9494219
2801,Rodeo Road,87507,35.6394376,-105.9840896
2412,Cerrillos Road,87507,35.6591437,-105.9808337
105,East Marcy Street,87501,35.6903064,-105.9448039
417,East Palace Avenue,87501,35.6860446,-105.9301340
113,East Water Street,87501,35.6864802,-105.9393002
109,East Water Street,87501,35.6865317,-105.9394711
105,East Water Street,87501,35.6865481,-105.9395385
115,Don Gaspar Avenue,87501,35.6867647,-105.9396432
50,East San Francisco Street,87501,35.6871916,-105.9394830
201,West Marcy Street,87501,35.6900611,-105.9400167
901,Canyon Road,87501,35.6801090,-105.9233325
901,Canyon Road,87501,35.6800195,-105.9232516
826,Canyon Road,87501,35.6799254,-105.9239257
822,Canyon Road,87501,35.6799566,-105.9241274
820,Canyon Road,87501,35.6800219,-105.9242965
821,Canyon Road,87501,35.6803442,-105.9239837
808,Canyon Road,87501,35.6802006,-105.9246817
724,Canyon Road,87501,35.6805644,-105.9253676
727,Canyon Road,87501,35.6806463,-105.9249759
731,Canyon Road,87501,35.6805618,-105.9247325
725,Canyon Road,87501,35.6785849,-105.9231417
725,Canyon Road,87501,35.6807712,-105.9253804
725,Canyon Road,87501,35.6806831,-105.9251970
717,Canyon Road,87501,35.6808682,-105.9254800
716,Canyon Road,87501,35.6806876,-105.9256058
555,Canyon Road,87501,35.6808306,-105.9260386
327,Garcia Street,87501,35.6805697,-105.9335430
376,Garcia Street,87501,35.6805029,-105.9335629
1005,Paseo de Peralta,87501,35.6817418,-105.9340007
513,Canyon Road,87501,35.6826558,-105.9309821
1050,Paseo de Peralta,87501,35.6816456,-105.9346205
924,Paseo de Peralta,87501,35.6836464,-105.9342488
924,Paseo de Peralta,87501,35.6835053,-105.9342975
924,Paseo de Peralta,87501,35.6834351,-105.9343481
924,Paseo de Peralta,87501,35.6833786,-105.9343565
924,Paseo de Peralta,87501,35.6833375,-105.9343607
839,Paseo de Peralta,87501,35.6857357,-105.9337318
839,Paseo de Peralta,87501,35.6856275,-105.9337049
839,Paseo de Peralta,87501,35.6855632,-105.9337139
