House number,Street name,Postal code,Latitude,Longitude
238,Ledoux St,87571,36.4147484,-105.5763998
113,Kit Carson Road,87571,36.4070361,-105.5722440
400,Camino de la Placita,87571,36.4109713,-105.5746858
304,Paseo del Pueblo Norte,87571,36.4113221,-105.5700387
811,Paseo del Pueblo Sur,87571,36.3898843,-105.5821290
1347,Paseo Del Pueblo Sur,87571,36.3749918,-105.5926164
106,Des Georges Place,87571,36.4060471,-105.5732470
1137,Paseo del Pueblo Sur,87571,36.3799689,-105.5892102
229,Paseo del Pueblo Norte,87571,36.4099135,-105.5676639
110,Old Talpa Canon Road,87571,36.3842968,-105.5853593
1137,Paseo del Pueblo Sur,87571,36.3798451,-105.5888419
823,Paseo del Pueblo Sur,87571,36.3886491,-105.5832002
823,Paseo del Pueblo Sur,87571,36.3886057,-105.5828231
710,East Paseo Del Pueblo Sur,87571,36.3921291,-105.5831220
717,Paseo Del Pueblo Sur,87571,36.3917598,-105.5813676
420,Paseo Del Pueblo Sur,87571,36.3985298,-105.5780149
330,Paseo del Pueblo Sur,87571,36.4006922,-105.5767996
330,Paseo del Pueblo Sur,87571,36.4005813,-105.5768212
330,Paseo del Pueblo Sur,87571,36.4005468,-105.5766553
330,Paseo del Pueblo Sur,87571,36.4008252,-105.5764439
107,Civic Plaza Drive,87571,36.4094092,-105.5725670
111,Civic Plaza Drive,87571,36.4096463,-105.5728650
223,Paseo Del Pueblo Sur,87571-8206,36.4036276,-105.5734442
224,Paseo Del Pueblo Sur,87571,36.4068812,-105.5744760
216,Paseo del Pueblo Norte,87571,36.4103421,-105.5718125
216,Paseo del Pueblo Norte,87571,36.4102176,-105.5711314
1357,Paseo Del Pueblo Sur,87571,36.3735080,-105.5935150
1531,Paseo Del Pueblo,87571,36.3675655,-105.5979561
1032,Paseo del Pueblo Sur,87571,36.3842203,-105.5873040
1033,Paseo del Pueblo Sur,87571,36.3837650,-105.5863174
1033,Paseo del Pueblo Sur,87571,36.3835862,-105.5859229
1033,Paseo del Pueblo Sur,87571,36.3834697,-105.5860137
1033,Paseo del Pueblo Sur,87571,36.3835256,-105.5859703
105,Albright Street,87571,36.3969020,-105.5757879
105,Albright Street,87571,36.3975430,-105.5756098
1381,South Santa Fe Highway 68,87571-5972,36.3717960,-105.5940540
1128,Paseo Del Pueblo Sur,87571,36.3809856,-105.5894131
115,Paseo Del Canon,87571,36.3795485,-105.5883458
117,Paseo Del Canyon,87571,36.3794322,-105.5879825
323,Camino de la Placita,87571,36.4104789,-105.5740150
1024,Paseo del Pueblo Sur,87571,36.3850056,-105.5868830
110,Paseo del Canon West,87571,36.3815382,-105.5949411
120,Civic Plaza Drive,87571,36.4092992,-105.5736653
114,Civic Plaza Drive,87571,36.4091696,-105.5733766
135,Paseo del Pueblo Sur,87571,36.4057525,-105.5739120
205,Don Fernando Street,87571,36.4084288,-105.5773330
220,Chamisa Road,87571,36.3751057,-105.6029855
105,Quesnel Road,87571,36.4058909,-105.5731494
616,Paseo del Pueblo Sur,87571,36.3954159,-105.5799960
411-B,Camino de la Placita,87571,36.3968062,-105.5799760
829,Paseo del Pueblo Sur,87571,36.3882779,-105.5833808
332,Paseo del Pueblo Sur,87571,36.4011724,-105.5767335
334,Paseo del Pueblo Sur,87571,36.4005943,-105.5771500
1033,Paseo del Pueblo Sur,87571,36.3833391,-105.5861023
1033,Paseo del Pueblo Sur,87571,36.3837975,-105.5864097
1033,Paseo del Pueblo Sur,87571,36.3836447,-105.5860458
1033,Paseo del Pueblo Sur,87571,36.3836902,-105.5861447
1033,Paseo del Pueblo Sur,87571,36.3837356,-105.5862356
1033,Paseo del Pueblo Sur,87571,36.3834225,-105.5860505
1033,Paseo del Pueblo Sur,87571,36.3835688,-105.5859430
216,Paseo del Pueblo Norte,87571,36.4101576,-105.5711686
216,Paseo del Pueblo Norte,87571,36.4102181,-105.5712565
216,Paseo del Pueblo Norte,87571,36.4102382,-105.5713255
216,Paseo del Pueblo Norte,87571,36.4102537,-105.5713844
216,Paseo del Pueblo Norte,87571,36.4102655,-105.5714365
216,Paseo del Pueblo Norte,87571,36.4103339,-105.5714648
216,Paseo del Pueblo Norte,87571,36.4103831,-105.5715837
216,Paseo del Pueblo Norte,87571,36.4104104,-105.5716619
216,Paseo del Pueblo Norte,87571,36.4104113,-105.5717479
216,Paseo del Pueblo Norte,87571,36.4103803,-105.5717830
216,Paseo del Pueblo Norte,87571,36.4103175,-105.5718397
216,Paseo del Pueblo Norte,87571,36.4102956,-105.5718600
216,Paseo del Pueblo Norte,87571,36.4102564,-105.5718884
827,Paseo del Pueblo Norte,87571,36.4225961,-105.5723096
330,Paseo del Pueblo Sur,87571,36.4006609,-105.5769937
330,Paseo del Pueblo Sur,87571,36.4008485,-105.5767054
138,Kit Carson Road,87571,36.4062551,-105.5717304
201,Cruz Alta Road,87571,36.3892002,-105.5800764
415,Kit Carson Road,87571,36.4001004,-105.5674432
118,Este Es Road,87571,36.3703484,-105.5931908
118,Este Es Road,87571,36.3697696,-105.5936421
118,Este Es Road,87571,36.3698583,-105.5935686
118,Este Es Road,87571,36.3699360,-105.5935089
118,Este Es Road,87571,36.3699961,-105.5934630
118,Este Es Road,87571,36.3700460,-105.5934228
118,Este Es Road,87571,36.3700839,-105.5933906
118,Este Es Road,87571,36.3701126,-105.5933699
118,Este Es Road,87571,36.3701551,-105.5933389
118,Este Es Road,87571,36.3702309,-105.5932815
118,Este Es Road,87571,36.3704010,-105.5931528
118,Este Es Road,87571,36.3703114,-105.5932114
118,Este Es Road,87571,36.3699013,-105.5935330
330,Paseo del Pueblo Sur,87571,36.4008995,-105.5766160
330,Paseo del Pueblo Sur,87571,36.4009725,-105.5767871
330,Paseo del Pueblo Sur,87571,36.4007378,-105.5764899
330,Paseo del Pueblo Sur,87571,36.4007806,-105.5767761
330,Paseo del Pueblo Sur,87571,36.4008828,-105.5767867
330,Paseo del Pueblo Sur,87571,36.4007348,-105.5768911
204,204 Paseo Del Canon E,87571,36.3776658,-105.5870075
238,Ledoux Street,87571,36.4056508,-105.5773538
211,Paseo del Pueblo Norte,87571,36.4086116,-105.5690719
1397,Weimer Road,87571,36.3683614,-105.5769183
1023,Paseo del Pueblo Sur,87571,36.3841000,-105.5862049
926,Paseo del Pueblo Sur,87571,36.3875047,-105.5862844
103,East Plaza,87571,36.4070248,-105.5737867
