House number,Street name,Postal code,Latitude,Longitude
406,West Main Street,14865,42.3458024,-76.8494762
104,North Catherine Street,14865,42.3473343,-76.8448500
108,North Catherine Street,14865,42.3476793,-76.8450378
105,South Genesee Street,14865,42.3446851,-76.8510278
239,North Genesee Street,14865,42.3479079,-76.8526880
401,West Main Street,14865,42.3456845,-76.8488364
208,West Main Street,14865,42.3469052,-76.8466614
218,West Main Street,14865,42.3467465,-76.8470641
314,West Main Street,14865,42.3461880,-76.8483242
214,West Main Street,14865,42.3467736,-76.8469909
230,West Main Street,14865,42.3465469,-76.8474912
228,West Main Street,14865,42.3465893,-76.8473971
312,West Main Street,14865,42.3462145,-76.8482678
220,West Main Street,14865,42.3466991,-76.8471486
212,West Main Street,14865,42.3468335,-76.8468772
209,Smith Lane,14865,42.3470341,-76.8468021
322,West Main Street,14865,42.3460952,-76.8485905
222,West Main Street,14865,42.3467155,-76.8472652
234,West Main Street,14865,42.3465060,-76.8475764
310,West Main Street,14865,42.3462372,-76.8482115
224,West Main Street,14865,42.3467005,-76.8473142
320,West Main Street,14865,42.3461577,-76.8484420
216,West Main Street,14865,42.3467620,-76.8470314
226,West Main Street,14865,42.3466139,-76.8473279
108,North Catherine Street,14865,42.3476863,-76.8450099
322,West Main Street,14865,42.3460937,-76.8485914
239,North Genesee Street,14865,42.3478664,-76.8526948
104,North Catherine Street,14865,42.3473146,-76.8448405
401,West Main Street,14865,42.3456571,-76.8487812
303,West Main Street,14865,42.3459949,-76.8478771
118,Schuyler Street,14865,42.3467248,-76.8495519
106,West South Street,14865,42.3459448,-76.8445055
207,South Catherine Street,14865,42.3454192,-76.8441195
103,West Main Street,14865,42.3468124,-76.8457941
108,Henry Street,14865,42.3473228,-76.8461755
300,West Main Street,14865,42.3463814,-76.8479127
238,West Main Street,14865,42.3465291,-76.8478743
218,Canal Street,14865,42.3424992,-76.8455009
406,West Broadway Street,14865,42.3490384,-76.8408782
208,South Catherine Street,14865,42.3455952,-76.8435433
271,Owego Street,14865,42.3421870,-76.8425071
229,North Catherine Street,14865,42.3506514,-76.8487816
218,South Catherine Street,14865,42.3448807,-76.8428637
228,Clinton Street,14865,42.3506410,-76.8476665
109,South Catherine Street,14865,42.3465749,-76.8449252
214,North Catherine Street,14865,42.3512827,-76.8483613
116,Ayers Street,14865,42.3502381,-76.8456184
232,Canal Street,14865,42.3414338,-76.8443832
236,West Main Street,14865,42.3468735,-76.8479518
213,Henry Street,14865,42.3484133,-76.8479144
101,Clinton Street,14865,42.3488710,-76.8459360
132,Mary Latyon Drive,14865,42.3408058,-76.8433928
116,North College Avenue,14865,42.3485472,-76.8404756
210,Montour Street,14865,42.3443199,-76.8476666
304,West South Street,14865,42.3449608,-76.8478631
279,South Catherine Street,14865,42.3421205,-76.8418720
407,South College Avenue,14865,42.3430545,-76.8407599
209,Montour Street,14865,42.3443000,-76.8480240
105,South Catherine Street,14865,42.3467368,-76.8451497
123,Clinton Street,14865,42.3496231,-76.8470297
319,West Main Street,14865,42.3458284,-76.8482126
100,North College Avenue,14865,42.3474865,-76.8406072
224,South Genesee Street,14865,42.3433037,-76.8481825
121,Schuyler Street,14865,42.3463007,-76.8498377
233,Owego Street,14865,42.3439680,-76.8443690
112,North College Avenue,14865,42.3482529,-76.8406424
231,Owego Street,14865,42.3439680,-76.8443690
111,Schuyler Street,14865,42.3459976,-76.8496023
204,Owego Street,14865,42.3451406,-76.8448070
100 B,North College Avenue,14865,42.3475708,-76.8406110
207,Henry Street,14865,42.3481499,-76.8473857
121,Lee Street,14865,42.3452273,-76.8475031
100 A,North College Avenue,14865,42.3475251,-76.8406079
201,Henry Street,14865,42.3478623,-76.8470260
