House number,Street name,Postal code,Latitude,Longitude
1804,Badin Road,28001,35.3521695,-80.1677694
611,Concord Road,28001,35.3554204,-80.2172803
33426,Old Salisbury Road,28001,35.3911881,-80.2212982
330,North 1st Street,28001,35.3552363,-80.1990544
1718,Ridge Street,28001,35.3760344,-80.1712348
710,North 1st Street,28001,35.3604797,-80.1989878
157,North 2nd Street,28001,35.3514462,-80.1983765
730,Leonard Ave,28001,35.3410623,-80.1778828
722,Leonard Ave,28001,35.3415401,-80.1780214
721,Leonard Ave,28001,35.3417607,-80.1770715
701,Leonard Avenue,28001,35.3426485,-80.1772791
705,Leonard Avenue,28001,35.3428229,-80.1761781
517,NC 24-27,28001,35.3435625,-80.1783947
707,Leonard Ave,28001,35.3431514,-80.1754799
619,N Carolina Hghwy 24/27,28001,35.3441982,-80.1774678
623,NC 24-27,28001,35.3441154,-80.1764259
515,NC 24-27,28001,35.3434017,-80.1790078
511,NC 24-27,28001,35.3433991,-80.1795407
636,Nc 24 27,28001,35.3428337,-80.1740442
23E,Nc 24 27,28001,35.3424525,-80.1739001
636,Nc 24 27,28001,35.3420783,-80.1719979
646,NC 24-27,28001,35.3436938,-80.1724075
640,NC24-27,28001,35.3434205,-80.1735608
1415,Highway 52 former Hardees,28001,35.3724434,-80.1979761
1702,North First Street,28001,35.3825917,-80.1928876
2325,Highway 52 North,28001,35.3955240,-80.1997941
2000,US Highway 52 North,28001,35.3883861,-80.1942421
2503,US Highway 52 North,28001,35.3985484,-80.2015037
2312,NC-52,28001,35.3948429,-80.1983528
1920,US Highway 52 North,28001,35.3870098,-80.1934174
2325,Highway 52 North,28001,35.3954883,-80.1999338
1702,North First Street,28001,35.3826385,-80.1926415
631,NC 24 27 Bypass East,28001,35.3444477,-80.1739244
636,NC 24 27 Bypass East,28001,35.3421592,-80.1738668
627,NC 24 27 Bypass East,28001,35.3441534,-80.1746124
627,NC 24 27 Bypass East,28001,35.3441359,-80.1747673
818,Highway 24-27,28001,35.3462515,-80.1679941
840,NC 24 27 Bypass East,28001,35.3482807,-80.1656619
833,NC 24 27 Bypass East,28001,35.3482457,-80.1683387
641,Highway 24 & 27 East,28001,35.3446945,-80.1720782
641,Highway 24 & 27 East,28001,35.3449089,-80.1721037
951,North 1st Street,28001,35.3670200,-80.1984816
2349,NC-52,28001,35.3968570,-80.2005604
2322,NC-52,28001,35.3953697,-80.1988570
410,Aquadale Road,28001,35.3368876,-80.2012671
203,NC-24,28001,35.3382945,-80.2010096
199,NC-24,28001,35.3384520,-80.2004115
817,North 1st Street,28001,35.3618448,-80.1999082
780,Leonard Avenue,28001,35.3393512,-80.1787483
617,NC-24,28001,35.3434790,-80.1771003
625,NC-24,28001,35.3435940,-80.1764549
143,North 2nd Street,28001,35.3510872,-80.1983881
311,Park Ridge Road,28001,35.3718929,-80.1927665
301,Yadkin Street,28002,35.3640674,-80.1948503
250,North 3rd Street,28001,35.3544745,-80.1954359
1813,East Main Street,28001,35.3509600,-80.1680149
1811,Badin Road,28001,35.3542579,-80.1692395
1121,Austin Street,28001,35.3632146,-80.2097098
454,North 10th Street,28001,35.3582173,-80.1846201
133,East Main Street,28001,35.3505337,-80.1967411
202,North 2nd Street,28001,35.3526500,-80.1973454
255,North 2nd Street,28001,35.3540568,-80.1982214
283,North 3rd Street,28001,35.3551002,-80.1965667
250,North 3rd Street,28001,35.3529045,-80.1957800
126,West North Street,28001,35.3526396,-80.1992073
203,North 2nd Street,28001,35.3524715,-80.1982498
815,Concord Road,28001,35.3544466,-80.2290173
120,College Drive,28001,35.3367183,-80.2320030
100,College Drive,28001,35.3360669,-80.2334315
443,South 1st Street,28001,35.3458581,-80.1987400
636,Nc 24 27 Bypass East Ste 24,28001,35.3422700,-80.1732750
840,NC 24 27 Bypass East,28001,35.3483924,-80.1656462
814,NC 24-27 Bypass East,28001,35.3450906,-80.1662162
2411,Badin Road,28001,35.3630487,-80.1573192
200,Henson Street,28001,35.3454030,-80.1724301
1920,East Main Street,28001,35.3477951,-80.1637544
154,South 1st Street,28001,35.3493184,-80.1999402
2300,US Highway 52 North,28001,35.3943618,-80.1980023
500,Leonard Avenue,28001,35.3443791,-80.1789902
621,NC 24,28001,35.3442808,-80.1769619
301,Yadkin Street,28002,35.3646217,-80.1948904
217,Yadkin Street,28002,35.3628146,-80.1949353
781,Leonard Avenue,28001,35.3398329,-80.1755917
2307,US-52,28001,35.3940928,-80.1995893
2219,US-52,28001,35.3924693,-80.1984989
141,College Drive,28001,35.3381447,-80.2362279
141,College Drive,28001,35.3472327,-80.2138657
141,College Drive,28001,35.3510973,-80.1983877
1904,Highway 52 North,28001-8505,35.3860448,-80.1926833
201,South Second Street,28001,35.3493823,-80.1977505
141,College Drive,28001,35.3422837,-80.2195783
