House number,Street name,Postal code,Latitude,Longitude
9900,Poplar Tent Road,28027,35.4187948,-80.7427685
130,Gateway Lane Northwest,28027,35.3666608,-80.7094175
7751,Gateway Lane,28027,35.3669940,-80.7102208
1081,Ivey Cline Road,28027,35.4001865,-80.7006136
10050,Edison Square Drive Northwest,28027,35.4022528,-80.7598408
3775,Concord Parkway South,28027,35.3682547,-80.6649977
9301,Aviation Boulevard,28027,35.3888030,-80.7123690
9,Union Street North,28025,35.4107029,-80.5817025
30,Corban Avenue Southeast,28025,35.4093208,-80.5780352
296,Concord Parkway North,28027,35.4033854,-80.6089280
8455,Pit Stop Court,28027,35.3745711,-80.7254960
5945,Concord Parkway South,28027,35.3477650,-80.6918828
4550,Davidson Highway,28027,35.4353563,-80.6533563
150,Concord Commons Pl SW,28027,35.3892879,-80.6227317
660,Concord Parkway North,28027,35.4177810,-80.6128668
7751,Gateway Lane,28027,35.3670712,-80.7101369
3905,Concord Parkway South,28027,35.3666080,-80.6659680
2420,Supercenter Drive Northeast,28083,35.4626100,-80.5947120
184,Academy Ave NW,28027,35.4130935,-80.5955255
1307,Old Charlotte Road SW,28027,35.3688306,-80.5967663
34,Union Street South,28025,35.4097928,-80.5807970
4011,Dearborn Place Northwest,28027,35.3673314,-80.6709145
3815,Concord Parkway South,28027,35.3680599,-80.6662674
3985,Concord Parkway South,28027,35.3662920,-80.6672182
3805,Concord Parkway South,28027,35.3673422,-80.6656508
3805,Concord Parkway South,28027,35.3678628,-80.6652162
219,Branchview Drive Northeast,28025,35.4238050,-80.5775201
10030,Edison Square Dr NW,28027,35.4028533,-80.7589925
7741,Gateway Lane,28027,35.3665991,-80.7093445
8532,Pit Stop Court,28027,35.3731450,-80.7222365
5710,Concord Parkway South,28027,35.3500703,-80.6908456
744,Cabarrus Avenue West,28027,35.3972671,-80.6090995
475,Concord Parkway North,28027,35.4093786,-80.6118152
1094,Concord Parkway North,28027,35.4292939,-80.6087534
1511,Highway 29 North,28025,35.4399197,-80.6075490
74,Union Street South,28025,35.4089945,-80.5799387
8455,Pit Stop Court,28027,35.3746490,-80.7257909
7295,Westwinds Boulevard Northwest,28027,35.3889100,-80.7228398
227,Highland Avenue Southwest,28027,35.3839954,-80.6016499
229,Highland Avenue Southwest,28027,35.3840330,-80.6017433
249,Linden Avenue Southwest,28027,35.3828903,-80.6015919
450,Pitts School Road Northwest,28027,35.3851028,-80.6887999
391,George W Liles Parkway,28027,35.4163093,-80.6696594
3699,Concord Parkway South,28027,35.3700636,-80.6647856
1421,Concord Parkway North,28025,35.4372236,-80.6055822
185,George W. Liles Parkway,28027,35.3961135,-80.6592837
280,Highway 29 South,28027,35.3984982,-80.6113640
475,Concord Parkway North,28027,35.4092923,-80.6120646
541,Warren Coleman Boulevard,28025,35.3833353,-80.5829083
541,Warren Coleman Boulevard,28025,35.3832259,-80.5830968
9,Union Street North,28025,35.4106360,-80.5816143
4,Union Street North,28025,35.4106812,-80.5813471
76,Union Street South,28025,35.4089644,-80.5800585
80,Union Street South,28025,35.4088794,-80.5796348
25,Market Street Southwest,28025,35.4096393,-80.5810993
400,McGill Avenue Northwest,28027,35.4159707,-80.6075639
1045,Union Street South,28025,35.3857351,-80.5531702
7630,Hendrick Auto Plaza Northwest,28027,35.3617124,-80.7045897
1463,Concord Parkway North,28025,35.4380029,-80.6056084
90,Union Street South,28025,35.4087032,-80.5795330
292,Church Street North,28025,35.4187363,-80.5884526
433,Church Street North,28025,35.4225413,-80.5918151
518,Todd Drive Northeast,28025,35.4246783,-80.5935464
244,Betsy Carpenter Southwest Place,28025,35.3724337,-80.5625683
591,Warren C. Coleman Boulevard,28025,35.3831683,-80.5810234
585,Highway 601 Bypass South,28025,35.3832844,-80.5813220
10020,Edison Square Drive,28027,35.4024764,-80.7586011
3775,Concord Parkway South,28027,35.3680706,-80.6650086
3105,Patrick Henry Drive Northwest,28027,35.4344840,-80.6324999
3105,Patrick Henry Drive Northwest,28027,35.4346679,-80.6325353
25,Union Street North,28025,35.4106753,-80.5820269
4124,Margate Street Southwest,28025,35.3606384,-80.5621476
145,Pitts School Road Southwest,28027,35.3681377,-80.6621691
2900,Derita Road,28027,35.3776938,-80.7311598
9900,Poplar Tent Road,28027,35.4193196,-80.7430464
9900,Poplar Tent Road,28027,35.4195329,-80.7429711
5015,Weddington Road,28027,35.3962040,-80.6612710
706,Georgetown Drive Northwest,28027,35.4102630,-80.6568336
8074,Concord Mills Boulevard,28027-4417,35.3726645,-80.7145216
2421,Supercenter Drive Northeast,28083,35.4629064,-80.5904045
25,Barbrick Avenue Southwest,28025,35.4087585,-80.5803273
338,Lawndale Avenue Southeast,28025,35.3990287,-80.5586343
362,Georgia Street Southwest,28025,35.3938426,-80.5836738
5303,Poplar Tent Road,28027,35.4108414,-80.6667222
6570,Bruton Smith Boulevard,28027,35.3620017,-80.6858677
5555,Concord Pkwy S,28027,35.3609103,-80.6872175
5115,Morehead Road,28027,35.3467216,-80.6795014
5400,John Q Hammons Drive Northwest,28027,35.3652831,-80.7015429
6900,Bruton Smith Boulevard,28027,35.3663058,-80.6909435
120,Country Club Drive Northeast,28025,35.4428263,-80.6037973
211,LePhillip Ct NE,28025,35.4427180,-80.5977585
1490,Highway 29,28027,35.4396665,-80.6058848
1508,Concord Parkway North,28025,35.4403571,-80.6067549
1489,Concord Parkway North,28025,35.4387651,-80.6065562
6044,Copperfield Boulevard Northeast,28205,35.4471528,-80.5986697
840,Derita Road,28027,35.4020075,-80.7159245
8670,Concord Mills Boulevard,28027,35.3759964,-80.7276433
16,Union Street North,28025,35.4100713,-80.5811202
14,Union Street North,28025,35.4101118,-80.5812118
12,Union Street North,28025,35.4101598,-80.5812639
61,Union Street South,28025,35.4094897,-80.5789965
65,Union Street South,28025,35.4095412,-80.5794622
27,Union Street North,28025-4793,35.4108449,-80.5822864
1,Union Street South,28025,35.4106268,-80.5810259
11,Union Street South,28025,35.4105327,-80.5806999
21,Union Street South,28025,35.4103193,-80.5806999
11,Cabarrus Avenue East,28025,35.4108607,-80.5811408
42,Union Street North,28025,35.4095462,-80.5807822
29,Cabarrus Avenue East,28025,35.4114055,-80.5805965
3,Union Street South,28025,35.4105638,-80.5809724
29,Union Street South,28025,35.4101385,-80.5805453
25,Union Street South,28025,35.4102835,-80.5805117
31,Union Street South,28025,35.4101260,-80.5804352
23,Union Street North,28025,35.4106782,-80.5820303
1,Union Street North,28025,35.4105099,-80.5816095
21,Union Street North,28025,35.4107178,-80.5818138
30,Union Street North,28025,35.4097644,-80.5809369
14,Union Street North,28025,35.4108728,-80.5813854
48,Union Street North,28025,35.4094333,-80.5804605
1020,Ivey Cline Rd,28027,35.4022685,-80.7018930
220,George W Liles Parkway,28027,35.4019861,-80.6576241
358,George West Liles Parkway Northwest,28027,35.4121702,-80.6632705
65,Church Street Southeast,28025,35.4101729,-80.5781553
41,Cabarrus Avenue West,28025,35.4094667,-80.5821886
34,Church Street Southeast,28025,35.4103420,-80.5793921
66,McCachern Boulevard Southeast,28025,35.4104690,-80.5777435
8054,Concord Mills Boulevard,28027,35.3725999,-80.7168546
8052,Concord Mills Boulevard,28027,35.3726300,-80.7162453
8030,Concord Mills Boulevard,28027,35.3721812,-80.7186440
6841,Poplar Tent Road,28027,35.4028310,-80.6911402
133,Stonecrest Circle Southwest,28027,35.3662889,-80.5935008
274,Concord Parkway South,28027,35.3970555,-80.6105500
505,Highway 49 S,28025,35.3624352,-80.5824290
8058,Concord Mills Boulevard,28027,35.3726857,-80.7157088
8070,Concord Mills Boulevard,28027,35.3727143,-80.7147906
8088,Concord Mills Boulevard,28027,35.3721798,-80.7130511
8034,Concord Mills Boulevard,28027,35.3722467,-80.7182694
325,Mcgill Ave NW,28027,35.4130435,-80.6022534
8020,Concord Mills Boulevard,28027,35.3717323,-80.7175161
7811,Gateway Lane NorthWest,28027,35.3696432,-80.7115231
7740,Bruton Smith Boulevard,28027,35.3657899,-80.7101275
7712,Sossaman Lane Northwest,28027,35.3649258,-80.7088078
7720,Sossoman Lane Northwest,28027,35.3650431,-80.7092129
7725,Sossaman Lane Northwest,28027,35.3640047,-80.7099136
7779,Lyles Lane Northwest,28027,35.3654849,-80.7120424
8041,Concord Mills Boulevard,28027,35.3704879,-80.7183198
8520,Pit Stop Court,28027,35.3736603,-80.7230749
8524,Pit Stop Court,28027,35.3735231,-80.7226424
8480,Pit Stop Court,28027,35.3751132,-80.7242160
8415,Pit Stop Court,28027,35.3747602,-80.7268572
7601,Scott Padgett Parkway,28027,35.3642295,-80.7033287
7701,Gateway Lane Northwest,28027,35.3653860,-80.7075962
7731,Gateway Court,28027,35.3660947,-80.7084996
7761,Gateway Lane Northwest,28027,35.3673394,-80.7106814
7772,Gateway Lane NorthWest,28027,35.3684062,-80.7104912
7800,Gateway Lane,28027,35.3688891,-80.7107320
9850,Weddington Road Extension,28027,35.3692600,-80.7095006
7821,Gateway Lane,28027,35.3703001,-80.7108532
7831,Gateway Lane,28027,35.3706086,-80.7099507
7841,Gateway Lane NorthWest,28027,35.3701606,-80.7091709
4751,NC Highway 49,28025,35.3894184,-80.5015006
150,Concord Commons Place;Concord Commons Place Southwest,28027,35.3889463,-80.6228603
5454,Rocky River Road,28025,35.3420180,-80.5980856
3247,Weddington Road Northwest,28027,35.3956774,-80.6330615
4501,Weddington Road Northwest,28027,35.3907111,-80.6492714
4401,Weddington Road Northwest,28027,35.3950552,-80.6490369
