House number,Street name,Postal code,Latitude,Longitude
507,North Clinton Avenue,28334,35.3112394,-78.6050903
1007,East Cumberland Street,28334,35.3013742,-78.6004993
910,West Cumberland Street,28334,35.3124558,-78.6186525
1304,West Cumberland Street,28334,35.3149909,-78.6229118
1285,East Cumberland St,28334,35.3168135,-78.6235556
1122,West Broad Street,28334,35.3161246,-78.6234817
1724,West Cumberland Street,28334,35.3168047,-78.6263612
1802,West Cumberland Street,28334,35.3175532,-78.6276593
1810,West Cumberland Street,28334,35.3181923,-78.6277344
1817,West Cumberland Street,28334,35.3168452,-78.6298078
1903,West Cumberland Street,28334,35.3156459,-78.6295879
1723,West Cumberland Street,28334,35.3164556,-78.6278337
1725,West Cumberland Street,28334,35.3163679,-78.6274381
1923,West Cumberland Street,28334,35.3179915,-78.6301524
1923,West Cumberland Street,28334,35.3178503,-78.6302812
400,Erwin Road,28334,35.3155311,-78.6261292
400,Erwin Road,28334,35.3156243,-78.6261462
1501,West Cumberland Street,28334,35.3148136,-78.6250161
129,East Broad Street,28334,35.3078770,-78.6093597
103,S Clinton Ave,28334,35.3066374,-78.6086014
214,East Broad Street,28334,35.3078741,-78.6102691
988,Erwin Road,28334,35.3150166,-78.6325919
104,Tilghman Drive,28334,35.3130468,-78.6339705
2300,West Cumberland Street,28334,35.3215429,-78.6362021
1102,E Cumberland St,28334,35.2967202,-78.5984212
900,West Broad Street,28334,35.3130871,-78.6182968
2314,West Cumberland Street,28344,35.3228876,-78.6367794
2304,West Cumberland Street,28334,35.3227869,-78.6364307
2332,West Cumberland Street,28334,35.3222880,-78.6387588
2140,West Cumberland Street,28334,35.3220954,-78.6339040
2108,West Cumberland Street,28334,35.3221785,-78.6344887
2400,West Cumberland Street,28334,35.3225550,-78.6395259
2350,West Cumberland Street,28334,35.3230364,-78.6376001
2302,West Cumberland Street,28334,35.3217802,-78.6370744
2100,West Cumberland Street,28334,35.3208304,-78.6338987
106,West Cumberland Street,28334,35.3134715,-78.6207416
1165,East Cumberland Street,28344,35.2941743,-78.5960011
596,East Jackson Boulevard,28339,35.3232125,-78.6459891
594,East Jackson Boulevard,28339,35.3234122,-78.6468796
1001,Fairground Rd,28334,35.3268805,-78.6080965
1209,North Ellis Avenue,28334,35.3211929,-78.6069136
1208,North Ellis Avenue,28334,35.3205232,-78.6068975
1500,North Ellis Avenue,28334,35.3223970,-78.6043581
500,North McKay Avenue,28334,35.3144933,-78.6116849
200,Tilghman Drive,28334,35.3121996,-78.6336217
145,Tilghman Drive,28334,35.3129102,-78.6324688
905,Erwin Road,28334,35.3138172,-78.6326993
851,Erwin Road,28334,35.3139074,-78.6310730
711,Erwin Road,28334,35.3143042,-78.6298889
701,Erwin Road,28334,35.3145412,-78.6290015
303,Tilghman Drive,28334,35.3114723,-78.6324220
1011,East Cumberland Street,28334,35.3008104,-78.5988633
1125,East Broad Street,28334,35.3018277,-78.5965282
611,Springbranch Road,28334,35.2883423,-78.6002805
1000,Interstate Drive,28334,35.2912409,-78.6063745
608,Spring Branch Road,28334,35.2887101,-78.6034026
810,East Cumberland Street,28334,35.3029969,-78.6033686
1304,West Cumberland Street,28334,35.3148331,-78.6230416
810,East Cumberland Street,28334,35.3029630,-78.6033780
741-A,Tilghman Drive,28334,35.3090232,-78.6326763
427,Jonesboro Road,28334,35.3179169,-78.5778044
1126,West Broad Street,28334,35.3165002,-78.6235537
1011,East Cumberland Street,28334,35.3007829,-78.5995347
