House number,Street name,Postal code,Latitude,Longitude
111,Roosevelt Road,28540,34.7594000,-77.4198000
425,Yopp Road,28540,34.7499637,-77.4622133
717,Court Street,28540,34.7518022,-77.4309201
1401,West Road,28547,34.6747404,-77.3403423
1238,Birch Street,28547,34.6735102,-77.3375330
84,Holcomb Boulevard,28547,34.6692219,-77.3429940
2200,Gum Branch Road,28540,34.7981975,-77.4368521
375,Western Blvd.,28546,34.7656411,-77.3809265
1106,Western Boulevard,28546,34.7802972,-77.3946207
709,Gardenview Drive,28540,34.7735004,-77.4425610
1231,Birch Street,28547,34.6738078,-77.3397336
116,Center Street,28546,34.7455949,-77.3816541
1146,Gum Branch Road,28546,34.7796214,-77.4140955
911,Lejeune Boulevard,28540,34.7472282,-77.4143938
911,Lejeune Boulevard,28540,34.7466021,-77.4143136
4250,Western Boulevard,28546,34.8009868,-77.4155143
257,D Street,28547,34.6700060,-77.3531082
711,New Bridge Street,28540,34.7497357,-77.4226610
1128,Western Blvd,28546,34.7824099,-77.3964519
353,Western Boulevard,28546,34.7668650,-77.3847997
113,Western Boulevard,28546,34.7466050,-77.3801741
1238,Birch Street,28547,34.6735475,-77.3376051
1231,Holcomb Boulevard,28547,34.6747687,-77.3405591
1231,Holcomb Boulevard,28547,34.6750802,-77.3405975
343,Western Boulevard,28546,34.7653912,-77.3839608
1315,Western Boulevard,28546,34.7847266,-77.4033184
1345,Western Boulevard,28546,34.7865080,-77.4026295
1250,Western Boulevard,28546,34.7873624,-77.3993489
2319,Lejeune Boulevard,28546,34.7383999,-77.3583019
2451,Lejeune Boulevard,28540,34.7359993,-77.3548175
99,McHugh Boulevard,28542,34.6762381,-77.3528032
110,South Marine Boulevard,28540,34.7534573,-77.4371621
375,Western Boulevard,28546,34.7656514,-77.3809907
375,Jacksonville Mall,28546,34.7658245,-77.3810877
375,Jacksonville Mall,28546,34.7659162,-77.3811187
200,Memorial Drive,28546,34.7653891,-77.3866354
2405,North Marine Boulevard,28546,34.7858673,-77.3818150
123,Western Boulevard,28546,34.7481547,-77.3805868
2535,Commerce Road,28546,34.7805324,-77.3866917
830,New Bridge Street,28540,34.7487572,-77.4201346
830,New Bridge Street,28540,34.7489114,-77.4200622
454,Western Boulevard,28546,34.7746403,-77.3886626
454,Western Boulevard,28546,34.7747469,-77.3887807
2400,Gum Branch Road,28540,34.8004018,-77.4387062
6995,Western Boulevard,28546,34.7990128,-77.4385441
6995,Western Boulevard,28546,34.7988690,-77.4382634
1112,Western Boulevard,28546,34.7819150,-77.3940129
1116,Western Boulevard,28546,34.7822275,-77.3944478
1110,Western Boulevard,28546,34.7815478,-77.3937304
2095,North Marine Boulevard,28546,34.7800482,-77.3899952
2207,North Marine Boulevard,28546,34.7820003,-77.3872847
422,Yopp Road,28540,34.7518394,-77.4601420
424,Yopp Road,28540,34.7522668,-77.4609348
1207,North Marine Boulevard,28540,34.7654819,-77.4098144
408,Western Boulevard,28546,34.7688783,-77.3846570
408,Western Boulevard,28546,34.7690454,-77.3847341
1513,Marine Boulevard,28540-6476,34.7674531,-77.4070699
471,Western Boulevard,28546,34.7752370,-77.3909568
1525,North Marine Boulevard,28540-6476,34.7678110,-77.4066777
1693,Halltown Road,28546,34.7718034,-77.3560772
861,Pineygreen Road,28546,34.7716975,-77.3545254
