House number,Street name,Postal code,Latitude,Longitude
128,East Central Avenue,28120,35.2970483,-81.0149024
120,East Central Avenue,28120,35.2972386,-81.0151724
613,South Main Street,28120,35.2900181,-81.0175421
609,Highland Street,28120,35.2880585,-81.0175228
423,Beatty Drive,28120,35.2748050,-81.0263166
130,West Charlotte Avenue,28120,35.2984113,-81.0174503
196,YMCA Drive,28012,35.2631637,-81.0197120
301,West Central Avenue,28120,35.2969873,-81.0238112
1925,North Main Street,28120,35.3289026,-80.9991556
101,Ivey Street,28012,35.2742987,-81.0366001
100,Belmont Mount Holly Road,28012,35.2612345,-81.0362649
1725,Drywall Drive,28120,35.3274347,-80.9969359
420,East Central Avenue,28120,35.2963576,-81.0105406
105,Sports Lane,28120,35.2825687,-81.0147133
122,South Main Street,28120,35.2967852,-81.0165219
119,South Main Street,28120,35.2968407,-81.0159079
150,South Main Street,28120,35.2960699,-81.0167541
201,South Main Street,28120,35.2954241,-81.0161399
108,South Main Street,28120,35.2973068,-81.0164362
106A,South Main Street,28120,35.2973888,-81.0165147
100,South Main Street,28120,35.2975427,-81.0164108
117,North Main Street,28120,35.2982331,-81.0163705
119,North Main Street,28120,35.2983174,-81.0163637
111,North Main Street,28120,35.2981574,-81.0163776
130,West Charlotte Avenue,28120,35.2984441,-81.0174121
113,West Central Avenue,28120,35.2976092,-81.0168632
125,West Central Avenue,28120,35.2976814,-81.0173374
121,West Central Avenue,28120,35.2976136,-81.0171108
107,West Central Avenue,28120,35.2975789,-81.0166897
609,Highland Street,28120,35.2878954,-81.0173300
704,South Main Street,28120,35.2888407,-81.0203777
2100,Spring Street,28120,35.2876792,-81.0184038
433,Killian Avenue,28120,35.3048768,-81.0131122
1201,South Main Street,28120,35.2749431,-81.0280089
703,Tuckaseege Road,28120,35.2756576,-81.0261427
421,Beatty Drive,28120,35.2743708,-81.0264432
117,East Charlotte Avenue,28120,35.2978218,-81.0154180
123,North Main Street,28120,35.2984446,-81.0163366
126,West Charlotte Avenue,28120,35.2982949,-81.0171848
140,North Main Street,28120,35.2990666,-81.0155333
125,East Charlotte Avenue,28120,35.2978779,-81.0148620
1120,South Main Street,28120,35.2775137,-81.0274449
100,Rankin Avenue,28120,35.2893771,-81.0191492
104,Rankin Avenue,28120,35.2896641,-81.0195049
740,Rankin Avenue,28120,35.2943142,-81.0267601
740,Rankin Avenue,28120,35.2946361,-81.0255201
105,Oakland Street,28120,35.2978031,-81.0178787
138,East Central Avenue,28120,35.2967031,-81.0144999
107,North Main Street,28120,35.2980906,-81.0163843
121,North Main Street,28120,35.2983861,-81.0163573
243,West Catawba Avenue,28120,35.2957625,-81.0199424
245,West Catawba Avenue,28120,35.2958004,-81.0204825
225,South Hawthorne Street,28120,35.2951703,-81.0213035
113,East Charlotte Avenue,28120,35.2979012,-81.0156191
300,Woodlawn Avenue,28120,35.3032174,-81.0188449
112,Woodlawn Avenue,28120,35.3014609,-81.0176312
613,South Main Street,28120,35.2899960,-81.0174684
547,Highland Street,28120,35.2893983,-81.0170019
553,South Main Street,28120,35.2889089,-81.0174438
540,Highland Street,28120,35.2908874,-81.0139823
601,South Main Street,28120,35.2902069,-81.0172242
101,Oak Grove Street,28120,35.2907770,-81.0167363
549,Highland Street,28120,35.2890947,-81.0170786
1118,South Main Street,28120,35.2776511,-81.0270809
205,Madora Street,28120,35.2911516,-81.0241586
505,Belmont Mount Holly Road,28120,35.2718997,-81.0339441
311,Belmont Mount Holly Road,28120,35.2702180,-81.0383451
401,Beatty Drive,28120,35.2722262,-81.0270535
120,East Henry Street,28120,35.2714138,-81.0272197
1002,West Charlotte Avenue,28120,35.3094692,-81.0343785
247,West Catawba Avenue,28120,35.2956323,-81.0210211
112,North Main Street,28120,35.2982782,-81.0158347
303,North Main Street,28120,35.3026289,-81.0155741
1301,North Main Street,28120,35.3145325,-81.0120916
1305,North Main Street,28120,35.3150018,-81.0122025
809,Belmont Mount Holly Road,28120,35.2736441,-81.0302122
349,West Charlotte Avenue,28120,35.2996687,-81.0222629
121,East Charlotte Avenue,28120,35.2978245,-81.0152592
1,Caldwell Drive,28012,35.2604853,-81.0251011
201,Oak Trail,28012,35.2647885,-81.0313810
155,East Glendale Avenue,28120,35.2938343,-81.0140661
120,Belmont Mount Holly Road,28012,35.2658700,-81.0388763
250,Beatty Drive,28012,35.2631061,-81.0266668
200,Beatty Drive,28012,35.2593403,-81.0266151
196,YMCA Drive,28012,35.2631192,-81.0204569
108,North Main Street,28120,35.2981581,-81.0157461
104,North Main Street,28120,35.2980464,-81.0158866
275,Beatty Drive,28012,35.2631569,-81.0301127
407,Pearl Beatty Road,28012,35.2642035,-81.0269167
