House number,Street name,Postal code,Latitude,Longitude
1402,Pinckney Street,28472,34.3461000,-78.7007950
200,Flowers-Pridgen Drive,28472,34.3489170,-78.7051200
917,Washington Street,28472,34.3369656,-78.7214116
107,West Walter Street,28472,34.3233073,-78.7037712
1010,Powell Boulevard,28472,34.3416175,-78.7083853
1018,Powell Boulevard,28472,34.3418261,-78.7083298
269,West Oliver Street,28472,34.3418413,-78.7080648
270,Washington Street,28472,34.3395568,-78.7081450
270,Washington Street,28472,34.3393380,-78.7081573
6,Whiteville Mini Mall,28472,34.3396484,-78.7075349
2,Whiteville Mini Mall,28472,34.3392770,-78.7075719
14,Whiteville Mini Mall,28472,34.3396433,-78.7076088
252,Jk Powell Boulevard,28472,34.3318531,-78.7073809
221,West Williamson Street,28472,34.3323009,-78.7077875
208,Jk Powell Boulevard,28472,34.3312323,-78.7077321
204,Jk Powell Boulevard,28472,34.3308506,-78.7071405
110,Jk Powell Boulevard,28472,34.3299550,-78.7074055
103,Jk Powell Boulevard,28472,34.3289932,-78.7072453
107,Jk Powell Boulevard,28472,34.3287592,-78.7072206
115,Jk Powell Boulevard,28472,34.3282248,-78.7074178
239,West Columbus Street,28472,34.3258735,-78.7066284
1138,South Madison Street,28472,34.3155732,-78.7081080
1202,South Madison Street,28472,34.3150286,-78.7082066
1210,South Madison Street,28472,34.3145043,-78.7084222
1230,South Madison Street,28472,34.3135373,-78.7091863
1242,South Madison Street,28472,34.3125448,-78.7097471
30,Hill Plaza Suite,28472,34.3117610,-78.7117498
28,Hill Plaza Suite,28472,34.3114861,-78.7118977
1328,South Madison Street,28472,34.3103867,-78.7110350
28,Whiteville Plaza,28472,34.3093993,-78.7117991
1405,South Madison Street,28472,34.3084577,-78.7114293
1408,South Madison Street,28472,34.3084373,-78.7124523
1500,South Madison Street,28472,34.3080454,-78.7127172
1411,South Madison Street,28472,34.3080097,-78.7118114
1506,South Madison Street,28472,34.3077298,-78.7131054
1602,South Madison Street,28472,34.3070375,-78.7135738
1616,South Madison Street,28472,34.3060501,-78.7140729
1626,South Madison Street,28472,34.3058515,-78.7150711
37,South Whiteville Village,28472,34.3030010,-78.7164515
100,Green Hill Drive,28472,34.3014892,-78.7174559
101,Columbus Corners Drive,28472,34.3008529,-78.7219727
104,Columbus Corners Drive,28472,34.3007562,-78.7230079
112,Columbus Corners Drive,28472,34.3005169,-78.7233222
1820,South Madison Street,28472,34.3036271,-78.7211901
28,White Crossing Lane,28472,34.3043296,-78.7207156
26,White Crossing Plaza,28472,34.3048895,-78.7203582
80,Center Street,28472,34.3063402,-78.7192860
303,Duval Street,28472,34.3125964,-78.7135907
1300,Sunnyside Street,28472,34.3131109,-78.7138420
917,South Madison Street,28472,34.3194902,-78.7043750
207,North Jk Powell Boulevard,28472,34.3311756,-78.7085719
207,North Jk Powell Boulevard,28472,34.3311844,-78.7083594
807,Jefferson Street,28472,34.3396430,-78.6858343
1732,South J K Powell Boulevard,28472,34.3058354,-78.7194876
60,Whiteville Town Center,28472,34.3066315,-78.7189453
15,Hill Plaza Suite,28472,34.3121817,-78.7107514
17,South Whitville Village,28472,34.3035546,-78.7163029
204,South Lee Street,28472,34.3277224,-78.7060253
304,Columbus Corners Drive,28472,34.3013285,-78.7251918
1718,South Madison Street,28472,34.3046007,-78.7168801
1236,South Madison Street,28472,34.3131616,-78.7096577
1727,South Madison Street,28472,34.3032584,-78.7162502
1616,South Madison Street,28472,34.3064779,-78.7145598
20,Town Center,28472,34.3069390,-78.7187904
320,Columbus Corners Drive,28472,34.3006479,-78.7244250
108,Radio Station Road,28472,34.3073579,-78.7131813
1712,South J K Powell Boulevard,28472,34.3053973,-78.7182324
1345,South Madison Street,28472,34.3088916,-78.7112284
1312,Powell Boulevard,28472,34.3438667,-78.7084598
300,Columbus Corners Drive,28472,34.3022234,-78.7253314
84,White Crossing Plaza,28472,34.3023151,-78.7203188
1619,South J K Powell Boulevard,28472,34.3064475,-78.7159446
1820,South Madison Street,28472,34.3033697,-78.7214863
102,Columbus Corners Drive,28472,34.3011385,-78.7225227
1742,US 701 Bypass,28472,34.3039242,-78.7191503
43,South Whiteville Village,28472,34.3033571,-78.7173836
1615,South J K Powell Boulevard,28472,34.3067146,-78.7157127
316,Columbus Corners Drive,28472,34.3009506,-78.7248221
808,South Madison Street,28472,34.3214851,-78.7036648
1334,South Madison Street,28472,34.3116739,-78.7102866
1009,N JK Powell Blvd,28472,34.3418931,-78.7092362
900,Powell Boulevard,28472,34.3401704,-78.7079363
269,Frink Street,28472,34.3408666,-78.7079873
500,Jefferson Street,28472,34.3374868,-78.6942914
500,Jefferson Street,28472,34.3374225,-78.6945247
711,Grove Street,28472,34.3383301,-78.7121604
413,North Lee Street,28472,34.3351899,-78.7072085
503,J. K. Powell Boulevard,28472,34.3355971,-78.7092327
1415,North JK Powell Boulevard,28472,34.3471462,-78.7108541
602,Washington Street,28472,34.3369594,-78.7076215
1201,North Jk Powell Boulevard,28472,34.3436154,-78.7094662
1105,Jk Powell Boulevard,28472,34.3424138,-78.7094213
1407,Powell Boulevard,28472,34.3466048,-78.7100212
1110,Powell Boulevard,28472,34.3433277,-78.7084014
1104,Powell Boulevard,28472,34.3425889,-78.7083138
265,Washington Street,28472,34.3386350,-78.7080493
311,Washington Street,28472,34.3386567,-78.7075727
709,North Jk Powell Boulevard,28472,34.3377748,-78.7089090
1406,Powell Boulevard,28472,34.3470265,-78.7088234
1312,Powell Boulevard,28472,34.3457082,-78.7087301
614,Washington Street,28472,34.3379219,-78.7080524
608,North Thompson Street,28472,34.3368467,-78.6975540
415,South Madison Street,28472,34.3258496,-78.7027116
200,Columbus Corner Drive,28472,34.3032301,-78.7249335
