House number,Street name,Postal code,Latitude,Longitude
351,4th Avenue South,58201,47.9179310,-97.0292734
418,North 6th Street,58203,47.9263681,-97.0389659
4001,32nd Avenue South,58201,47.8868658,-97.0846013
1750,32nd Avenue South,58201,47.8906618,-97.0530300
1315,South Columbia Road,58201,47.9083314,-97.0640754
1631,South Washington Street,58201,47.9045448,-97.0439945
1503,South Washington,58201,47.9060209,-97.0441917
4340,Gateway Drive,58201,47.9343347,-97.0918657
2702,Gateway Drive,58203,47.9337501,-97.0673106
3101,South 42nd Street,58201,47.8918044,-97.0861093
1125,South 42nd Street,58201,47.9109862,-97.0872084
3551,32nd Avenue South,58201,47.8887800,-97.0793849
3450,32nd Avenue South,58201,47.8900545,-97.0781422
1950,32nd Avenue South,58201,47.8906924,-97.0545312
1970,32nd Avenue South,58201,47.8900251,-97.0556209
1301,South Washington Street,58201,47.9088243,-97.0446011
2250,South Columbia Road,58201,47.8982556,-97.0674546
1850,South Columbia Road,58201,47.9025614,-97.0671328
1900,South Washington Street,58201,47.9012405,-97.0487303
3861,32nd Avenue South,58201-5907,47.8868547,-97.0839586
3600,South Columbia Road,58201-3527,47.8854443,-97.0674911
3301,32nd Avenue South,58201,47.8873605,-97.0763722
3551,32 Avenue South,58201,47.8889810,-97.0793599
1726,South Washington Street,58201,47.9022276,-97.0489600
1925,13th Avenue North,58203,47.9316214,-97.0546614
2855,10th Avenue North,58203,47.9290006,-97.0683946
4326,Gateway Drive,58203,47.9336798,-97.0909976
1801,Gateway Drive,58203,47.9327564,-97.0522400
701,South 4th Street,58201,47.9197949,-97.0225272
1301,University Avenue,58203,47.9219134,-97.0454887
614,South 18th Street,58201,47.9158581,-97.0528890
3901,32nd Ave. S.,58201,47.8888948,-97.0841330
3201,32nd Avenue S.,58201,47.8873192,-97.0752281
3221,32nd Avenue South,58201,47.8884606,-97.0748292
3221,32nd Avenue South,58201,47.8887740,-97.0747769
3221,32nd Avenue South,58201,47.8889816,-97.0747468
116,South 3rd Street,58201,47.9239230,-97.0286822
124,Belmont Road,58201,47.9206774,-97.0288662
123,North 3rd Street,58203,47.9266300,-97.0325284
17,North 3rd Street,58203,47.9256052,-97.0315443
321,Kittson Avenue,58201,47.9237737,-97.0296113
317 1/2,Kittson Avenue,58201,47.9238413,-97.0295458
1300,Ralph Engelstad Arena Drive,58203,47.9323553,-97.0697993
1225,South Columbia Road,58201,47.9099946,-97.0660385
13,N 3rd St,58203,47.9254500,-97.0314446
905,South Washington Street,58201,47.9127696,-97.0446481
1149,36th Avenue South,58201,47.8854990,-97.0435891
715,South Washington Street,58201,47.9147742,-97.0441724
4200,James Ray Dr,58202,47.9207229,-97.0888783
3750,32nd Avenue South,58201,47.8907717,-97.0815049
2450,South Columbia Road,58201,47.8958680,-97.0676627
2450,South Columbia Road,58201,47.8958710,-97.0673124
2450,South Columbia Road,58201-6512,47.8958472,-97.0680540
3220,South Washington Street,58201,47.8887015,-97.0465141
3220,South Washington Street,58201,47.8884926,-97.0465119
311,DeMers Avenue,58201,47.9248455,-97.0308537
4326,Gateway Drive,58203,47.9337764,-97.0913033
1211,North 47th Street,58203,47.9317672,-97.0968515
1213,North 47th Street,58203,47.9322453,-97.0969400
4720,Gateway Drive,58201,47.9336937,-97.0961595
1212,North 47th Street,58203,47.9322237,-97.0957088
1212,North 47th Street,58203,47.9319110,-97.0954943
4720,Gateway Drive,58201,47.9338860,-97.0967603
3635,Gateway Drive,58203,47.9324376,-97.0829523
1305,Stanford Road,58203,47.9318346,-97.0816179
3635,Gateway Drive,58203,47.9325660,-97.0829321
4250,University Avenue,58203,47.9227134,-97.0885903
4250,University Avenue,58203,47.9227440,-97.0889765
4315,Demers Avenue,58201,47.9178386,-97.0901258
