House number,Street name,Postal code,Latitude,Longitude
300,Aurora Commons Circle,44202,41.3158135,-81.3569108
92,Barrington Town Square,44202,41.3201322,-81.3484589
70,Barrington Town Square,44202,41.3201230,-81.3480313
199,West Garfield,44202-8859,41.3168517,-81.3522963
157,West Garfield Road,44202,41.3170374,-81.3501818
120,Barrington Town Square,44202,41.3195577,-81.3491478
114,Barrington Town Square,44202,41.3196992,-81.3489770
96,Barrington Town Square,44202,41.3200729,-81.3487886
95,North Chillicothe Road,44202,41.3196623,-81.3463066
85,Barrington Town Square,44202,41.3188618,-81.3474640
105,Barrington Town Square,44202,41.3187744,-81.3474605
112,Barrington Town Square,44202,41.3197822,-81.3489766
75,North Chillicothe Road,44202,41.3195544,-81.3463146
115,North Chillicothe Road,44202,41.3203063,-81.3472306
55,North Chillicothe Road,44202,41.3191176,-81.3464905
215,Barrington Town Square,44202,41.3177309,-81.3486752
195,Barrington Town Square,44202,41.3178237,-81.3479689
549,South Chillicothe Road,44202,41.3025196,-81.3443325
549,South Chillicothe Road,44202,41.3023398,-81.3443366
549,South Chillicothe Road,44202,41.3023169,-81.3436918
549,South Chillicothe Road,44202,41.3015441,-81.3444471
549,South Chillicothe Road,44202,41.3015332,-81.3442821
549,South Chillicothe Road,44202,41.3011844,-81.3444149
549,South Chillicothe Road,44202,41.3011826,-81.3441113
549,South Chillicothe Road,44202,41.3011325,-81.3435969
549,South Chillicothe Road,44202,41.3012211,-81.3427992
549,South Chillicothe Road,44202,41.3014490,-81.3430787
549,South Chillicothe Road,44202,41.3020967,-81.3432233
549,South Chillicothe Road,44202,41.3020773,-81.3426103
549,South Chillicothe Road,44202,41.3020484,-81.3422407
549,South Chillicothe Road,44202,41.3020885,-81.3419854
549,South Chillicothe Road,44202,41.3017298,-81.3423161
549,South Chillicothe Road,44202,41.3017227,-81.3420412
549,South Chillicothe Road,44202,41.3017215,-81.3419454
549,South Chillicothe Road,44202,41.3015456,-81.3424465
549,South Chillicothe Road,44202,41.3014642,-81.3424560
549,South Chillicothe Road,44202,41.3012640,-81.3415152
549,South Chillicothe Road,44202,41.3012652,-81.3413867
549,South Chillicothe Road,44202,41.3012679,-81.3412020
549,South Chillicothe Road,44202,41.3012679,-81.3411187
549,South Chillicothe Road,44202,41.3012679,-81.3410276
549,South Chillicothe Road,44202,41.3012668,-81.3408626
549,South Chillicothe Road,44202,41.3012656,-81.3406914
549,South Chillicothe Road,44202,41.3012620,-81.3405044
549,South Chillicothe Road,44202,41.3012609,-81.3402185
549,South Chillicothe Road,44202,41.3012538,-81.3398807
549,South Chillicothe Road,44202,41.3012502,-81.3396277
549,South Chillicothe Road,44202,41.3012396,-81.3393606
549,South Chillicothe Road,44202,41.3015459,-81.3389000
549,South Chillicothe Road,44202,41.3016961,-81.3388976
549,South Chillicothe Road,44202,41.3018035,-81.3389024
549,South Chillicothe Road,44202,41.3018983,-81.3389000
549,South Chillicothe Road,44202,41.3020092,-81.3388976
549,South Chillicothe Road,44202,41.3021040,-81.3388905
549,South Chillicothe Road,44202,41.3021988,-81.3388881
549,South Chillicothe Road,44202,41.3023742,-81.3392786
549,South Chillicothe Road,44202,41.3023742,-81.3394310
549,South Chillicothe Road,44202,41.3023795,-81.3396882
549,South Chillicothe Road,44202,41.3023581,-81.3399073
549,South Chillicothe Road,44202,41.3023652,-81.3405765
549,South Chillicothe Road,44202,41.3023634,-81.3409122
549,South Chillicothe Road,44202,41.3023670,-81.3410813
549,South Chillicothe Road,44202,41.3023742,-81.3412647
376,Aurora Commons Circle,44202,41.3142349,-81.3567248
370,Aurora Commons Circle,44202,41.3143246,-81.3570595
302,Aurora Commons Circle,44202,41.3154532,-81.3570513
312,Aurora Commons Circle,44202,41.3153145,-81.3571484
324,Aurora Commons Circle,44202,41.3152107,-81.3572291
360,Aurora Commons Circle,44202,41.3148029,-81.3574247
328,Aurora Commons Circle,44202,41.3151039,-81.3572961
900,North Aurora Road,44202,41.3428079,-81.3680614
849,North Aurora Road,44202,41.3405442,-81.3693130
889,North Aurora Road,44202,41.3410584,-81.3714493
400,Aurora Commons Circle,44202,41.3146253,-81.3559161
800,North Aurora Road,44202,41.3396806,-81.3657098
200,Aurora Industrial Parkway,44202,41.2878810,-81.3399961
115,East Pioneer Trail,44202,41.3127755,-81.3438933
800,North Aurora Road,44202,41.3396459,-81.3656707
115,North Chillicothe Road,44202,41.3203448,-81.3472857
140,Barrington Town Square,44202,41.3190327,-81.3491638
118,West Garfield Road,44202,41.3179619,-81.3493611
215,Barrington Town Square,44202,41.3177386,-81.3486767
95,North Chillicothe Road,44202,41.3197075,-81.3463167
55,North Chillicothe Road,44202,41.3191255,-81.3464795
195,Barrington Town Square,44202,41.3178400,-81.3479839
130,South Aurora Road,44202,41.3135744,-81.3462474
146,South Chillicothe Road,44202,41.3131398,-81.3463521
100,South Aurora Road,44202,41.3145039,-81.3475018
161,Garfield Road West,44202,41.3168478,-81.3511530
545,Bristol Drive,44202,41.3324216,-81.3561104
158,West Pioneer Trail,44202,41.3150232,-81.3529989
109,West Pioneer Trail,44202,41.3111094,-81.3506991
130,Aurora Hudson Road,44202,41.3079015,-81.3521544
1455,Danner Drive,44202,41.2781643,-81.3289532
30,Shawnee Trail,44202,41.3168962,-81.3442029
75,North Chillicothe Road,44202,41.3195554,-81.3463191
251,West Garfield Road,44202,41.3167706,-81.3551544
400,Aurora Commons Circle,44202,41.3146131,-81.3558911
376,Aurora Commons Circle,44202,41.3142397,-81.3567244
370,Aurora Commons Circle,44202,41.3143374,-81.3570793
300,Aurora Commons Circle,44202,41.3158382,-81.3570015
305,Aurora Commons Circle,44202,41.3157077,-81.3543039
301,Aurora Commons Circle,44202,41.3164515,-81.3542409
900,North Aurora Road,44202,41.3428364,-81.3681194
722,Nancy Drive,44202,41.3325047,-81.3770536
