House number,Street name,Postal code,Latitude,Longitude
211,Buffalo Street,44030,41.9427292,-80.5575973
272,East Main Road,44030,41.9398417,-80.5432677
641,Mill Street,44030,41.9532368,-80.5588010
294,Main Street,44030,41.9428143,-80.5569517
353,Liberty Street,44030,41.9406019,-80.5586156
264,Sandusky Street,44030,41.9437724,-80.5585508
392,Middle Road,44030,41.9392958,-80.5423292
199,Gateway Avenue,44030,41.9221174,-80.5705736
199,Gateway Avenue,44030,41.9219285,-80.5706262
382,West Main Road,44030,41.9321236,-80.6043839
384,West Main Road,44030,41.9318992,-80.6049451
350,West Main Road,44030,41.9338868,-80.6042203
364,West Main Road,44030,41.9333285,-80.6048926
362,West Main Road,44030,41.9334208,-80.6047542
354,West Main Road,44030,41.9336498,-80.6044150
2,Loves Drive,44030,41.9138063,-80.5706606
780,State Route 7,44030,41.9145762,-80.5674678
100,Hawthorne Drive,44030,41.9312743,-80.6090569
280,Cedar Road,44030,41.9320048,-80.6059741
432,West Main Road,44030,41.9297285,-80.6080931
381,State Street,44030,41.9435058,-80.5610652
381,State Street,44030,41.9435237,-80.5607237
364,Main Street,44030,41.9421538,-80.5596200
305,Main Street,44030,41.9421313,-80.5575413
328,Main Street,44030,41.9423710,-80.5584504
110,Gateway Avenue,44030,41.9252350,-80.5676456
110,Gateway Avenue,44030,41.9238850,-80.5674878
455,East Main Road,44030,41.9401271,-80.5283164
388,East Main Road,44030,41.9409480,-80.5341955
312,State Street,44030,41.9442396,-80.5578417
380,State Street,44030,41.9442840,-80.5608698
370,State Street,44030,41.9441256,-80.5600897
362,State Street,44030,41.9441420,-80.5596201
339,State Street,44030,41.9436907,-80.5592424
367,State Street,44030,41.9435529,-80.5600077
346,State Street,44030,41.9440762,-80.5593440
480,State Street,44030,41.9439354,-80.5640754
304,Buffalo Street,44030,41.9452342,-80.5566976
283,Buffalo Street,44030,41.9449922,-80.5578850
268,State Street,44030,41.9442844,-80.5564796
246,State Street,44030,41.9443486,-80.5555401
224,State Street,44030,41.9443630,-80.5547669
220,State Street,44030,41.9444055,-80.5543512
215,State Street,44030,41.9439230,-80.5549240
241,State Street,44030,41.9438060,-80.5554857
251,State Street,44030,41.9438844,-80.5558908
226,Broad Street,44030,41.9435334,-80.5558688
248,Buffalo Street,44030,41.9438484,-80.5569607
237,Broad Street,44030,41.9438851,-80.5564399
231,Broad Street,44030,41.9436769,-80.5564449
229,Broad Street,44030,41.9436236,-80.5564405
225,Broad Street,44030,41.9435314,-80.5564383
223,Broad Street,44030,41.9434688,-80.5564409
227,Broad Street,44030,41.9435732,-80.5564382
236,Main Street,44030,41.9432989,-80.5554177
213,Washington Street,44030,41.9435222,-80.5554374
290,Main Street,44030,41.9429752,-80.5566409
294,Main Street,44030,41.9428665,-80.5569800
294,Main Street,44030,41.9429837,-80.5570308
345,Main Street,44030,41.9416474,-80.5588551
236,Buffalo Street,44030,41.9432575,-80.5570104
309,State Street,44030,41.9435615,-80.5576429
600,Days Boulevard,44030,41.9194380,-80.5667871
263,Main Street,44030,41.9425977,-80.5561364
265,Main Street,44030,41.9424928,-80.5562933
275,Main Street,44030,41.9424283,-80.5564713
281,Main Street,44030,41.9422862,-80.5566860
245,Main Street,44030,41.9427977,-80.5553918
187,Broad Street,44030,41.9424457,-80.5560530
243,Main Street,44030,41.9428273,-80.5552770
235,Main Street,44030,41.9428743,-80.5551198
221,Main Street,44030,41.9429807,-80.5546073
216,Main Street,44030,41.9434937,-80.5548149
216,Main Street,44030,41.9435056,-80.5547609
216,Main Street,44030,41.9435200,-80.5546916
214,Main Street,44030,41.9435434,-80.5546138
212,Main Street,44030,41.9435712,-80.5544714
228,Harbor Street,44030,41.9440817,-80.5534598
272,Broad Street,44030,41.9447691,-80.5557137
191,Main Street,44030,41.9433643,-80.5536105
228,Harbor Street,44030,41.9442135,-80.5534960
232,Harbor Street,44030,41.9444745,-80.5533097
494,East Main Road,44030,41.9427165,-80.5269771
512,West Main Road,44030,41.9275952,-80.6149172
512,West Main Road,44030,41.9274635,-80.6150052
554,West Main Road,44030,41.9270597,-80.6181214
348,West Main Road,44030,41.9334575,-80.6024053
229,Main Street,44030,41.9430059,-80.5548517
666,Main Street,44030,41.9425219,-80.5705722
199,Gateway Avenue,44030,41.9215625,-80.5707106
240,Stadium Avenue,44030,41.9410962,-80.5759880
255,Main Street,44030,41.9426112,-80.5558527
256,Liberty Street,44030,41.9422959,-80.5554837
348,West Main Road,44030,41.9338995,-80.6031965
280,West Main Road,44030,41.9373240,-80.5973442
314,Mill Street,44030,41.9450876,-80.5598474
245,East Main Road,44030,41.9393148,-80.5448516
158,West Main Road,44030,41.9381555,-80.5864992
298,Park Avenue,44030,41.9656363,-80.5553672
381,Mill Street,44030,41.9469728,-80.5619389
501,Thompson Road,44030,41.9458080,-80.5383344
215,State Street,44030,41.9439328,-80.5549273
220,State Street,44030,41.9445384,-80.5543527
224,State Street,44030,41.9444165,-80.5547537
236,Main Street,44030,41.9433080,-80.5554351
213,Washington Street,44030,41.9435271,-80.5554469
219,Washington Street,44030,41.9436786,-80.5554919
241,State Street,44030,41.9438075,-80.5555444
251,State Street,44030,41.9438945,-80.5558891
226,Broad Street,44030,41.9435363,-80.5558638
