House number,Street name,Postal code,Latitude,Longitude
1425,Nilles Road,45014,39.3388268,-84.5347249
5440,Dixie Highway,45014-4108,39.3351127,-84.5256046
5440,Dixie Highway,45014,39.3350396,-84.5245453
5440,Dixie Highway,45014-4108,39.3353185,-84.5258761
8871,North Gilmore Road,45014,39.3358217,-84.5216846
5161,Dixie Highway,45014,39.3388178,-84.5338491
5161,Dixie Highway,45014,39.3389480,-84.5340369
4610,Pleasant Avenue,45014,39.3521635,-84.5581158
4511,Pleasant Avenue,45014,39.3529734,-84.5594735
4511,Pleasant Avenue,45014,39.3529413,-84.5591825
5065,Pleasant Avenue,45014,39.3415449,-84.5607390
560,Wessel Drive,45014,39.3360386,-84.5625278
4655,Dixie Highway,45014,39.3496188,-84.5447193
4605,Dixie Highway,45014,39.3508640,-84.5447873
6641,Dixie Highway,45014,39.3196049,-84.4987860
7504,Dixie Highway,45014,39.3022408,-84.4849438
5800,Boymel Drive,45014,39.3192384,-84.4981812
5440,Dixie Highway,45014-4108,39.3357359,-84.5244129
6755,Fairfield Business Center Drive,45014,39.3182740,-84.4930103
5975,Boymel Drive,45014,39.3155704,-84.4995519
4614,Industry Drive,45014,39.3489665,-84.5307783
6325,South Gilmore Road,45014,39.3052967,-84.5271793
430,Kolb Drive,45014,39.3062382,-84.5197596
3050,Mack Road,45014,39.3142066,-84.5165603
3000,Mack Road,45014,39.3132893,-84.5171006
563,Nilles Road,45014-2605,39.3371990,-84.5612713
4610,Pleasant Avenue,45014,39.3521985,-84.5582387
1300,Hunter Road,45014,39.3195952,-84.5747704
2820,East Airport Road,45014,39.3639161,-84.5218124
102,Iwata Drive,45014,39.3415172,-84.4863187
684,Nilles Road,45014,39.3381188,-84.5577492
5230,Pleasant Avenue,45014,39.3365737,-84.5582821
6725,Fairfield Business Center,45014,39.3186037,-84.4936850
4760,State Route 4,45014,39.3473215,-84.5401308
5440,Dixie Highway,45014-4108,39.3351183,-84.5241837
411,Wessel Drive,45014,39.3339570,-84.5640185
2425,Mack Road,45014,39.3129864,-84.5386295
1485,Corydale Drive,45014,39.3347454,-84.5657056
1000,Symmes Road,45014,39.3519389,-84.5452582
6419,Dixie Highway,45014,39.3213443,-84.5031310
6400,Dixie Highway,45014,39.3238679,-84.5037836
7300,Dixie Highway,45014,39.3070477,-84.4862802
7300,Dixie Highway,45014,39.3070709,-84.4859598
6735,Dixie Highway,45014,39.3183247,-84.4960560
5410,Dixie Highway,45014,39.3358695,-84.5268071
5374,Dixie Highway,45014,39.3362322,-84.5273298
470,Kolb Drive,45014,39.3061237,-84.5212624
525,Kolb Drive,45014,39.3048148,-84.5229478
7311,Dixie Highway,45014,39.3068646,-84.4872786
7321,Dixie Highway,45014-5546,39.3061942,-84.4871366
8790,North Gilmore Road,45014,39.3380389,-84.5193343
5650,Kingsbury Road,45014,39.3250443,-84.5533956
745,Nilles Road,45014,39.3370510,-84.5552683
4920,River Road,45014,39.3442977,-84.5657662
6705,Fairfield Business Center,45014,39.3188103,-84.4943025
6181,Ross Road,45014,39.3108000,-84.5050740
1066,Symmes Road,45014,39.3517530,-84.5436000
6305,South Gilmore Road,45014,39.3049714,-84.5243466
6315,South Gilmore Road,45014,39.3039008,-84.5242486
350,Kolb Drive,45014,39.3060146,-84.5162457
8800,Holden Boulevard,45014,39.3368899,-84.5180132
3256,Dixie Highway,45014,39.3620469,-84.5423356
300;100,Cincinnati Mills Drive,45240,39.3035784,-84.5178538
