House number,Street name,Postal code,Latitude,Longitude
6131,Highland Road,44143,41.5526709,-81.4584014
6345,Wilson Mills Road Alpha Place,44143,41.5395817,-81.4515601
793,Bishop Road,44143,41.5395668,-81.4781509
6267,Wilson Mills Road,44143,41.5392845,-81.4533880
797,Bishop Road,44143,41.5394934,-81.4781433
675,Alpha Drive,44143,41.5460151,-81.4527388
5335,"Avion Park Drive, Unit C",44143,41.5601173,-81.4870689
675,Alpha Drive,44143,41.5457662,-81.4528512
6237,Wilson Mills Road,44143,41.5395335,-81.4545354
675,"Alpha Dr, #E",44143,41.5460064,-81.4527158
6235,Wilson Mills Road,44143,41.5406509,-81.4547889
5612,Wilson Mills Road,44143,41.5378263,-81.4774641
342,Glasgow Drive,44143,41.5640009,-81.4667968
346,Glasgow Drive,44143,41.5637761,-81.4665113
354,Glasgow Drive,44143,41.5635106,-81.4657329
220,Skye Road,44143,41.5677683,-81.4658712
226,Skye Road,44143,41.5676618,-81.4656395
792,Miner Road,44143,41.5396954,-81.4586988
788,Miner Road,44143,41.5400008,-81.4587475
749,Miner Road,44143,41.5423564,-81.4570032
729,Miner Road,44143,41.5429515,-81.4570658
5351,Wilson Mills Road,44143,41.5395802,-81.4866779
5323,Wilson Mills Road,44143,41.5393537,-81.4877227
775,Cheriton Drive,44143,41.5400738,-81.4863241
5363,Wilson Mills Road,44143,41.5395222,-81.4861559
777,Cheriton Drive,44143,41.5400194,-81.4866401
5348,Wilson Mills Road,44143,41.5386705,-81.4869093
786,Radford Drive,44143,41.5401318,-81.4873706
5340,Wilson Mills Road,44143,41.5386558,-81.4871809
5324,Wilson Mills Road,44143,41.5386419,-81.4877417
5332,Wilson Mills Road,44143,41.5386515,-81.4874600
5827,Highland Road,44143,41.5542246,-81.4702154
5827,Highland Road,44143,41.5532276,-81.4700656
773,Alpha Drive,44143,41.5404154,-81.4513336
6018,Aberdeen Boulevard,44143,41.5631211,-81.4625680
5596,Highland Road,44143,41.5522378,-81.4779634
6151,Wilson Mills Road,44143,41.5394790,-81.4575110
6139,Wilson Mills Road,44143,41.5393708,-81.4580173
5564,Wilson Mills Road,44143,41.5386196,-81.4790452
950,Millridge Road,44143,41.5350929,-81.4762985
653,Miner Road,44143,41.5474963,-81.4569439
685,Miner Road,44143,41.5453513,-81.4570542
699,Miner Road,44143,41.5445845,-81.4569798
707,Miner Road,44143,41.5438901,-81.4570474
5360,Wilson Mills Road,44143,41.5380181,-81.4863203
5437,Wilson Mills Road,44143,41.5393739,-81.4836526
5433,Wilson Mills Road,44143,41.5393081,-81.4838940
5415,Wilson Mills Road,44143,41.5393716,-81.4843680
5411,Wilson Mills Road,44143,41.5394069,-81.4845579
5407,Wilson Mills Road,44143,41.5393610,-81.4847239
5401,Wilson Mills Road,44143,41.5393469,-81.4849455
5387,Wilson Mills Road,44143,41.5393557,-81.4853035
5383,Wilson Mills Road,44143,41.5393262,-81.4856176
5375,Wilson Mills Road,44143,41.5393241,-81.4858844
5432,Wilson Mills Road,44143,41.5385768,-81.4837869
5444,Wilson Mills Road,44143,41.5386186,-81.4834091
5456,Wilson Mills Road,44143,41.5386519,-81.4830818
782,Radford Drive,44143,41.5403398,-81.4873735
778,Radford Drive,44143,41.5405839,-81.4874527
774,Radford Drive,44143,41.5407894,-81.4876046
770,Radford Drive,44143,41.5409936,-81.4878498
765,Radford Drive,44143,41.5416652,-81.4876177
769,Radford Drive,44143,41.5415337,-81.4874295
771,Radford Drive,44143,41.5413954,-81.4872036
773,Radford Drive,44143,41.5412132,-81.4869607
777,Radford Drive,44143,41.5410369,-81.4867964
776,Cheriton Drive,44143,41.5406849,-81.4867376
770,Cheriton Drive,44143,41.5407881,-81.4863991
764,Cheriton Drive,44143,41.5410249,-81.4862729
758,Cheriton Drive,44143,41.5412810,-81.4862403
754,Cheriton Drive,44143,41.5414956,-81.4862526
750,Cheriton Drive,44143,41.5417380,-81.4862434
746,Cheriton Drive,44143,41.5419432,-81.4862535
742,Cheriton Drive,44143,41.5421694,-81.4862532
738,Cheriton Drive,44143,41.5423968,-81.4862538
734,Cheriton Drive,44143,41.5426344,-81.4862500
730,Cheriton Drive,44143,41.5428664,-81.4862245
726,Cheriton Drive,44143,41.5430772,-81.4862548
722,Cheriton Drive,44143,41.5432965,-81.4862510
718,Cheriton Drive,44143,41.5435244,-81.4862531
714,Cheriton Drive,44143,41.5437410,-81.4862366
685,Kenbridge Drive,44143,41.5441764,-81.4860699
691,Kenbridge Drive,44143,41.5441849,-81.4863770
701,Kenbridge Drive,44143,41.5440928,-81.4866695
709,Kenbridge Drive,44143,41.5439387,-81.4868638
717,Kenbridge Drive,44143,41.5436885,-81.4869675
723,Kenbridge Drive,44143,41.5434720,-81.4869670
727,Kenbridge Drive,44143,41.5432289,-81.4869684
731,Kenbridge Drive,44143,41.5429549,-81.4869717
735,Kenbridge Drive,44143,41.5427102,-81.4869842
739,Kenbridge Drive,44143,41.5424950,-81.4869666
741,Kenbridge Drive,44143,41.5422677,-81.4870943
743,Kenbridge Drive,44143,41.5420437,-81.4871790
773,Cheriton Drive,44143,41.5401813,-81.4860509
771,Cheriton Drive,44143,41.5403409,-81.4857435
769,Cheriton Drive,44143,41.5405412,-81.4855991
767,Cheriton Drive,44143,41.5407580,-81.4854711
763,Cheriton Drive,44143,41.5409775,-81.4854327
759,Cheriton Drive,44143,41.5412141,-81.4854107
755,Cheriton Drive,44143,41.5414555,-81.4854027
751,Cheriton Drive,44143,41.5416944,-81.4854087
747,Cheriton Drive,44143,41.5419156,-81.4854409
741,Cheriton Drive,44143,41.5421605,-81.4854021
737,Cheriton Drive,44143,41.5423940,-81.4854008
733,Cheriton Drive,44143,41.5426200,-81.4854368
729,Cheriton Drive,44143,41.5428754,-81.4854056
