House number,Street name,Postal code,Latitude,Longitude
6007,Brandt Pike,45424,39.8400895,-84.1181821
7435,Brandt Pike,45424,39.8599283,-84.1056025
6243,Brandt Pike,45424,39.8425819,-84.1168930
8201,Saint Route 235,45424,39.8729174,-84.0556677
7215,Taylorsville Road,45424,39.8616180,-84.1059706
7213,Taylorsville Road,45424,39.8617212,-84.1058967
7215,Taylorsville Road,45424,39.8617531,-84.1059878
8974,Old Troy Pike,45371,39.8844364,-84.1353073
6182,Chambersburg Road,45424,39.8458300,-84.1171093
8301,Troy Pike,45424,39.8755248,-84.1401152
8625,Brandt Pike,45424,39.8787506,-84.1020308
4646,Cobblestone Drive,45371,39.8896720,-84.1344602
4644,Cobblestone Drive,45371,39.8896299,-84.1344665
4642,Cobblestone Drive,45371,39.8896764,-84.1346252
4640,Cobblestone Drive,45371,39.8896373,-84.1346310
4638,Cobblestone Drive,45371,39.8896203,-84.1351586
4653,Cobblestone Drive,45371,39.8901737,-84.1337279
4655,Cobblestone Drive,45371,39.8900209,-84.1337599
4645,Cobblestone Drive,45371,39.8900143,-84.1343741
4647,Cobblestone Drive,45371,39.8900125,-84.1343103
4650,Cobblestone Drive,45371,39.8896525,-84.1341897
4648,Cobblestone Drive,45371,39.8896220,-84.1341925
4652,Cobblestone Drive,45371,39.8896169,-84.1339965
4654,Cobblestone Drive,45371,39.8896434,-84.1339940
4641,Cobblestone Drive,45371,39.8901704,-84.1343613
4643,Cobblestone Drive,45371,39.8901687,-84.1343037
4651,Cobblestone Drive,45371,39.8901731,-84.1337839
4653,Cobblestone Drive,45371,39.8900215,-84.1337069
4632,Cobblestone Drive,45371,39.8897713,-84.1352056
4634,Cobblestone Drive,45371,39.8897660,-84.1351215
4636,Cobblestone Drive,45371,39.8896237,-84.1352112
4628,Cobblestone Drive,45371,39.8899849,-84.1351712
4624,Cobblestone Drive,45371,39.8901132,-84.1351309
4626,Cobblestone Drive,45371,39.8901101,-84.1350774
4630,Cobblestone Drive,45371,39.8899805,-84.1350878
4616,Cobblestone Drive,45371,39.8905776,-84.1345144
4656,Cobblestone Drive,45371,39.8895964,-84.1337441
4658,Cobblestone Drive,45371,39.8896466,-84.1337393
4660,Cobblestone Drive,45371,39.8895835,-84.1335836
4662,Cobblestone Drive,45371,39.8896369,-84.1335784
4618,Cobblestone Drive,45371,39.8905295,-84.1345118
4620,Cobblestone Drive,45371,39.8905920,-84.1346463
4622,Cobblestone Drive,45371,39.8905332,-84.1346431
4612,Cobblestone Drive,45371,39.8905711,-84.1342052
4614,Cobblestone Drive,45371,39.8905276,-84.1342027
4608,Cobblestone Drive,45371,39.8905617,-84.1340278
4610,Cobblestone Drive,45371,39.8905360,-84.1340263
4604,Cobblestone Drive,45371,39.8905751,-84.1337694
4606,Cobblestone Drive,45371,39.8905515,-84.1337679
4600,Cobblestone Drive,45371,39.8905775,-84.1335839
4602,Cobblestone Drive,45371,39.8905403,-84.1335817
4778,Cobblestone Drive,45371,39.8906209,-84.1331502
4776,Cobblestone Drive,45371,39.8905859,-84.1331479
4782,Cobblestone Drive,45371,39.8906302,-84.1329475
4780,Cobblestone Drive,45371,39.8905950,-84.1329438
4770,Cobblestone Drive,45371,39.8906812,-84.1326531
4768,Cobblestone Drive,45371,39.8906534,-84.1326458
4774,Cobblestone Drive,45371,39.8907142,-84.1324859
4772,Cobblestone Drive,45371,39.8906725,-84.1324740
4760,Cobblestone Drive,45371,39.8907495,-84.1321751
4762,Cobblestone Drive,45371,39.8907966,-84.1321949
4764,Cobblestone Drive,45371,39.8907955,-84.1319913
4766,Cobblestone Drive,45371,39.8908289,-84.1320054
4752,Cobblestone Drive,45371,39.8908734,-84.1317351
4754,Cobblestone Drive,45371,39.8909113,-84.1317509
4756,Cobblestone Drive,45371,39.8909119,-84.1315595
4758,Cobblestone Drive,45371,39.8909505,-84.1315757
4731,Cobblestone Drive,45371,39.8904201,-84.1317091
4733,Cobblestone Drive,45371,39.8904220,-84.1316659
4737,Cobblestone Drive,45371,39.8902928,-84.1316567
4735,Cobblestone Drive,45371,39.8902904,-84.1317113
4697,Cobblestone Drive,45371,39.8900789,-84.1316658
4695,Cobblestone Drive,45371,39.8900805,-84.1316013
4693,Cobblestone Drive,45371,39.8899550,-84.1315989
4691,Cobblestone Drive,45371,39.8899535,-84.1316539
4673,Cobblestone Drive,45371,39.8901355,-84.1328115
4671,Cobblestone Drive,45371,39.8900972,-84.1328006
4677,Cobblestone Drive,45371,39.8901672,-84.1326530
4675,Cobblestone Drive,45371,39.8901286,-84.1326420
4685,Cobblestone Drive,45371,39.8901893,-84.1322979
4683,Cobblestone Drive,45371,39.8901513,-84.1322836
4689,Cobblestone Drive,45371,39.8902121,-84.1321494
4687,Cobblestone Drive,45371,39.8901782,-84.1321367
4666,Cobblestone Drive,45371,39.8896481,-84.1333001
4664,Cobblestone Drive,45371,39.8896110,-84.1333030
4668,Cobblestone Drive,45371,39.8895927,-84.1331336
4670,Cobblestone Drive,45371,39.8896295,-84.1331308
4672,Cobblestone Drive,45371,39.8895681,-84.1328626
4674,Cobblestone Drive,45371,39.8896153,-84.1328587
4676,Cobblestone Drive,45371,39.8895596,-84.1326685
4678,Cobblestone Drive,45371,39.8895883,-84.1326661
4680,Cobblestone Drive,45371,39.8895371,-84.1324197
4682,Cobblestone Drive,45371,39.8895804,-84.1324155
4684,Cobblestone Drive,45371,39.8895206,-84.1322657
4686,Cobblestone Drive,45371,39.8895659,-84.1322613
4688,Cobblestone Drive,45371,39.8895080,-84.1319894
4690,Cobblestone Drive,45371,39.8895409,-84.1319867
4692,Cobblestone Drive,45371,39.8894941,-84.1318106
4694,Cobblestone Drive,45371,39.8895349,-84.1318074
4696,Cobblestone Drive,45371,39.8894773,-84.1315484
4698,Cobblestone Drive,45371,39.8895143,-84.1315469
4700,Cobblestone Drive,45371,39.8894589,-84.1313931
4702,Cobblestone Drive,45371,39.8895165,-84.1313908
6495,Troy Pike,45424,39.8474150,-84.1403146
6385,Chambersburg Road,45424,39.8472359,-84.1143526
6385,Chambersburg Road,45424,39.8473010,-84.1145623
6000,Brandt Pike,45424,39.8403934,-84.1168057
6000,Brandt Pike,45424,39.8401725,-84.1169294
8293,Old Troy Pike,45424,39.8749604,-84.1399873
8281,Old Troy Pike,45424,39.8746063,-84.1400302
8261,Old Troy Pike,45424,39.8735606,-84.1401268
8241,Old Troy Pike,45424,39.8732560,-84.1402126
8231,Old Troy Pik,45424,39.8729513,-84.1401053
8221,Old Troy Pike,45424,39.8724738,-84.1406542
6565,Brandt Pike,45424,39.8482976,-84.1140201
6210,Bellefontaine Road,45424,39.8403715,-84.1042249
6140,Chambersburg Road,45424,39.8458927,-84.1176517
5700,Executive Boulevard,45424,39.8707957,-84.1334268
8421,Old Troy Pike,45424,39.8770995,-84.1403486
7747,Troy Pike,45424,39.8668187,-84.1405851
5400,Chambersburg Road,45424,39.8464029,-84.1344377
5475,Kellenburger Road,45424,39.8833822,-84.1370720
6495,Troy Pike,45424,39.8475281,-84.1401749
6300,Brandt Pike,45424,39.8438285,-84.1142222
7907,Brandt Pike,45424,39.8667929,-84.1029381
7911,Brandt Pike,45424,39.8669081,-84.1022403
7680,Brandt Pike,45424,39.8632605,-84.0983013
8139,Old Troy Pike,45424,39.8714302,-84.1386329
1000,Coca-Cola Boulevard,45424,39.8764867,-84.0562193
6340,Brandt Pike,45424,39.8444075,-84.1146310
6583,Brandt Pike,45424,39.8486012,-84.1133973
6353,Brandt Pike,45424-4044,39.8446788,-84.1158114
6500,Brandt Pike,45424,39.8471782,-84.1133473
6494,Brandt Pike,45424,39.8466109,-84.1138174
6398,Brandt Pike,45424-4041,39.8453018,-84.1142183
8158,Old Troy Pike,45424,39.8745016,-84.1365718
8100,Old Troy Pike,45424,39.8714131,-84.1369453
8134,Troy Pike,45424,39.8725892,-84.1367529
7150,Executive Boulevard,45424,39.8688970,-84.1031820
8120,Troy Pike,45424,39.8718966,-84.1367008
8110,Old Troy Pike,45424,39.8718990,-84.1358373
8134,Troy Pike,45424,39.8725683,-84.1364727
7781,Old Troy Road,45424,39.8663781,-84.1385509
7607,Old Troy Pike,45424-2038,39.8648616,-84.1384874
5588,Merily Way,45424,39.8668262,-84.1359174
5561,Merily Way,45424,39.8675735,-84.1372436
5562,Merily Way,45424-2029,39.8669086,-84.1373227
6121,Taylorsville Road,45424,39.8639506,-84.1304362
5210,Sabra Avenue,45424,39.8391725,-84.1263518
5475,Kellenburger Road,45424,39.8836129,-84.1377950
7211,Taylorsville Road,45424,39.8613006,-84.1059986
8974,Old Troy Pike,45371,39.8844026,-84.1353698
8104,Old Troy Pike,45424,39.8712954,-84.1360359
6495,Brandt Pike,45424,39.8460795,-84.1153039
6061,Old Troy Pike,45424,39.8427662,-84.1422730
2493,Sunset Maple Drive,45371,39.8898672,-84.1087329
9975,Old Troy Pike,45371,39.8853143,-84.1355606
4661,Cobblestone Drive,45371,39.8901452,-84.1332615
4782,Fishburg Road,45424,39.8404661,-84.1371724
6219,Shady Oak Street,45424,39.8426653,-84.1115224
6195,Shady Oak Street,45424,39.8425297,-84.1123339
6168,Shady Oak Street,45424,39.8419136,-84.1117401
6165,Shady Oak Street,45424,39.8419949,-84.1124373
6123,Shady Oak Street,45424,39.8413966,-84.1125005
6122,Shady Oak Street,45424,39.8411223,-84.1118325
6075,Shady Oak Street,45424,39.8407073,-84.1125908
6074,Shady Oak Street,45424,39.8405645,-84.1118108
6029,Shady Oak Street,45424,39.8400041,-84.1126096
6028,Shady Oak Street,45424,39.8397738,-84.1119364
6498,Troy Pike,45424,39.8478680,-84.1388551
6498,Troy Pike,45424,39.8478893,-84.1390536
6020,Charlesgate Road,45424,39.8801705,-84.1263335
5697,Shull Road,45424,39.8778125,-84.1338100
6887,Charlesgate Road,45424,39.8792595,-84.1061785
6927,Charlesgate Road,45424,39.8792865,-84.1051515
6877,Charlesgate Road,45424,39.8792435,-84.1064460
6857,Charlesgate Road,45424,39.8792420,-84.1069605
6777,Charlesgate Road,45424,39.8790315,-84.1092730
6837,Charlesgate Road,45424,39.8792070,-84.1077500
6848,Charlesgate Road,45424,39.8787705,-84.1071960
6817,Charlesgate Road,45424,39.8791560,-84.1082715
6957,Charlesgate Road,45424,39.8793340,-84.1043945
6838,Charlesgate Road,45424,39.8787435,-84.1074585
6827,Charlesgate Road,45424,39.8791895,-84.1080010
6967,Charlesgate Road,45424,39.8793405,-84.1041310
6997,Charlesgate Road,45424,39.8793450,-84.1033635
6968,Charlesgate Road,45424,39.8788805,-84.1042610
6897,Charlesgate Road,45424,39.8792665,-84.1059350
6978,Charlesgate Road,45424,39.8788795,-84.1039610
5173,Chambersburg Road,45424,39.8486590,-84.1340535
6661,Harshmanville Road,45424,39.8496345,-84.1260655
