House number,Street name,Postal code,Latitude,Longitude
123,W Carrol St,43326,40.6491441,-83.6089328
910,East Columbus Street,43326,40.6505397,-83.5943676
902,East Columbus Street,43326,40.6498804,-83.5948611
101,Jacob Parrott Boulevard,43326,40.6451061,-83.5909611
914,East Columbus Street,43326,40.6506750,-83.5937506
952,East Columbus Street,43326,40.6504217,-83.5910255
507,East Columbus Street,43326,40.6485607,-83.6018831
1,North Detroit Street,43326,40.6473671,-83.6093732
23,North Detroit Street,43326,40.6480939,-83.6093348
960,Fontaine Street,43326,40.6358025,-83.6135100
925,East Columbus Street,43326,40.6514684,-83.5941539
981,East Columbus Street,43326,40.6517634,-83.5933278
350,South Main Street,43326,40.6436527,-83.6085211
1255,South Main Street,43326,40.6343634,-83.6018244
215,South Detroit Street,43326,40.6455657,-83.6090783
955,East Columbus Street,43326,40.6520615,-83.5934061
306,West Franklin Street,43326,40.6473912,-83.6108780
1235,SR 67 E / East Columbus St,43326,40.6567496,-83.5848600
1241,SR 67 E / East Columbus Street,43326,40.6569418,-83.5843501
961,East Columbus Street,43326,40.6525465,-83.5933329
915,East Columbus Street,43326,40.6515555,-83.5946016
987,East Columbus Street,43326,40.6530963,-83.5920818
989,East Columbus Street,43326,40.6531981,-83.5917519
202,South Market Street,43326,40.6460084,-83.6107553
1241,SR 67 E / East Columbus St,43326,40.6569420,-83.5840104
317,East Carrol Street,43326,40.6493400,-83.6048053
200,Harding Avenue,43326,40.6537972,-83.5966439
111,West Franklin Street,43326,40.6469498,-83.6085578
111,East Columbus Street,43326,40.6484096,-83.6074598
119,East Columbus Street,43326,40.6483231,-83.6071586
125,East Ohio Street,43326,40.6457719,-83.6088718
200,South Detroit Street,43326,40.6458178,-83.6096761
230,South Detroit Street,43326,40.6453451,-83.6097654
307,West Franklin Street,43326,40.6468737,-83.6114410
921,East Franklin Street,43326,40.6467332,-83.5958658
981,East Columbus Street,43326,40.6534079,-83.5926102
1005,East Columbus Street,43326,40.6544353,-83.5893456
1241,SR 67 E / East Columbus Street,43326,40.6572517,-83.5837076
995,North Detroit Street,43326,40.6603268,-83.6095669
303,North Detroit Street,43326,40.6506986,-83.6094834
1025,South Main Street,43326,40.6364701,-83.6032480
45,Jones Road,43326,40.6511077,-83.6385504
45,Jones Road,43326,40.6492690,-83.6404352
222,West Carrol Street,43326,40.6499281,-83.6100853
300,Oriental Street,43326,40.6506247,-83.5984960
990,East Columbus Street,43326,40.6516981,-83.5909164
946,East Columbus Street,43326,40.6513245,-83.5921367
940,East Columbus Street,43326,40.6510203,-83.5926933
1001,East Columbus Street,43326,40.6527906,-83.5902870
1003,East Columbus Street,43326,40.6528608,-83.5898498
999,East Columbus Street,43326,40.6524391,-83.5910074
209,North Detroit Street,43326,40.6496505,-83.6095052
123,West Carrol Street,43326,40.6491075,-83.6088786
113,West Carrol Street,43326,40.6491604,-83.6086287
711,Lima Street,43326,40.6486680,-83.6177537
157,East Franklin Street,43326,40.6474558,-83.6070621
215,East North Street,43326,40.6505944,-83.6058559
840,West Lima Street,43326,40.6506253,-83.6214497
1001,West Lima St,43326,40.6511819,-83.6242127
350,West Franklin Street,43326,40.6475042,-83.6124417
200,East Columbus Street,43326,40.6478489,-83.6064376
935,North Detroit Street,43326,40.6592960,-83.6091480
223,North Main Street,43326,40.6500005,-83.6081695
109,East Franklin Street,43326,40.6473249,-83.6076358
8,North Main Street,43326,40.6475098,-83.6076654
10,North Main Street,43326,40.6475794,-83.6076669
14,North Main Street,43326,40.6476363,-83.6077219
16,North Main Street,43326,40.6476896,-83.6076144
20,North Main Street,43326,40.6477557,-83.6076223
22,North Main Street,43326,40.6478192,-83.6076212
118,South Main Street,43326,40.6465432,-83.6082573
128,South Main Street,43326,40.6462621,-83.6082634
130,South Main Street,43326,40.6462024,-83.6082742
4,North Main Street,43326,40.6474036,-83.6077316
