House number,Street name,Postal code,Latitude,Longitude
726,East Main Street,45036,39.4342057,-84.1926808
726,East Main Street,45036,39.4340089,-84.1919620
15,East Warren Street,45036,39.4363565,-84.2071229
903,N Broadway St,45036,39.4505669,-84.2049612
605,Columbus Avenue,45036,39.4416658,-84.1955139
596,Columbus Avenue,45036,39.4402105,-84.1956714
596,Columbus Avenue,45036,39.4403664,-84.1958565
30,East Mulberry Street,45036,39.4346187,-84.2074937
2726,Henkle Drive,45036,39.3962187,-84.2202652
1889,Deerfield Road,45036,39.4055649,-84.2116333
1425,Columbus Avenue,45036,39.4542198,-84.1821250
100,Arrow Springs Boulevard,45036,39.3946828,-84.2085334
1330,Columbus Avenue,45036,39.4527881,-84.1797579
1280,Columbus Avenue,45036,39.4518558,-84.1794724
1530,Walmart Drive,45036,39.4561694,-84.1724967
605,Columbus Avenue,45036,39.4415013,-84.1955774
650,Columbus Avenue,45036,39.4412926,-84.1938489
580,Columbus Avenue,45036-1604,39.4401480,-84.1961516
3,Cherry Street,45036,39.4323893,-84.2059930
1550,Genntown Dr,45036,39.4572918,-84.1738584
920,Franklin Road,45036,39.4446563,-84.2231694
130,Cook Road,45036,39.4199750,-84.2051568
544,East Main Street,45036,39.4328636,-84.1962754
550,East Main,45036,39.4328227,-84.1958482
650,East Main Street,45036-1916,39.4328426,-84.1940918
722,East Main Street,45036,39.4326647,-84.1927718
722,East Main Street,45036,39.4328453,-84.1927569
615,East Main Street,45036,39.4319534,-84.1944144
715,East Main Street,45036,39.4318789,-84.1933070
723,Main Street,45036,39.4318210,-84.1927888
1248,Fox Hollow Drive,45036,39.4165795,-84.2087969
1252,Fox Hollow Drive,45036,39.4163440,-84.2089918
1256,Fox Hollow Drive,45036,39.4161912,-84.2092296
1260,Fox Hollow Drive,45036,39.4160352,-84.2094513
1264,Fox Hollow Drive,45036,39.4158724,-84.2096379
1267,Fox Hollow Drive,45036,39.4160422,-84.2102543
1263,Fox Hollow Drive,45036,39.4162171,-84.2100356
1259,Fox Hollow Drive,45036,39.4163889,-84.2098931
1244,Fox Hollow Drive,45036,39.4168023,-84.2087790
1240,Fox Hollow Drive,45036,39.4170501,-84.2088337
1236,Fox Hollow Drive,45036,39.4172648,-84.2088859
1230,Fox Hollow Drive,45036,39.4174643,-84.2091351
1220,Fox Hollow Drive,45036,39.4176961,-84.2090972
1208,Fox Hollow Drive,45036,39.4177878,-84.2086850
1204,Fox Hollow Drive,45036,39.4178623,-84.2083680
1200,Fox Hollow Drive,45036,39.4181274,-84.2082245
1201,Fox Hollow Drive,45036,39.4183501,-84.2084202
1205,Fox Hollow Drive,45036,39.4183945,-84.2087255
1209,Fox Hollow Drive,45036,39.4182705,-84.2089902
1213,Fox Hollow Drive,45036,39.4181838,-84.2093085
1217,Fox Hollow Drive,45036,39.4180377,-84.2095590
1221,Fox Hollow Drive,45036,39.4178352,-84.2097194
1225,Fox Hollow Drive,45036,39.4175852,-84.2097768
1229,Fox Hollow Drive,45036,39.4173655,-84.2097337
1233,Fox Hollow Drive,45036,39.4171469,-84.2095851
1237,Fox Hollow Drive,45036,39.4169544,-84.2094899
1249,Fox Hollow Drive,45036,39.4167044,-84.2094089
1255,Fox Hollow Drive,45036,39.4165382,-84.2096633
126,South Cherry Street,45036,39.4322007,-84.2054046
202,North Broadway Street,45036,39.4367623,-84.2077469
12,East Warren Street,45036,39.4367088,-84.2067706
