House number,Street name,Postal code,Latitude,Longitude
126,South Lebanon Road,45140-9301,39.2700010,-84.2846660
10689,Loveland Madeira Road,45140,39.2550591,-84.2955577
10655,Loveland Madeira Road,45140,39.2541372,-84.2965554
330,Loveland–Madeira Road,45140,39.2663906,-84.2676144
126,South Lebanon Road,45140-9301,39.2701913,-84.2846733
10663,Loveland Madeira Road,45140,39.2543211,-84.2963932
10675,Loveland Madeira Road,45140,39.2546907,-84.2960188
10649,Loveland Madeira Road,45140,39.2539483,-84.2966467
10649,Loveland Madeira Road,45140,39.2542182,-84.2964803
10659,Loveland Madeira Road,45140,39.2538446,-84.2966844
10665,Loveland Madeira Road,45140,39.2543679,-84.2963381
204,West Loveland Avenue,45140,39.2681765,-84.2587984
910,Loveland Madeira Road,45140,39.2628811,-84.2697070
920,Loveland–Madeira Road,45140,39.2624859,-84.2701252
910,Loveland Madeira Road,45140,39.2627740,-84.2694169
675,Loveland Madeira Road,45140,39.2632460,-84.2683809
305,West Loveland Avenue,45140,39.2681738,-84.2595839
515,Loveland Madeira Road,45140,39.2645894,-84.2673726
116,Karl Brown Way,45140,39.2678107,-84.2591274
10685,Loveland Madeira Road,45140,39.2550128,-84.2956071
641,Loveland Madeira Road,45140,39.2637228,-84.2677914
106,Railroad Avenue,45140,39.2681792,-84.2581121
10551,Loveland Madeira,45140,39.2510588,-84.2973420
201,West Loveland Avenue,45140,39.2676885,-84.2588149
547,Loveland Madeira Road,45140,39.2636682,-84.2678639
910,Loveland Madeira Road,45140,39.2628073,-84.2697897
910,Loveland Madeira Road,45140,39.2629266,-84.2696118
910,Loveland Madeira Road,45140,39.2627174,-84.2693503
910,Loveland Madeira Road,45140,39.2628363,-84.2694893
700,Loveland Madeira Road,45140,39.2622532,-84.2717264
700,Loveland Madeira Road,45140,39.2622076,-84.2717800
420,West Loveland Avenue,45140,39.2691432,-84.2625954
118,Karl Brown Way,45140,39.2676333,-84.2592333
209,Railroad Avenue,45140,39.2692499,-84.2580876
209,Railroad Avenue,45140,39.2692225,-84.2580126
211,Railroad Avenue,45140,39.2692650,-84.2579872
10567,Loveland Madeira Road,45140,39.2513388,-84.2972651
1120,Cottonwood Drive,45140,39.2558546,-84.2956084
1120,Cottonwood Drive,45140,39.2558648,-84.2956691
10653,Loveland Madeira Road,45140,39.2540807,-84.2965902
10651,Loveland Madeira Road,45140,39.2540184,-84.2966143
243,Wall Street,45140,39.2719632,-84.2639640
226,Loveland Madeira Road,45140,39.2667984,-84.2666546
112,South Riverside Drive,45140,39.2682885,-84.2619338
131,East Broadway Street,45140,39.2661825,-84.2589887
111,South 2nd Street,45140,39.2668143,-84.2569137
20,Grear Militzer Place,45140,39.2683186,-84.2570101
757,South Lebanon Road,45140,39.2638820,-84.2849656
126,South Lebanon Road,45140-9301,39.2700685,-84.2847895
126,South Lebanon Road,45140-9301,39.2702201,-84.2845132
126,South Lebanon Road,45140-9301,39.2700051,-84.2847908
113,Karl Brown Way,45140,39.2677821,-84.2595528
113,Karl Brown Way,45140,39.2678788,-84.2596985
123,South 2nd Street,45140,39.2665146,-84.2571980
700,Loveland Madeira Road,45140,39.2623016,-84.2716695
400,Loveland–Madeira Road,45140,39.2656735,-84.2678066
800,Loveland Madeira Road,45140,39.2611828,-84.2733861
894,Oakland Road,45140,39.2591623,-84.2468684
896,Oakland Road,45140,39.2593862,-84.2459890
1,Tiger Trail,45140,39.2796702,-84.2751378
910,Loveland Madeira Road,45140,39.2627784,-84.2695879
700,Loveland Madeira Road,45140,39.2622430,-84.2717348
650,Loveland Madeira Road,45140-2703,39.2626674,-84.2709603
200,Loveland Madeira Road,45140,39.2677209,-84.2664721
20,Grear Militzer Place,45140,39.2682425,-84.2569860
131,East Broadway Street,45140,39.2660891,-84.2590786
1200,Cottonwood Drive,45140,39.2554296,-84.2955473
10575,Loveland Madeira Road,45140,39.2518735,-84.2969214
10601,Loveland Madeira Road,45140,39.2528433,-84.2966439
10975,South Lebanon Road,45140,39.2601988,-84.2884315
11020,South Lebanon Road,45140,39.2609565,-84.2852615
111,South 2nd Street,45140,39.2668047,-84.2569163
100,East Loveland Avenue,45140-2922,39.2671670,-84.2567583
111,South 3rd Street,45140,39.2667069,-84.2559911
529,Main Street,45140,39.2675052,-84.2652649
501,Loveland Madeira Road,45140,39.2652217,-84.2667866
111,Loveland Madeira Road,45140,39.2687535,-84.2662118
1555,Loveland Madeira Road,45140,39.2556888,-84.2803437
1120,Cottonwood Drive,45140,39.2558573,-84.2956523
1007,Cottonwood Drive,45140,39.2556752,-84.2938279
420,West Loveland Avenue,45140,39.2691014,-84.2625544
9501,Union Cemetery Road,45140,39.2838969,-84.2971500
100,Northeast Drive,45140,39.2839687,-84.2984307
118,Northeast Drive,45140,39.2804110,-84.2979041
100,Commerce Drive,45140,39.2838854,-84.3016523
154,Commerce Drive,45140,39.2796726,-84.3008956
185,Commerce Drive,45140,39.2785490,-84.2993238
1301,Mattec Drive,45140,39.2824745,-84.3043427
1555,Loveland Madeira Road,45140,39.2555941,-84.2808006
123,South 2nd Street,45140,39.2665146,-84.2571980
309,West Loveland Avenue,45140,39.2680362,-84.2600547
245,South 2nd Street,45140,39.2645665,-84.2587522
320C,Hanna Avenue,45140,39.2647135,-84.2577646
320B,Hanna Avenue,45140,39.2644021,-84.2577750
320A,Hanna Avenue,45140,39.2642020,-84.2574015
401,West Loveland Avenue,45140,39.2685154,-84.2621123
112,South Riverside Drive,45140,39.2682815,-84.2619815
611,West Loveland Avenue,45140,39.2689352,-84.2664855
615,West Loveland Avenue,45140,39.2688341,-84.2670237
243,Wall Street,45140,39.2719711,-84.2640096
101,Brecker Street,45140,39.2724374,-84.2641488
103,Brecker Street,45140,39.2723902,-84.2643025
107,Brecker Street,45140,39.2723894,-84.2645247
295,Wilson Avenue,45140,39.2723868,-84.2649806
301,Wall Street,45140,39.2727488,-84.2639538
120,Wilson Avenue,45140,39.2727497,-84.2644655
104,Brecker Street,45140,39.2727138,-84.2642374
227,East Loveland Avenue,45140,39.2670370,-84.2541785
661,River Road,45140,39.2610933,-84.2655099
1566,West Loveland Avenue,45140,39.2720340,-84.2836547
126;130,South Lebanon Road,45140-9301,39.2701096,-84.2846829
102,Oak Street,45140,39.2643224,-84.2592041
609,Hanna Avenue,45140,39.2599991,-84.2607837
859,Cedar Drive,45140,39.2558000,-84.2551284
101,Cedarwoods Drive,45140,39.2570806,-84.2539063
107,Cedarwoods Drive,45140,39.2568806,-84.2535915
865,Cedar Drive,45140,39.2566153,-84.2543511
112,Cedarwoods Drive,45140,39.2561699,-84.2534649
118,Cedarwoods Drive,45140,39.2558554,-84.2537488
124,Cedarwoods Drive,45140,39.2556221,-84.2539841
1824,West Loveland Avenue,45140,39.2686307,-84.2918102
1818,West Loveland Avenue,45140,39.2687097,-84.2912334
205,Highland Street,45140,39.2689188,-84.2698828
112,Englage Road,45140,39.2695153,-84.2708437
113,Rich Road,45140,39.2719222,-84.2739561
117,Rich Road,45140,39.2725702,-84.2742439
11592,Rich Road,45140,39.2732262,-84.2730560
11596,Rich Road,45140,39.2735863,-84.2730461
11587,Rich Road,45140,39.2733231,-84.2740203
11591,Rich Road,45140,39.2738045,-84.2746441
1205,West Loveland Avenue,45140,39.2708467,-84.2751331
1213,West Loveland Avenue,45140,39.2705997,-84.2758131
106,Osage Drive,45140,39.2704476,-84.2751878
106,North Lebanon Road,45140,39.2726620,-84.2836434
108,North Lebanon Road,45140,39.2729866,-84.2836300
110,North Lebanon Road,45140,39.2732285,-84.2836871
112,North Lebanon Road,45140,39.2734945,-84.2836703
114,North Lebanon Road,45140,39.2738306,-84.2836922
1600,West Loveland Avenue,45140,39.2721356,-84.2844711
1606,West Loveland Avenue,45140,39.2722368,-84.2851011
1607,West Loveland Avenue,45140,39.2715165,-84.2849802
1614,West Loveland Avenue,45140,39.2714985,-84.2855358
118,South Lebanon Road,45140,39.2705157,-84.2846777
112,South Lebanon Road,45140,39.2707934,-84.2846832
106,South Lebanon Road,45140,39.2710745,-84.2846615
1619,West Loveland Avenue,45140,39.2709921,-84.2862472
1625,West Loveland Avenue,45140,39.2707441,-84.2866972
105,North Lebanon Road,45140,39.2725032,-84.2844392
107,North Lebanon Road,45140,39.2727585,-84.2844391
109,North Lebanon Road,45140,39.2729858,-84.2844334
