House number,Street name,Postal code,Latitude,Longitude
34760,Center Ridge Road,44039,41.3967202,-82.0034452
34800,Center Ridge Road,44039,41.3968308,-82.0041621
32760,Lorain Road,44039,41.3831247,-81.9800640
36066,Maple Drive,44039,41.3861925,-82.0194482
36070,Maple Drive,44039,41.3861914,-82.0196604
8527,Spencer Court,44039,41.3659355,-81.9995199
8523,Spencer Court,44039,41.3660598,-81.9996944
8521,Spencer Court,44039,41.3661294,-81.9997564
8525,Spencer Court,44039,41.3660178,-81.9996001
8529,Spencer Court,44039,41.3658966,-81.9994304
8531,Spencer Court,44039,41.3658257,-81.9993311
8545,Spencer Court,44039,41.3656750,-81.9995175
8549,Spencer Court,44039,41.3656333,-81.9995698
8546,Spencer Court,44039,41.3653131,-81.9999390
8544,Spencer Court,44039,41.3653681,-82.0000083
8542,Spencer Court,44039,41.3654391,-82.0000977
8540,Spencer Court,44039,41.3654919,-82.0001641
8548,Spencer Court,44039,41.3652596,-81.9998717
35111,Center Ridge Road,44039,41.3924496,-82.0069768
35107,Center Ridge Road,44039,41.3925283,-82.0067080
34275,Center Ridge Road,44039,41.3970791,-81.9960240
33760,Center Ridge Road,44039,41.4016041,-81.9908843
35000,Center Ridge Road,44039,41.3945731,-82.0059852
32760,Lorain Road,44039,41.3832846,-81.9802638
35600,Center Ridge Road,44039,41.3915578,-82.0142336
33781,Center Ridge Road,44039,41.3996303,-81.9905028
35066,Center Ridge Road,44039,41.3942613,-82.0070401
35066,Center Ridge Road,44039,41.3940104,-82.0069265
35105,Center Ridge Road,44039,41.3927156,-82.0066125
35095,Center Ridge Road,44039,41.3927668,-82.0064759
35085,Center Ridge Road,44039,41.3927865,-82.0064110
34958,Center Ridge Road,44039,41.3954655,-82.0061206
34960,Center Ridge Road,44039,41.3952080,-82.0057757
34910,Center Ridge Road,44039,41.3950862,-82.0051735
34900,Center Ridge Road,44039,41.3949276,-82.0045607
7000,Ranger Way,44039,41.3901986,-82.0059973
34305,Center Ridge Road,44039,41.3975781,-81.9965950
34325,Center Ridge Road,44039,41.3964099,-81.9973958
34307,Center Ridge Road,44039,41.3965989,-81.9964656
34303,Center Ridge Road,44039,41.3966265,-81.9963964
34301,Center Ridge Road,44039,41.3966541,-81.9963472
34299,Center Ridge Road,44039,41.3966765,-81.9962933
34297,Center Ridge Road,44039,41.3967110,-81.9962174
34295,Center Ridge Road,44039,41.3967644,-81.9961028
34323,Center Ridge Road,44039,41.3978356,-81.9959910
36119,Center Ridge Road,44039,41.3892205,-82.0202234
35900,Center Ridge Road,44039,41.3908341,-82.0180664
38931,Center Ridge Road,44039,41.3799554,-82.0606820
36625,Center Ridge Road,44039,41.3871621,-82.0278183
36591,Center Ridge Road,44039,41.3873598,-82.0269814
36591,Center Ridge Road,44039,41.3872539,-82.0269480
37160,Sugar Ridge Road,44039,41.3744415,-82.0361962
33633,Bagley Road,44039,41.3715706,-81.9907697
33770,Bagley Road,44039,41.3734562,-81.9898900
9479,Saw Mill Drive,44039,41.3532165,-82.0546085
8700,Gatewood Drive,44039,41.3680116,-81.9887328
32415,Center Ridge Road,44039,41.4099949,-81.9755855
6005,Jaycox Road,44039,41.4014279,-82.0085324
32528,Lorain Road,44039,41.3849173,-81.9780750
33806,Center Ridge Road,44039,41.4008757,-81.9915770
34640,Center Ridge Road,44039,41.3961542,-82.0018420
35700,Bainbridge Road,44039,41.3856336,-82.0158794
7307,Avon Belden Road,44039,41.3860078,-82.0177129
36400,Center Ridge Road,44039,41.3898225,-82.0253199
36119,Center Ridge Road,44039,41.3892286,-82.0202218
6160,Emerald Street,44039,41.3990901,-81.9966764
32223,Lorain Road,44039,41.3862926,-81.9746487
32350,Lorain Road,44039,41.3863565,-81.9762900
32121,Lorain Road,44039,41.3866595,-81.9740278
34599,West Point Drive,44039,41.3824267,-82.0008818
7413,Wainwright Drive,44039,41.3831507,-82.0000369
34615,West Point Drive,44039,41.3824267,-82.0011768
34411,West Point Drive,44039,41.3824161,-81.9995239
34367,West Point Drive,44039,41.3824259,-81.9987103
7385,Denny Drive,44039,41.3837669,-81.9987185
7350,West Point Drive,44039,41.3846052,-82.0039078
7340,West Point Drive,44039,41.3848397,-82.0038849
34656,West Point Drive,44039,41.3833252,-82.0020258
34644,West Point Drive,44039,41.3833420,-82.0017425
7361,Wainwright Drive,44039,41.3843810,-82.0000174
34620,West Point Drive,44039,41.3830574,-82.0012072
7394,Denny Drive,44039,41.3835837,-81.9994710
7408,Denny Drive,44039,41.3833773,-81.9994713
34320,West Point Drive,44039,41.3829645,-81.9981492
7355,West Point Drive,44039,41.3843883,-82.0031868
7430,West Point Drive,44039,41.3829965,-82.0037996
34323,Bainbridge Road,44039,41.3848543,-81.9986959
7410,Wainwright Drive,44039,41.3833732,-82.0007759
7421,Wainwright Drive,44039,41.3829672,-82.0000704
34630,West Point Drive,44039,41.3831801,-82.0014861
34598,West Point Drive,44039,41.3829524,-82.0008668
7387,Wainwright Drive,44039,41.3837986,-82.0000102
7411,Denny Drive,44039,41.3831486,-81.9987225
34443,Bainbridge Road,44039,41.3849116,-82.0007684
34701,Bainbridge Road,44039,41.3848796,-82.0031561
7372,Xavier Court,44039,41.3841776,-82.0025125
7384,Xavier Court,44039,41.3839557,-82.0024163
7385,Xavier Court,44039,41.3840779,-82.0015859
7396,Xavier Court,44039,41.3838108,-82.0021261
7397,Xavier Court,44039,41.3838580,-82.0018003
7371,Denny Drive,44039,41.3841807,-81.9987575
7373,Denny Drive,44039,41.3839726,-81.9987184
7370,Wainwright Drive,44039,41.3842570,-82.0007763
7373,Wainwright Drive,44039,41.3842002,-82.0000420
7399,Wainwright Drive,44039,41.3835779,-82.0000364
7341,West Point Drive,44039,41.3845941,-82.0031575
7414,Wainwright Drive,44039,41.3831570,-82.0007783
7437,West Point Drive,44039,41.3835624,-82.0031758
7404,West Point Drive,44039,41.3835649,-82.0038928
7422,West Point Drive,44039,41.3833356,-82.0039221
34675,West Point Drive,44039,41.3827837,-82.0025298
34651,West Point Drive,44039,41.3827338,-82.0019772
34410,West Point Drive,44039,41.3829777,-81.9995086
34677,Bainbridge Road,44039,41.3849285,-82.0024934
7349,Wainwright Drive,44039,41.3845989,-82.0000326
7360,Xavier Court,44039,41.3843958,-82.0024293
7429,West Point Drive,44039,41.3837767,-82.0031841
34672,West Point Drive,44039,41.3833256,-82.0026488
7405,Denny Drive,44039,41.3833575,-81.9987626
7397,Denny Drive,44039,41.3835754,-81.9987272
34409,Bainbridge Road,44039,41.3849091,-81.9994349
34421,Bainbridge Road,44039,41.3849051,-82.0000724
7361,Xavier Court,44039,41.3844983,-82.0016581
7384,Wainwright Drive,44039,41.3838138,-82.0007741
7358,Wainwright Drive,44039,41.3844869,-82.0007763
7370,Denny Drive,44039,41.3839916,-81.9994363
7396,Wainwright Drive,44039,41.3835840,-82.0007854
33988,Lincoln Avenue,44039,41.3969675,-81.9919866
33993,Lincoln Avenue,44039,41.3965938,-81.9922325
33989,Lincoln Avenue,44039,41.3965930,-81.9919805
33992,Lincoln Avenue,44039,41.3969809,-81.9922095
