House number,Street name,Postal code,Latitude,Longitude
38,West League Street,44857,41.2461642,-82.6226780
46,West Main Street,44857,41.2418605,-82.6175833
38,Whittlesey Avenue,44857,41.2434399,-82.6162241
4,Case Avenue,44857,41.2421798,-82.6178482
342,Milan Avenue,44857,41.2649941,-82.6101710
33,East Seminary Street,44857,41.2426094,-82.6137400
257,Benedict Avenue,44857,41.2275872,-82.6020115
223,Milan Avenue,44857,41.2609997,-82.6122799
170,Milan Avenue,44857,41.2557943,-82.6115610
195,Milan Avenue,44857,41.2587737,-82.6134187
187,Milan Avenue,44857,41.2577464,-82.6122281
35,Whittlesey Avenue,44857,41.2432948,-82.6167574
81,East Main Street,44857,41.2441661,-82.6123505
4,East Seminary Street,44857,41.2416620,-82.6145869
8,East Seminary Street,44857,41.2417122,-82.6144574
2,East Seminary Street,44857,41.2416022,-82.6147162
14,East Seminary Street,44857,41.2417904,-82.6143084
102,East Main Street,44857,41.2445098,-82.6103211
49,Benedict Avenue,44857,41.2406816,-82.6132724
333,Milan Avenue,44857,41.2670868,-82.6107131
44,East Main Street,44857,41.2429570,-82.6137773
282,Benedict Avenue,44857,41.2258581,-82.6029711
66,Norwood Avenue,44857,41.2341310,-82.6162698
117,Whittlesey Avenue,44857,41.2465078,-82.6199245
205,Milan Avenue,44857,41.2601583,-82.6145030
340,Westwind Drive,44857,41.2617108,-82.6170884
225,Milan Avenue,44857,41.2620536,-82.6118230
344,Milan Avenue,44857,41.2679296,-82.6094827
347,Milan Avenue,44857,41.2690632,-82.6102754
50,Theatre Ave,44857,41.2706150,-82.6051833
100,Republic St.,44857,41.2612383,-82.6052525
255,Shady Ln,44857,41.2226347,-82.6093731
255,Shady Ln,44857,41.2221486,-82.6096372
4800,U.S. 250,44857,41.2711048,-82.6084398
181,Milan Avenue,44857,41.2568901,-82.6122649
171,Milan Avenue,44857,41.2559184,-82.6124411
295,Milan Avenue,44857,41.2658031,-82.6114261
355,Milan Avenue,44857,41.2699087,-82.6100647
196,Milan Avenue,44857,41.2587511,-82.6114230
190,Milan Avenue,44857,41.2577324,-82.6115743
188,Milan Avenue,44857,41.2571815,-82.6117215
415,Milan Avenue,44857,41.2732612,-82.6095531
365,Milan Avenue,44857,41.2705592,-82.6099423
283,Benedict Avenue,44857,41.2257481,-82.6011437
251,Benedict Ave,44857,41.2281315,-82.6027689
249,Benedict Ave,44857,41.2283096,-82.6031771
60,West Main Street,44857,41.2413446,-82.6188150
409,Milan Avenue,44857,41.2728967,-82.6091510
369,Milan Avenue,44857,41.2711590,-82.6108793
383,Milan Avenue,44857,41.2720874,-82.6095536
340,Milan Avenue,44857,41.2671330,-82.6097089
351,Milan Avenue,44857-1159,41.2695699,-82.6106561
35,Benedict Avenue,44857,41.2413053,-82.6145485
17,West Seminary Street,44857,41.2412750,-82.6154980
272,Benedict Avenue,44857,41.2246116,-82.6036809
350,Shady Lane Drive,44857,41.2261407,-82.6122954
368,Milan Avenue,44857,41.2704143,-82.6086186
596,Industrial Parkway,44857,41.2649386,-82.6004761
596,Industrial Parkway,44857,41.2650179,-82.6014983
37,Cline Street,44857,41.2532600,-82.6140918
40,Cline Street,44857,41.2533670,-82.6132080
