House number,Street name,Postal code,Latitude,Longitude
7621,Sylvania Avenue,43560,41.6868414,-83.7261622
5619,Main Street,43560,41.7158618,-83.7034726
5431,Schultz Drive,43560,41.7140676,-83.6787373
6700,Sylvania Avenue,43560,41.6903765,-83.7040083
7545,Sylvania Avenue,43560,41.6867107,-83.7242649
6730,Sylvania Avenue,43560,41.6910803,-83.7046493
5360,Harroun Road,43560,41.7115314,-83.6924941
5627,Main Street,43560,41.7160219,-83.7032693
5577,Monroe Street,43560,41.7075285,-83.6701215
4940,Harroun Road,43560,41.7048327,-83.6922968
6400,Monroe Street,43560,41.7163720,-83.6982391
6400,Monroe Street,43560,41.7163709,-83.6981234
5845,Centennial Rd,43560,41.7184347,-83.7456173
5840,Monroe Street,43560,41.7135977,-83.6821568
6363,Monroe Street,43560,41.7152032,-83.6973763
6700,Sylvania Avenue,43560,41.6905857,-83.7041372
5539,Monroe Street,43560,41.7062166,-83.6673621
6484,Monroe Street,43560,41.7164088,-83.7015241
6601,Monroe Street,43560,41.7153298,-83.7034448
6601,Monroe Street,43560,41.7152777,-83.7037506
5227,Main Street,43560,41.7091798,-83.7018372
5702,Monroe Street,43560,41.7098083,-83.6756740
3860,Sylvan Lakes Boulevard,43560,41.6868136,-83.7278102
5401,Alger Drive,43560,41.7131221,-83.6798394
6012,Hawthorne Drive,43560,41.7215968,-83.7359063
8025,Grainfield Drive,43560,41.7235992,-83.7377638
5810,West Alexis Road,43560-2365,41.7160775,-83.6829353
5871,Monroe Street,43560,41.7135796,-83.6843844
5515,Monroe Street,43560,41.7060315,-83.6667155
5515,Monroe Street,43560,41.7062001,-83.6667102
5829,Monroe Street,43560,41.7113595,-83.6814354
5829,Monroe Street,43560,41.7114199,-83.6815078
5829,Monroe Street,43560,41.7114833,-83.6815957
5829,Monroe Street,43560,41.7116010,-83.6817373
5833,Monroe Street,43560,41.7119872,-83.6819277
5839,Monroe Street,43560,41.7123167,-83.6825285
5855,Monroe Street,43560,41.7131012,-83.6837549
5855,Monroe Street,43560,41.7131222,-83.6837306
5855,Monroe Street,43560,41.7131391,-83.6837049
5258,Coldstream Road,43623,41.7054323,-83.6698856
5250,Coldstream Road,43623,41.7054355,-83.6695749
5240,Coldstream Road,43623,41.7054245,-83.6691894
5224,Coldstream Road,43623,41.7054403,-83.6685836
5216,Coldstream Road,43623,41.7054058,-83.6682799
5206,Coldstream Road,43623,41.7054012,-83.6679795
5158,Coldstream Road,43623,41.7054115,-83.6676197
5150,Coldstream Road,43623,41.7054464,-83.6673324
5142,Coldstream Road,43623,41.7053964,-83.6669405
5141,Corey Road,43623,41.7081170,-83.6788949
5151,Corey Road,43623,41.7084465,-83.6791248
5169,Corey Road,43623,41.7086988,-83.6793723
5757,Monroe Street,43560,41.7095215,-83.6775671
5150,Corey Road,43623,41.7090709,-83.6780749
5140,Corey Road,43623,41.7088431,-83.6773729
5136,Corey Road,43623,41.7084313,-83.6772730
5679,Monroe Street,43560,41.7065149,-83.6742066
5679,Monroe Street,43560,41.7071258,-83.6738034
5679,Monroe Street,43560,41.7071535,-83.6747010
5679,Monroe Street,43560,41.7083066,-83.6742539
5679,Monroe Street,43560,41.7083076,-83.6743055
5679,Monroe Street,43560,41.7084761,-83.6745251
5679,Monroe Street,43560,41.7084606,-83.6745284
5679,Monroe Street,43560,41.7086576,-83.6745138
5679,Monroe Street,43560,41.7086631,-83.6745401
5679,Monroe Street,43560,41.7084505,-83.6737656
5679,Monroe Street,43560,41.7084489,-83.6737982
5719,Corey Cove,43560,41.7087854,-83.6764204
5726,Corey Cove,43560,41.7092562,-83.6763804
5724,Corey Cove,43560,41.7090055,-83.6762456
5722,Corey Cove,43560,41.7088871,-83.6761536
5731,Corey Cove,43560,41.7089260,-83.6765259
5733,Corey Cove,43560,41.7089972,-83.6765709
5735,Corey Cove,43560,41.7091318,-83.6766849
5737,Corey Cove,43560,41.7092308,-83.6767638
5739,Corey Cove,43560,41.7093338,-83.6767171
5605,Monroe Street,43560,41.7078558,-83.6717692
5201,Corey Road,43560,41.7093697,-83.6808734
5801,Monroe Street,43560,41.7106330,-83.6804420
5803,Monroe Street,43560,41.7106821,-83.6805180
