House number,Street name,Postal code,Latitude,Longitude
1298,South Dorset Road,45373,40.0268170,-84.2282140
1475,West State Route 55,45373,40.0228378,-84.2389952
1869,West Main Street,45373,40.0574499,-84.2388157
100,E Race St,45373,40.0358193,-84.1978856
1914,West Main Street,45373,40.0558331,-84.2416124
1920,West Main Street,45373,40.0562303,-84.2427641
1885,West Main Street,45373,40.0573204,-84.2401168
1912,West Main Street,45373,40.0557468,-84.2415039
45,South Stanfield Road,45373,40.0529810,-84.2392367
1894,West Main Street,45373,40.0549028,-84.2400978
1894,West Main Street,45373,40.0550429,-84.2399797
924,North Market Street,45373,40.0507233,-84.1951639
1298,South Dorset Road,45373,40.0267262,-84.2283559
1475,West State Route 55,45373,40.0230905,-84.2389714
50,Troy Town Drive,45373,40.0524500,-84.2381775
731,West Market Street,45373,40.0308714,-84.2213619
11,North Market Street,45373,40.0402247,-84.2026970
101,Public Square Northwest,45373,40.0402244,-84.2034193
2,North Market Street,45373,40.0401637,-84.2032230
8,North Market Street,45373,40.0402285,-84.2030913
10,North Market Street,45373,40.0403070,-84.2030410
14,North Market Street,45373,40.0403558,-84.2029936
16,North Market Street,45373,40.0404020,-84.2029627
18,North Market Street,45373,40.0404561,-84.2029166
20,North Market Street,45373,40.0405012,-84.2028822
22,North Market Street,45373,40.0405457,-84.2028555
24,North Market Street,45373,40.0405853,-84.2028218
1,North Market Street,45373,40.0399574,-84.2028468
5,North Market Street,45373,40.0400337,-84.2027888
3,North Market Street,45373,40.0400006,-84.2028161
9,North Market Street,45373,40.0400857,-84.2027590
9,North Market Street,45373,40.0401142,-84.2027379
9,North Market Street,45373,40.0401299,-84.2027262
11,North Market Street,45373,40.0401990,-84.2026558
10,West Main Street,45373,40.0398505,-84.2042886
403,East Franklin Street,45373,40.0370107,-84.1999257
2,East Main Street,45373,40.0392073,-84.2028594
982,North Market Street,45373,40.0516036,-84.1943142
20,North Ridge Avenue,45373,40.0467636,-84.2178646
419,West Main Street,45385,40.0417699,-84.2073237
510,West Water Street,45385,40.0421891,-84.2082443
962,North Market Street,45373,40.0499911,-84.1931278
691,East Staunton Road,45373,40.0419786,-84.1893517
106,East Main Street,45373,40.0388330,-84.2022144
1901,West Main Street,45373,40.0566693,-84.2412858
210,Marybill Drive,45373,40.0659225,-84.2421370
1900,West Main Street,45373,40.0545383,-84.2435251
1781,West Main Street,45373,40.0561810,-84.2337574
1829,West Main Street,45373,40.0553146,-84.2379725
1800,Towne Park Drive,45373,40.0576524,-84.2347935
1761,West Main Street,45373,40.0553981,-84.2339365
1801,West Main Street,45373,40.0565888,-84.2356974
2100,West Main Street,45373,40.0575970,-84.2456843
1779,West Main Street,45373,40.0543003,-84.2354445
2000,West Main Street,45373,40.0555064,-84.2457875
21,South Stanfield Road,45373,40.0543606,-84.2401443
45,Troy Town Drive,45373,40.0527461,-84.2370361
87,Troy Town Drive,45373,40.0510202,-84.2358124
83,Troy Town Drive,45373,40.0517914,-84.2380372
83,Troy Town Drive,45373,40.0515223,-84.2358509
45,South Stanfield Road,45373,40.0529255,-84.2391650
1998,West Main Street,45373,40.0573459,-84.2451679
15,South Dorset Road,45373,40.0495087,-84.2270229
1560,West Main Street,45373-2512,40.0502084,-84.2286904
1420,West Main Street,45373,40.0490302,-84.2261165
700,West Main Street,45373,40.0419411,-84.2095537
825,West Main Street,45373,40.0437378,-84.2119677
25,South Elm Street,45373,40.0422530,-84.2107607
903,West Main Street,45373,40.0442731,-84.2131529
100,Norbert Drive,45373,40.0411291,-84.2352446
2288,Girard Lane East,45373,40.0408339,-84.2445205
1901,West Main Street,45373,40.0569696,-84.2413760
1176,West Main Street,45373,40.0460389,-84.2206882
43,North Ridge Avenue,45373,40.0469141,-84.2163298
1431,West Main Street,45373,40.0498114,-84.2255440
600,West Main Street,45373,40.0432483,-84.2097382
818,North Market Street,45373,40.0496298,-84.1946137
998,North Market Street,45373,40.0510039,-84.1933841
937,West Main Street,45373,40.0445369,-84.2137102
818,North Market Street,45373,40.0494590,-84.1948089
403,East Franklin Street,45373,40.0370135,-84.1999295
891,West Market Street,45373,40.0278189,-84.2263176
