House number,Street name,Postal code,Latitude,Longitude
7,West Auglaize Street,45895,40.5704918,-84.1943693
402,Hamilton Road,45895,40.5773502,-84.2039807
2,Willipie Street,45895,40.5703987,-84.1937959
17,East Auglaize Street,45895,40.5704440,-84.1933913
113,East Auglaize Street,45895,40.5704205,-84.1919981
102,East Auglaize Street,45895,40.5706710,-84.1924305
1246,Bellefontaine Street,45895,40.5658344,-84.1782725
123,West Auglaize Street,45895,40.5705338,-84.1956911
121,West Auglaize Street,45895,40.5705353,-84.1956073
117,West Auglaize Street,45895,40.5705285,-84.1953703
109,West Auglaize Street,45895,40.5705223,-84.1951591
11,West Auglaize Street,45895,40.5704957,-84.1944652
5,West Auglaize Street,45895,40.5704964,-84.1942766
3,West Auglaize Street,45895,40.5704876,-84.1941942
107,East Auglaize Street,45895,40.5704393,-84.1922392
105,East Auglaize Street,45895,40.5704467,-84.1923061
117,East Auglaize Street,45895,40.5704334,-84.1918834
24,East Auglaize Street,45895,40.5706751,-84.1934081
16,East Auglaize Street,45895,40.5706847,-84.1935465
2,East Auglaize Street,45895,40.5706919,-84.1939320
1257,Bellefontaine Street,45895,40.5614892,-84.1776133
1340,Bellefontaine Street,45895,40.5660162,-84.1752220
503,Apollo Drive,45895,40.5639345,-84.1738533
1550,Saturn Drive,45895,40.5622430,-84.1712828
201,Perry Street,45895,40.5686849,-84.1951143
15,Willipie Street,45895,40.5697699,-84.1944222
1051,Dearbaugh Avenue,45895,40.5594881,-84.2086003
1902,Progress Drive,45895,40.5525061,-84.1765370
25,East Auglaize Street,45895,40.5702656,-84.1930214
119,West Auglaize Street,45895,40.5703541,-84.1955387
121,West Auglaize Street,45895,40.5704503,-84.1956091
106,Hamilton Road,45895,40.5722354,-84.2038840
34,East Auglaize Street,45895,40.5707314,-84.1930442
36,East Auglaize Street,45895,40.5708089,-84.1929540
38,East Auglaize Street,45895,40.5708662,-84.1927872
400,West Harrison Street,45895,40.5733315,-84.2011510
10,West Auglaize Street,45895,40.5708131,-84.1940072
1,W. Redskin Trail,45895,40.5830339,-84.1947980
1301,Navajo Trail,45895,40.5865432,-84.1976358
1100,Defiance Street,45895,40.5833494,-84.2051071
504,Glynwood Road,45895,40.5762667,-84.2031936
701,Parlette Court,45895,40.5780531,-84.2028623
13663,Short Road,45895,40.5458814,-84.1893569
520,Commerce Drive,45895,40.5509064,-84.1837766
1400,Lunar Drive,45895,40.5566999,-84.1725815
625,Commerce Drive,45895,40.5492768,-84.1818699
102,Commerce Drive,45895,40.5496319,-84.1873810
505,Bellefontaine Street,45895,40.5689689,-84.1870690
302,East Pearl Street,45895,40.5680887,-84.1893872
