House number,Street name,Postal code,Latitude,Longitude
1320,Mahoning Avenue Northwest,44483,41.2476298,-80.8271655
141,South Street Southeast,44483,41.2347068,-80.8173866
2947,Youngstown Road Southeast,44484,41.2216968,-80.7817315
667,Eastland Avenue Southeast,44484,41.2291944,-80.7768819
231,South Main Street,44481,41.2345641,-80.8195249
206,East Market Street,44481,41.2359893,-80.8160157
106,East Market Street,44481,41.2358871,-80.8177847
468,High Street Northeast,44481,41.2374382,-80.8124149
100,North Park Avenue,44481,41.2362076,-80.8177966
124,North Park Avenue,44481,41.2364886,-80.8178086
136,North Park Avenue,44481,41.2365878,-80.8178150
112,North Park Avenue,44481,41.2363669,-80.8177975
158,North Park Avenue,44481,41.2370250,-80.8178506
168,North Park Avenue,44481,41.2371401,-80.8178595
180,North Park Avenue,44481,41.2373192,-80.8178597
129,East Market Street,44481,41.2362257,-80.8173645
137,East Market Street,44481,41.2362340,-80.8172116
159,East Market Street,44481,41.2362632,-80.8167544
185,East Market Street,44481,41.2362740,-80.8164423
164,High Street Northeast,44481,41.2373792,-80.8167131
162,High Street Northeast,44481,41.2373783,-80.8167604
154,High Street Northeast,44481,41.2373774,-80.8168127
150,High Street Northeast,44481,41.2373756,-80.8169626
4000,East Market Street,44484,41.2366395,-80.7665805
4000,East Market Street,44484,41.2368214,-80.7666128
667,Eastland Avenue Southeast,44484,41.2304093,-80.7775992
193,West Market Street,44481,41.2358672,-80.8197104
151,East Market Street,44481,41.2362694,-80.8168989
159,East Market Street,44481,41.2363444,-80.8167597
112,Pine Avenue Northeast,44481,41.2364043,-80.8161129
116,Pine Avenue Northeast,44481,41.2364767,-80.8161210
153,Pine Avenue Northeast,44481,41.2369661,-80.8163386
185,High Street Northeast,44481,41.2377374,-80.8163685
185,High Street Northeast,44481,41.2377374,-80.8165588
156,High Street Northeast,44481,41.2373759,-80.8168646
152,High Street Northeast,44481,41.2373757,-80.8169184
176,North Park Avenue,44481,41.2372881,-80.8178579
174,North Park Avenue,44481,41.2372529,-80.8178596
170,North Park Avenue,44481,41.2372181,-80.8178582
144,North Park Avenue,44481,41.2368287,-80.8178520
174,North Park Avenue,44481,41.2367898,-80.8178499
2815,Youngstown Road Southeast,44484,41.2224738,-80.7836513
320,High Street Northeast,44481,41.2373468,-80.8149814
5000,East Market Street,44484-2259,41.2375411,-80.7540516
177,Oak Knoll Avenue Southeast,44483,41.2353994,-80.7929401
770,Oak Knoll Avenue Southeast,44484,41.2299823,-80.7935129
881,Oak Knoll Avenue Southeast,44484,41.2285190,-80.7942640
220,South Park Avenue,44481,41.2345019,-80.8190785
4013,East Market Street,44484,41.2378201,-80.7670645
2774,Parkman Road NorthW.,44485,41.2550585,-80.8583392
4422,Youngstown Road Southeast,44484,41.2126067,-80.7648823
300,Martin Luther King Boulevard Southwest,44485,41.2346935,-80.8617986
940,Niles Cortland Road Southeast,44484,41.2282419,-80.7430679
1040,Niles Cortland Road Southeast,44484,41.2261532,-80.7455234
3951,Tod Avenue Northwest,44485,41.2605585,-80.8550953
4257,Tod Avenue Northwest,44485,41.2600542,-80.8603729
4225,Tod Avenue Northwest,44485,41.2611450,-80.8598366
2250,Tod Avenue Northwest,44485,41.2546160,-80.8351843
2219,Tod Avenue Northwest,44485,41.2538055,-80.8361285
1454,Oakdale Drive Northwest,44485,41.2547411,-80.8408760
2487,Parkman Road Northwest,44485,41.2513741,-80.8554945
2553,Parkman Road Northwest,44485,41.2512234,-80.8547449
2365,Parkman Road Northwest,44485,41.2501429,-80.8531254
1996,Coit Drive Northwest,44485,41.2516377,-80.8520582
1995,Coit Drive Northwest,44485,41.2517849,-80.8530935
2050,Oakdale Drive Northwest,44485,41.2549509,-80.8496746
1514,Edgehill Avenue Southeast,44484,41.2218292,-80.7798110
1514,Edgehill Avenue Southeast,44484,41.2219394,-80.7798449
1350,East Market Street,44482,41.2353620,-80.7986739
677,Eastland Avenue Southeast,44484,41.2302602,-80.7767630
1162,Niles Cortland Road Southeast,44484,41.2252182,-80.7413505
4793,East Market Street,44484,41.2383155,-80.7553977
595,South Street Southeast,44483,41.2346854,-80.8101859
473,South Street,44483,41.2344663,-80.8122396
162,North Road Southeast,44484,41.2362609,-80.7662533
3920,East Market Street,44484,41.2366762,-80.7672138
661,Mahoning Avenue Northwest,44484,41.2408314,-80.8248655
185-187,High Street Northeast,44481,41.2379009,-80.8164739
740,West Market Street,44481,41.2342128,-80.8284887
1756,North Road Southeast,44484,41.2141403,-80.7638759
4477,Youngstown Road Southeast,44484,41.2133766,-80.7639648
160,East Market Street,44481,41.2358005,-80.8165488
2741,Parkman Road Northwest,44485,41.2539363,-80.8592453
288,Atlantic Street Northwest,44483,41.2454700,-80.8218025
136,North Park Avenue,44481,41.2366430,-80.8175489
170-180,North Park Avenue,44481,41.2372834,-80.8177051
141-143,East Market Street,44481,41.2362971,-80.8171494
149-151,East Market Street,44481,41.2363375,-80.8169429
153-185,East Market Street,44481,41.2364091,-80.8165708
155,Pine Avenue Northeast,44481,41.2369470,-80.8164606
182,Pine Avenue Northeast,44481,41.2372383,-80.8164813
162-164,High Street Northeast,44481,41.2372287,-80.8168566
5000,East Market Street,44484,41.2366150,-80.7532309
2680,Youngstown Road Southeast,44484,41.2228567,-80.7862579
2737,Youngstown Road Southeast,44484,41.2230443,-80.7846610
640,North River Road Northwest,44483,41.2666347,-80.8254548
1628,West Market Street,44485-2719,41.2351739,-80.8400241
1001,West Market Street,44481,41.2337915,-80.8321381
3900,East Market Street,44484,41.2365725,-80.7682538
1805,Parkman Road Northwest,44485,41.2464607,-80.8467624
1805,Parkman Road Northwest,44485,41.2466113,-80.8473096
1227,Youngstown Road Southeast,44484,41.2306399,-80.8021700
1910,East Market Street,44483,41.2362559,-80.7927876
1924,East Market Street,44483,41.2361688,-80.7925949
1842,East Market Street,44483,41.2362064,-80.7935212
1820,East Market Street,44483,41.2362909,-80.7938248
1806,East Market Street,44483,41.2361475,-80.7941091
1938,East Market Street,44483,41.2362070,-80.7922376
147,Oak Knoll Avenue Southeast,44483,41.2358433,-80.7927529
146,Oak Knoll Avenue Southeast,44483,41.2358655,-80.7933395
157,Oak Knoll Avenue Southeast,44483,41.2357079,-80.7927482
156,Oak Knoll Avenue Southeast,44483,41.2356888,-80.7933755
