House number,Street name,Postal code,Latitude,Longitude
2700,South Boulevard Street,73013,35.6280016,-97.4777796
4909,Sonny Blues Place,73034-8584,35.6569763,-97.4173736
4917,Sonny Blues Place,73034-8584,35.6569390,-97.4171664
4900,Sonny Blues Place,73034-8584,35.6565248,-97.4175822
4908,Sonny Blues Place,73034-8584,35.6565161,-97.4173595
4916,Sonny Blues Place,73034-8584,35.6564944,-97.4171316
4940,Sonny Blues Place,73034-8584,35.6564706,-97.4165126
4924,Sonny Blues Place,73034-8584,35.6564966,-97.4169358
4932,Sonny Blues Place,73034-8584,35.6564792,-97.4167534
241,Bell Tolls Terrace,73034-8584,35.6572680,-97.4181669
233,Bell Tolls Terrace,73034-8584,35.6570981,-97.4180596
225,Bell Tolls Terrace,73034-8584,35.6569543,-97.4179791
240,Bell Tolls Terrace,73034-8584,35.6574337,-97.4176680
224,Bell Tolls Terrace,73034-8584,35.6571330,-97.4175097
232,Bell Tolls Terrace,73034-8584,35.6572702,-97.4175902
4908,Rose In Bloom Way,73034-8584,35.6575144,-97.4174025
4916,Rose In Bloom Way,73034-8584,35.6576014,-97.4171745
4925,Rose In Bloom Way,73034-8584,35.6581159,-97.4170109
4933,Rose In Bloom Way,73034-8584,35.6581746,-97.4167802
1800,Renaissance Boulevard,73013,35.6351976,-97.4998041
1001,East 2nd Street,73034,35.6531851,-97.4664944
1429,South Santa Fe Avenue,73003,35.6388132,-97.5141266
1520,South Bryant Avenue,73013,35.6376739,-97.4595683
301,Meline Drive,73034,35.6511080,-97.4296072
1225,East 2nd Street,73034,35.6533691,-97.4644112
1472,South Bryant Avenue,73034,35.6388358,-97.4586620
317,South Bryant Avenue,73034,35.6510530,-97.4609917
2200,West Danforth Road,73003,35.6656209,-97.5120795
2828,East 2nd Street,73034,35.6522927,-97.4434670
301,South Bryant Street,73034,35.6519004,-97.4613018
2822,East 2nd Street,73034,35.6523072,-97.4436441
1900,East 2nd Street,73034,35.6522173,-97.4553516
855,West Covell Road,73003,35.6824641,-97.4955384
2916,North Kelly Avenue,73003,35.6847316,-97.4955540
1709,East 2nd Street,73034,35.6531399,-97.4576299
1809,East 2nd Street,73034,35.6533049,-97.4560871
1715,East 2nd Street,73034,35.6532931,-97.4570812
1525,East 2nd Street,73034,35.6532412,-97.4593043
309,South Bryant,73034,35.6513281,-97.4608641
324,South Bryant Avenue,73034,35.6508307,-97.4579414
326,South Broadway,73034,35.6515436,-97.4812415
601,Vista Lane,73034,35.6472815,-97.4530434
101,North Boulevard Street,73034,35.6567590,-97.4785487
1515,East 2nd Street,73034,35.6532255,-97.4595692
732,North Santa Fe Avenue,73003,35.6624646,-97.5137111
1401,South Santa Fe Avenue,73003,35.6400905,-97.5144043
2700,East 2nd Street,73034,35.6520740,-97.4444443
760,West Danforth Road,73003,35.6663605,-97.4931918
1503,East 19th Street,73013,35.6355662,-97.4593207
1073,North Bryant Avenue,73034,35.6648390,-97.4615879
2011,West Danforth Road,73003,35.6679195,-97.5101191
2107,West Danforth Road,73003,35.6679233,-97.5109232
2201,West Danforth Road,73003,35.6693549,-97.5119211
2108,West Danforth Road,73003,35.6671172,-97.5105093
915,East 33rd Street,73013,35.6240230,-97.4669417
1909,East 15th Street,73013,35.6387036,-97.4552396
1001,West Edmond Road,73003,35.6536608,-97.4976070
805,West Edmond Road,73003,35.6531666,-97.4949253
1501,West Edmond Road,73003,35.6533811,-97.5039713
900,North Santa Fe Avenue,73003,35.6630488,-97.5136249
740,West Danforth Road,73003,35.6663594,-97.4929515
122,North Bryant Avenue,73034,35.6560951,-97.4598548
1316,West Covell Road,73003,35.6809032,-97.5014911
1380,W. Covell Road,73003,35.6815154,-97.5020859
1300 Suite 110,W Covell Road,73003,35.6814563,-97.5014147
1,East Main Street,73034,35.6554491,-97.4809953
1912,East 2nd Street,73034,35.6522934,-97.4549076
4851,INTEGRIS Parkway,73034,35.6440396,-97.4168927
3041,Gage Grove Way,73012,35.6856162,-97.5390793
861,East 33rd Street,73013,35.6247210,-97.4689124
500,South Coltrane Road,73034,35.6492271,-97.4423250
3314,South Broadway,73013,35.6225728,-97.4860865
2017,West Frontage Road,73013,35.6339322,-97.4273032
2300,West Danforth Road,73012,35.6671483,-97.5151083
2300,West Danforth Road,73012,35.6671629,-97.5150107
882,West Edmond Road,73003,35.6523997,-97.4950360
