House number,Street name,Postal code,Latitude,Longitude
102,East Noble Avenue,73044,35.8809460,-97.4257211
2108,South Division Street,73044,35.8569583,-97.4250875
2530,East Noble Avenue,73044,35.8790024,-97.3961066
117,West Harrison Avenue,73044,35.8767936,-97.4261372
117,West Harrison Avenue,73044,35.8766282,-97.4261405
224,West Harrison Avenue,73044,35.8772208,-97.4273077
224,South Division Street,73044,35.8761184,-97.4250171
108,North Wentz Street,73044,35.8765341,-97.4251226
414,Heather Road,73044,35.8821123,-97.3953824
5326,Ellie Mae Drive,73044,35.8227164,-97.4257575
1621,South Division Street,73044,35.8618701,-97.4259617
1608,South Division Street,73044,35.8628511,-97.4226761
223,North Division Street,73044,35.8799439,-97.4257526
102,West Noble Avenue,73044,35.8803922,-97.4257147
512,South Division Street,73044,35.8735540,-97.4247367
301,South Division Street,73044,35.8757502,-97.4255281
1527,South Division Street,73044,35.8611091,-97.4258171
1058,West Industrial Road,73044,35.8574441,-97.4392725
2324,East Noble Avenue,73044,35.8787695,-97.3968513
2530,East Noble Avenue,73044,35.8790131,-97.3961946
2318,East Noble Avenue,73044,35.8787995,-97.3977004
121,Cimarron Road,73044,35.8771005,-97.3962384
223,East Oklahoman Avenue,73044,35.8766833,-97.3972213
2325,East Oklahoma Avenue,73044,35.8777165,-97.3963381
218,Heather Road,73044,35.8801604,-97.3962713
2222,East Heather Road,73044,35.8801048,-97.3975228
2000,Woodlawn Avenue,73044,35.8741168,-97.4001181
2219,Woodlawn Avenue,73044,35.8740603,-97.3976865
2227,Iron Mound Drive,73044,35.8748624,-97.3972146
1800,East Oklahoman Avenue,73044,35.8782656,-97.4014996
705,East Oklahoma Avenue,73044,35.8777290,-97.4171112
719,South Division,73044,35.8709714,-97.4257197
1308,South Division Street,73044,35.8653735,-97.4248350
1624,South Division Street,73044,35.8617736,-97.4249688
5322,South Division Street,73044,35.8234128,-97.4176950
5400,South Division Street,73044,35.8230393,-97.4171930
5302,South Division Street,73044,35.8243571,-97.4183516
5307,South Division Street,73044,35.8232297,-97.4202708
310,East Noble Avenue,73044,35.8804107,-97.4231918
124,North 1st Street,73044,35.8788869,-97.4263374
107,West Cleveland Avenue,73044,35.8788765,-97.4258016
108,South Division Street,73044,35.8777010,-97.4251607
104,East Oklahoma Avenue,73044,35.8782985,-97.4251016
103,West Oklahoma Avenue,73044,35.8777487,-97.4257627
109,West Oklahoma Avenue,73044,35.8777625,-97.4259740
101,West Oklahoma Avenue,73044,35.8778314,-97.4255982
111,West Oklahoma Avenue,73044,35.8777669,-97.4260572
115,West Oklahoma Avenue,73044,35.8777640,-97.4261431
124,West Harrison Avenue,73044,35.8773133,-97.4264908
123,West Oklahoma Avenue,73044,35.8777624,-97.4263222
108,West Harrison Avenue,73044,35.8772611,-97.4258030
