House number,Street name,Postal code,Latitude,Longitude
1101,West Grand Avenue,74601,36.7047410,-97.0973606
214,West Grand,74601,36.7035566,-97.0862910
909,East South Avenue,74601,36.6953738,-97.0733103
1300,West Grand Avenue,74601,36.7034710,-97.0999848
1800,West Highland Avenue,74601,36.7092487,-97.1059363
1701,North Waverly Street,74601,36.7228764,-97.1029080
1001,West Hartford Avenue,74601,36.7241864,-97.0962901
819,East Central Avenue,74601,36.7026896,-97.0739308
1001,East Grand Avenue,74601,36.7027909,-97.0714788
801,South 1st Street,74601,36.6962019,-97.0838911
2213,North Waverly Street,74601,36.7294088,-97.1016096
2127,Garden Street,74601,36.7290460,-97.0704584
901,East Prospect Avenue,74601,36.7391711,-97.0727662
901,East Prospect Avenue,74601,36.7391908,-97.0725665
2808,North 14th Street,74601,36.7376597,-97.0690402
2216,North 14th Street,74601,36.7302139,-97.0680718
1900,North 14th Street,74601,36.7250339,-97.0688493
105,West Prospect Avenue,74601,36.7390122,-97.0839485
1701,North Waverly Street,74601,36.7230301,-97.1022194
1701,North Waverly Street,74601,36.7230044,-97.1022358
1471,East Hartford Avenue,74604,36.7244686,-97.0649180
1001,West Hartford Avenue,74601,36.7237467,-97.0964670
1001,West Hartford Avenue,74601,36.7245955,-97.0962651
88,Elmwood Avenue,74601,36.7128508,-97.0714979
1500,North 6th Street,74601,36.7211033,-97.0780984
301,South 14th Street,74601,36.7006937,-97.0669281
801,South 14th Street,74601,36.6958294,-97.0662233
515,East Grand Avenue,74602,36.7039081,-97.0780214
516,East Grand Avenue,74601,36.7028660,-97.0780496
3500,North 14th Street,74601,36.7471294,-97.0693682
1101,East Prospect Avenue,74601,36.7412176,-97.0720242
109,West Hartford Avenue,74601,36.7247475,-97.0845363
2313,East Prospect Avenue,74604,36.7398180,-97.0523970
2109,East Prospect Avenue,74601,36.7398248,-97.0555558
2000,Hall Boulevard,74601,36.7258209,-97.1100144
1500,East Grand Avenue,74604,36.7029645,-97.0648888
801,East Prospect Avenue,74601,36.7390907,-97.0740985
813,East Prospect Avenue,74601,36.7389708,-97.0734065
1115,East Prospect Avenue,74601,36.7389961,-97.0714492
2800,North 5th Street,74601,36.7376108,-97.0750411
720,East Prospect Avenue,74601,36.7381105,-97.0748978
401,East Prospect Avenue,74601,36.7400332,-97.0790515
800,East Prospect Avenue,74601,36.7376617,-97.0734051
219,West Cleveland Avenue,74601,36.7050799,-97.0863868
1020,East Central Avenue,74601,36.7019761,-97.0711673
707,East Ponca Avenue,74601,36.6996010,-97.0758268
1101,North Pecan Road,74604,36.7159208,-97.0447842
1613,West South Avenue,74601,36.6957732,-97.1028702
718,South Waverly Street,74601,36.6959517,-97.1035979
501,West South Avenue,74601,36.6955681,-97.0902708
315,East South Avenue,74601,36.6955150,-97.0806955
821,South 4th Street,74601,36.6953573,-97.0799548
200,East Oklahoma Avenue,74601,36.7008740,-97.0819586
300,South 2nd Street,74601,36.7013491,-97.0829845
608,South 14th Street,74601,36.6975530,-97.0676529
506,South 14th Street,74601,36.6987583,-97.0677047
425,South 14th Street,74601,36.6990200,-97.0669307
407,South 14th Street,74601,36.6995986,-97.0666813
116,South 14th Street,74601,36.7025013,-97.0677850
205,South 14th Street,74601,36.7019503,-97.0669296
1601,East Oklahoma Avenue,74601,36.7011975,-97.0649456
612,South Osage Street,74601,36.6956848,-97.0908607
616,South Osage Street,74601,36.6954787,-97.0908903
609,West South Avenue,74601,36.6955078,-97.0911627
613,West South Avenue,74601,36.6956944,-97.0914183
621,South Palm Street,74601,36.6954748,-97.0916610
611,South Palm Street,74601,36.6956597,-97.0917056
407,West South Avenue,74601,36.6955545,-97.0887229
904,South 4th Street,74601,36.6947651,-97.0807616
910,South 4th Street,74601,36.6945088,-97.0807731
1000,East Prospect Avenue,74601,36.7377025,-97.0718354
900,East Prospect Avenue,74601,36.7381469,-97.0725418
1209,East Prospect Avenue,74601,36.7388584,-97.0696345
1217,East Prospect Avenue,74601,36.7392162,-97.0688621
3012,North 14th Street,74601,36.7398338,-97.0678587
3019,North 14th Street,74601,36.7401134,-97.0666774
3101,North 14th Street,74601,36.7407969,-97.0667859
1202,East Prospect Avenue,74601,36.7381801,-97.0698776
2809,North 14th Street,74601,36.7372973,-97.0648767
1501,Princeton Avenue,74601,36.7351184,-97.0648872
2603,North 14th Street,74601,36.7360343,-97.0667416
2805,North 14th Street,74601,36.7364789,-97.0653597
802,East Prospect Avenue,74601,36.7381668,-97.0740950
2900,North Union Street,74601,36.7372726,-97.0875813
2911,North Union Street,74601,36.7383369,-97.0846965
2700,North 5th Street,74601,36.7366440,-97.0754554
2600,North 5th Street,74601,36.7355306,-97.0755533
432,Lansbrook Road,74601,36.7362222,-97.0783433
2617,North Union Street,74601,36.7346433,-97.0839334
2230,North Union Street,74601,36.7318613,-97.0859457
301,West Hartford Avenue,74601,36.7261365,-97.0870338
201,West Hartford Avenue,74601,36.7247465,-97.0859556
2012,North Union Street,74601,36.7261927,-97.0856047
2000,North Union Street,74601,36.7258655,-97.0856440
2408,North 14th Street,74601,36.7328987,-97.0677844
2124,North 14th Street,74601-1829,36.7289398,-97.0677513
2301,North 14th Street,74601,36.7316457,-97.0666778
2412,North 14th Street,74604,36.7332735,-97.0677635
3405,North 14th Street,74601,36.7444232,-97.0666138
115,East Chestnut Avenue,74601,36.7060986,-97.0827847
501,East Hartford,74601,36.7244454,-97.0784301
3413,North 14th Street,74601,36.7456030,-97.0664479
3008,North 14th Street,74601,36.7398431,-97.0682853
