House number,Street name,Postal code,Latitude,Longitude
1900,South Gordon Cooper Drive,74801,35.2972934,-96.9275223
4817,North Kickapoo Avenue,74804,35.3817435,-96.9278630
1601,South Gordon Cooper Drive,74801,35.2942607,-96.9247142
1310,South Gordon Cooper Drive,74801,35.3079783,-96.9261716
641,East Main Street,74801,35.3283626,-96.9161889
1411,North Harrison Street,74801-5245,35.3457482,-96.9114767
322,West MacArthur Street,74804,35.3619743,-96.9272524
40960,Hardesty Road,74801,35.3047788,-96.9307449
40962,Hardesty Road,74801,35.3047744,-96.9304070
4637,North Kickapoo Avenue,74804,35.3790904,-96.9291953
4840,North Kickapoo Street,74804-1314,35.3815036,-96.9302786
4849,North Kickapoo Street,74801-1316,35.3822774,-96.9291319
4640,North Kickapoo Street,74804,35.3789460,-96.9304526
2425,North Kickapoo Avenue,74804,35.3591837,-96.9295669
500,West University Street,74804,35.3606289,-96.9323447
1930,North Kickapoo Street,74804,35.3540714,-96.9305113
4600,North Kickapoo Avenue,74804,35.3780903,-96.9304953
4737,North Kickapoo Street,74804,35.3805510,-96.9276594
4850,Shawnee Mission Drive,74804,35.3822014,-96.9239667
4845,North Kickapoo Street,74804,35.3817253,-96.9293543
1899,Gordon Cooper Drive,74801,35.2972189,-96.9245089
4836,North Kickapoo Street,74804,35.3811682,-96.9303163
1902,South Gordon Cooper Drive,74801,35.2972755,-96.9269953
1709,Regency Court,74804,35.3603731,-96.8989816
2732,Legacy Place,74804,35.3613024,-96.8983842
1712,Regency Court,74804,35.3607981,-96.8987767
2736,Legacy Place,74804,35.3613646,-96.8981543
2727,Woodlawn Court,74804,35.3612773,-96.8965811
2715,Woodlawn Court,74804,35.3605958,-96.8960675
2719,Woodlawn Court,74804,35.3608255,-96.8962341
1102,West McArthur Street,74804,35.3636564,-96.9376295
1702,South Gordon Cooper Drive,74801,35.2997060,-96.9302485
14012,Transportation Parkway,74804,35.3875940,-96.9108811
41200,Hardesty Road,74801,35.3045962,-96.9263169
804,South Park Street,74801,35.3193633,-96.9279165
1803,Remington Circle,74801,35.3370594,-96.8967304
3929,North Kickapoo Avenue,74804,35.3695689,-96.9286416
319,South Kennedy Street,74801,35.3230952,-96.9369324
5107,North Harrison Street,74804,35.3863286,-96.9112692
522,West Saratoga Street,74804,35.3522814,-96.9314859
1900,West MacArthur Street,74804,35.3660726,-96.9550808
5400,Enterprise Court,74804,35.3859077,-96.9102813
4981,North Harrison Street,74804-9105,35.3849883,-96.9091282
4851,North Kickapoo,74801,35.3829628,-96.9258258
521,North Broadway Avenue,74801,35.3337956,-96.9231946
632,North Kickapoo Street,74801,35.3360194,-96.9304517
500,West University Street,74804,35.3595329,-96.9362252
3800,North Market Street,74804,35.3684560,-96.9273193
5104,North Harrison Street,74804,35.3863265,-96.9134594
2022,Airport Drive,74804,35.3562112,-96.9402995
500,W University,74804,35.3604122,-96.9340344
4439,North Harrison Street,74804,35.3757988,-96.9114710
4621,North Kickapoo Street,74804,35.3784116,-96.9291590
1601,North Kickapoo Avenue,74804,35.3488037,-96.9294204
4625,North Kickapoo Avenue,74804,35.3787892,-96.9292726
4725,North Kickapoo,74804,35.3801634,-96.9292171
4837,North Kickapoo,74804,35.3811751,-96.9292710
4020,North Kickapoo Street,74804,35.3743189,-96.9301770
2131,North Kickapoo,74801,35.3561706,-96.9293369
4734,North Kickapoo Street,74804,35.3804244,-96.9304787
4700,North Kickapoo Street,74804,35.3797999,-96.9303156
4735,North Kickapoo Street,74804,35.3806560,-96.9292408
196,Shawnee Mall Drive,74804,35.3868705,-96.9217241
4845,North Kickapoo Street,74804,35.3817284,-96.9293685
1900,W MacArthur,74804,35.3690586,-96.9563178
