House number,Street name,Postal code,Latitude,Longitude
203,West 28th Street North,74106,36.1961984,-95.9984483
8432,South Sheridan Road,74133,36.0396501,-95.9065666
2929,East 31st Street,74105,36.1193864,-95.9469804
4532,South 25th West Avenue,74107,36.0975023,-96.0209035
2952,South Peoria Avenue,74114,36.1212399,-95.9764414
7030,South Yale Avenue,74136,36.0619863,-95.9237847
14531,East 21st Street,74108,36.1347399,-95.8136455
2139,South 109th Avenue East,74129,36.1319535,-95.8536346
7963,East 60th Street,74145,36.0764659,-95.8885813
7951,East 60th Street,74145,36.0764635,-95.8889203
8221,East 61st Street,74133,36.0763105,-95.8858062
6625,South Memorial Drive,74133,36.0669104,-95.8833093
5727,South Garnett Road,74146,36.0798670,-95.8505971
4701,South 168th East Avenue,74134,36.0969026,-95.7889073
4820,South 163rd East Avenue,74134,36.0943030,-95.7958515
5028,South 165th East Avenue,74134,36.0908863,-95.7925308
4810,South 162nd East Avenue,74134,36.0951768,-95.7968850
5017,South 163rd East Avenue,74134,36.0902997,-95.7951147
16438,East 49th Street,74134,36.0930775,-95.7930239
5033,South 165th East Avenue,74134,36.0903145,-95.7924806
4915,South 164th East Avenue,74134,36.0927972,-95.7944528
16208,East 47th Street,74134,36.0966740,-95.7964706
5001,South 164th East Avenue,74134,36.0915171,-95.7944802
16422,East 50th Place,74134,36.0904214,-95.7930695
4921,South 168th East Avenue,74134,36.0931652,-95.7892120
4824,South 162nd East Avenue,74134,36.0942646,-95.7968486
16407,East 49th Street,74134,36.0934531,-95.7938209
4933,South 164th East Avenue,74134,36.0920299,-95.7937360
16203,East 47th Place,74134,36.0961912,-95.7965519
5002,South 164th East Avenue,74134,36.0913511,-95.7948636
4909,South 168th East Avenue,74134,36.0925100,-95.7892996
4907,South 165th East Avenue,74134,36.0928119,-95.7917502
4703,South 166th East Avenue,74134,36.0966682,-95.7927685
16207,East 48th Street,74134,36.0953598,-95.7965277
16307,East 50th Street,74134,36.0915208,-95.7955484
16437,East 49th Street,74134,36.0936773,-95.7927399
16717,East 49th Street,74134,36.0934603,-95.7898949
16605,East 49th Place,74134,36.0924557,-95.7913386
5026,South 164th East Avenue,74134,36.0904620,-95.7945486
16828,East 48th Place,74134,36.0939167,-95.7883396
4836,South 163rd East Avenue,74134,36.0934088,-95.7958661
16905,East 48th Place,74134,36.0943240,-95.7874777
4901,South 165th East Avenue,74134,36.0937751,-95.7921890
16401,East 50th Place,74134,36.0907276,-95.7940145
16514,East 49th Place,74134,36.0920791,-95.7912609
16506,East 49th Street,74134,36.0929989,-95.7912102
16202,East 48th Street,74134,36.0950659,-95.7967060
16406,East 49th Street,74134,36.0933874,-95.7943797
16402,East 50th Place,74134,36.0904251,-95.7943980
4734,South 166th East Avenue,74134,36.0958901,-95.7931466
16714,East 49th Street,74134,36.0930078,-95.7902679
16422,East 49th Street,74134,36.0926976,-95.7934210
16702,East 49th Place,74134,36.0921175,-95.7908153
4837,South 163rd East Avenue,74134,36.0933085,-95.7954790
16421,East 48th Street,74134,36.0953713,-95.7941167
16409,East 50th Street,74134,36.0920963,-95.7930239
4902,South 165th East Avenue,74134,36.0931218,-95.7920743
4764,South 166th East Avenue,74134,36.0948411,-95.7923477
16203,East 49th Place,74134,36.0923065,-95.7962058
4901,South 168th East Avenue,74134,36.0934564,-95.7889276
16406,East 50th Street,74134,36.0916388,-95.7940510
4819,South 162nd East Avenue,74134,36.0942587,-95.7966221
16421,East 50th Place,74134,36.0907018,-95.7928823
16450,East 49th Street,74134,36.0935018,-95.7924121
4725,South 168th East Avenue,74134,36.0961976,-95.7888769
16722,East 49th Place,74134,36.0923890,-95.7894823
