House number,Street name,Postal code,Latitude,Longitude
3,Southeast 2nd Street,73089,35.2904860,-97.8102204
305,West Bond Street,73089,35.2900026,-97.8167162
4,Loblolly Lane,73089,35.2894093,-97.6743817
2,Loblolly Lane,73089,35.2898409,-97.6743340
3,Loblolly Lane,73089,35.2895965,-97.6749752
5,Loblolly Lane,73089,35.2890414,-97.6749662
6,Loblolly Lane,73089,35.2888006,-97.6743939
7,Loblolly Lane,73089,35.2885758,-97.6750049
8,Loblolly Lane,73089,35.2881577,-97.6743973
101,Loblolly Lane,73089,35.2880155,-97.6749788
102,Loblolly Lane,73089,35.2875983,-97.6743532
104,Loblolly Lane,73089,35.2869054,-97.6743559
203,Whispering Pines Drive,73089,35.2875419,-97.6736427
203,Loblolly Lane,73089,35.2861653,-97.6739249
201,Loblolly Lane,73089,35.2862022,-97.6746124
204,Loblolly Lane,73089,35.2868064,-97.6736319
107,Whispering Pines Drive,73089,35.2887621,-97.6735935
103,Whispering Pines Drive,73089,35.2897409,-97.6732417
101,Whispering Pines Drive,73089,35.2897410,-97.6725142
2,County Line Road,73089,35.2897740,-97.6714693
4,Whispering Pines Drive,73089,35.2892393,-97.6715180
6,Whispering Pines Drive,73089,35.2891562,-97.6721391
106,Whispering Pines Drive,73089,35.2885780,-97.6728707
7903,Blue Spruce,73089,35.2885586,-97.6720698
7905,Blue Spruce,73089,35.2885541,-97.6714315
7906,Blue Spruce,73089,35.2879575,-97.6713290
7904,Blue Spruce,73089,35.2879376,-97.6721014
7901,Austrian Lane,73089,35.2873405,-97.6729395
7903,Austrian Lane,73089,35.2873070,-97.6720573
7905,Austrian Lane,73089,35.2872829,-97.6712825
7906,Austrian Lane,73089,35.2867129,-97.6714300
7904,Austrian Lane,73089,35.2867540,-97.6720955
7902,Austrian Lane,73089,35.2867057,-97.6728518
7901,Scotch Lane,73089,35.2860733,-97.6729373
7903,Scotch Lane,73089,35.2860838,-97.6721828
7905,Scotch Lane,73089,35.2859930,-97.6714004
7906,Scotch Lane,73089,35.2855048,-97.6713618
7904,Scotch Lane,73089,35.2855111,-97.6721484
7900,Scotch Lane,73089,35.2854827,-97.6728648
7901,Ponderosa Drive,73089,35.2848201,-97.6728222
7909,Ponderosa Drive,73089,35.2847645,-97.6720138
7919,Ponderosa Drive,73089,35.2847898,-97.6714242
7918,Ponderosa Drive,73089,35.2841286,-97.6713395
7910,Ponderosa Drive,73089,35.2841923,-97.6720638
7902,Ponderosa Drive,73089,35.2841775,-97.6726506
7816,Ponderosa Drive,73089,35.2841607,-97.6733044
7806,Ponderosa Drive,73089,35.2841668,-97.6739792
7804,Ponderosa Drive,73089,35.2841681,-97.6746246
7706,Ponderosa Drive,73089,35.2841598,-97.6753181
7700,Ponderosa Drive,73089,35.2841377,-97.6759042
323,Whispering Pines Drive,73089,35.2855098,-97.6737244
7807,Ponderosa Drive,73089,35.2848569,-97.6738128
405,Cedar Lane,73089,35.2847536,-97.6745917
324,Cedar Lane,73089,35.2853547,-97.6744676
321,Cedar Lane,73089,35.2856541,-97.6752171
325,Cedar Lane,73089,35.2852551,-97.6753507
7705,Ponderosa Drive,73089,35.2848763,-97.6753327
7614,Ponderosa Drive,73089,35.2841822,-97.6768515
7608,Ponderosa Drive,73089,35.2841860,-97.6774537
7600,Ponderosa Drive,73089,35.2841970,-97.6781886
7510,Ponderosa Drive,73089,35.2841733,-97.6788039
405,West Ponderosa Drive,73089,35.2845544,-97.6792102
403,West Ponderosa Drive,73089,35.2850838,-97.6792992
323,West Ponderosa Drive,73089,35.2854766,-97.6792183
301,West Ponderosa Drive,73089,35.2860976,-97.6791927
215,West Ponderosa Drive,73089,35.2865929,-97.6791598
213,West Ponderosa Drive,73089,35.2870745,-97.6791037
211,West Ponderosa Drive,73089,35.2872888,-97.6788058
209,West Ponderosa Drive,73089,35.2875041,-97.6783353
207,West Ponderosa Drive,73089,35.2875491,-97.6776542
103,Pinyon Circle,73089,35.2877223,-97.6769960
100,Pinyon Circle,73089,35.2882198,-97.6766249
104,Pinyon Circle,73089,35.2878312,-97.6762274
212,East Ponderosa Drive,73089,35.2871293,-97.6768303
216,East Ponderosa Drive,73089,35.2864807,-97.6768130
304,East Ponderosa Drive,73089,35.2859204,-97.6768036
322,East Ponderosa Drive,73089,35.2853653,-97.6767286
400,East Ponderosa Drive,73089,35.2848058,-97.6768293
401,East Ponderosa Drive,73089,35.2848377,-97.6775691
321,East Ponderosa Drive,73089,35.2853765,-97.6775473
303,East Ponderosa Drive,73089,35.2859238,-97.6775095
217,East Ponderosa Drive,73089,35.2865141,-97.6775267
208,West Ponderosa Drive,73089,35.2869919,-97.6778829
216,West Ponderosa Drive,73089,35.2865289,-97.6784957
302,West Ponderosa Drive,73089,35.2859296,-97.6784574
324,West Ponderosa Drive,73089,35.2852725,-97.6784127
7515,West Ponderosa Drive,73089,35.2847880,-97.6784771
7818,State Highway 37,73089,35.2904350,-97.6729616
413,East Main,73089,35.2913801,-97.8058189
109,Whispering Pines Drive,73089,35.2880970,-97.6736465
