House number,Street name,Postal code,Latitude,Longitude
593,Eddy Street,02903,41.8118618,-71.4091293
700,Smith Street,02908,41.8377209,-71.4356559
747,Broad Street,02907,41.8037766,-71.4195558
353,Elmwood Avenue,02907,41.8025479,-71.4263959
297,Laurel Hill Avenue,02909,41.8080096,-71.4534100
525,Branch Avenue,02904,41.8556554,-71.4403358
190,Camp Street,02906,41.8437430,-71.4023881
285A,Chad Brown Street,02908,41.8410299,-71.4225575
593,Eddy Street,02903,41.8112657,-71.4079546
101,Dudley Street,02905,41.8107718,-71.4124738
900,Admiral Street,02904,41.8526520,-71.4458616
857,Eddy Street,02905,41.8045300,-71.4067740
306,Thayer Street,02906,41.8303105,-71.4010636
50,Springfield Street,02909,41.8170000,-71.4648000
152,Springfield Street,02909,41.8187000,-71.4654000
1,Olneyville Square,02909,41.8166237,-71.4429811
233,Veazie Street,02904,41.8514843,-71.4343581
325,Washington Street,02903,41.8202605,-71.4207456
736,Branch Avenue,02904,41.8533221,-71.4286435
1119,North Main Street,02904,41.8512301,-71.4020997
68,Hudson Street,02909,41.8131697,-71.4345946
780,Hope Street,02906,41.8482175,-71.3955814
539,Smith Street,02908-4362,41.8364122,-71.4288542
850,Manton Avenue,02909,41.8323697,-71.4668846
850,Manton Avenue,02909,41.8336108,-71.4672708
333,West River Street,02909,41.8454268,-71.4121232
12,Library Ct.,02909,41.8167897,-71.4415916
579,Atwells Avenue,02909,41.8247977,-71.4360393
579,Atwell Avenue,02909,41.8247977,-71.4361351
218,Thayer Street,02906,41.8275509,-71.4007252
291,Thayer Street,02906,41.8299353,-71.4007520
286,Brook Street,02906,41.8246606,-71.3990628
1003,Smith Street,02908,41.8425327,-71.4446958
1009,Smith Street,02908,41.8426592,-71.4449490
539,Smith Street,02908,41.8362586,-71.4291894
673,Smith Street,02908,41.8378094,-71.4334407
1017,Smith Street,02908,41.8430648,-71.4457869
186,Fountain Street,02903,41.8223638,-71.4168238
820,Hope Street,02906,41.8495814,-71.3950854
700,North Main Street,02904,41.8404173,-71.4093496
235,Thayer Street,02906,41.8282551,-71.4005070
161,Benefit Street,02903,41.8287463,-71.4081066
601,North Main Street,02904,41.8373789,-71.4085328
555,North Main Street,02904,41.8364055,-71.4084124
585,North Main Street,02904-5722,41.8376465,-71.4086488
635,North Main Street,02904,41.8365071,-71.4091457
87,Fones Alley,02906,41.8277863,-71.4002126
207,Wickenden Street,02903,41.8193013,-71.3990975
267,Thayer Street,02906,41.8289570,-71.4006398
224,Thayer Street,02906,41.8277429,-71.4007885
190,Thayer Street,02912,41.8268003,-71.4006833
