House number,Street name,Postal code,Latitude,Longitude
334,South Main Street,29627,34.5171807,-82.4887730
336,South Main Street,29627,34.5171397,-82.4886331
418,South Main Street,29627,34.5171229,-82.4859009
416,South Main Street,29627,34.5171899,-82.4860069
420,South Main Street,29627,34.5170722,-82.4857944
410,South Main Street,29627,34.5176395,-82.4867796
412,South Main Street,29627,34.5175542,-82.4866308
414,South Main Street,29627,34.5173411,-82.4862468
605,South Main Street,29627,34.5130762,-82.4816921
605,South Main Street,29627,34.5130534,-82.4814967
103,Oneal Street,29627,34.5219928,-82.4931166
107,Oneal Street,29627,34.5220458,-82.4930011
101,Oneal Street,29627,34.5219686,-82.4931758
105,Oneal Street,29627,34.5220311,-82.4930519
109,Oneal Street,29627,34.5220857,-82.4929327
111,Oneal Street,29627,34.5221317,-82.4928805
113,Oneal Street,29627,34.5221599,-82.4928181
121,Oneal Street,29627,34.5222336,-82.4926429
119,Oneal Street,29627,34.5221969,-82.4927481
123,Oneal Street,29627,34.5222920,-82.4925650
200,City Square,29627,34.5222992,-82.4929562
204,City Square,29627,34.5223564,-82.4929918
216,City Square,29627,34.5225474,-82.4931267
216,City Square,29627,34.5226149,-82.4931787
214,City Square,29627,34.5224944,-82.4930801
216,City Square,29627,34.5225942,-82.4931608
208,City Square,29627,34.5224187,-82.4930381
224,City Square,29627,34.5228848,-82.4933673
222,City Square,29627,34.5228279,-82.4933134
222,City Square,29627,34.5227804,-82.4932864
220,City Square,29627,34.5227118,-82.4932321
228,City Square,29627,34.5229343,-82.4934014
218,City Square,29627,34.5226596,-82.4931950
226,City Square,29627,34.5229835,-82.4933026
306,City Square,29627,34.5232097,-82.4936069
300,City Square,29627,34.5230843,-82.4935136
302,City Square,29627,34.5231408,-82.4935549
312,City Square,29627,34.5234464,-82.4937867
314,City Square,29627,34.5235280,-82.4938366
308,City Square,29627,34.5232906,-82.4936788
310,City Square,29627,34.5233475,-82.4937149
308,City Square,29627,34.5232681,-82.4936603
109,North Main Street,29627,34.5236766,-82.4944013
115,North Main Street,29627,34.5238170,-82.4944988
111,North Main Street,29627,34.5237323,-82.4944443
119,North Main Street,29627,34.5238898,-82.4945617
117,North Main Street,29627,34.5238568,-82.4945301
113,North Main Street,29627,34.5237884,-82.4944771
105,North Main Street,29627,34.5235852,-82.4943374
103,North Main Street,29627,34.5235550,-82.4943080
107,North Main Street,29627,34.5236291,-82.4943732
727,Anderson Street,29627,34.5197065,-82.5070125
727,Anderson Street,29627,34.5196640,-82.5070766
727,Anderson Street,29627,34.5194218,-82.5073750
727,Anderson Street,29627,34.5195865,-82.5071761
727,Anderson Street,29627,34.5195067,-82.5072641
716,Anderson Street,29627,34.5202308,-82.5042516
716,Anderson Street,29627,34.5201418,-82.5041709
716,Anderson Street,29627,34.5201904,-82.5042113
716,Anderson Street,29627,34.5203600,-82.5043972
716,Anderson Street,29627,34.5202671,-82.5042967
716,Anderson Street,29627,34.5204248,-82.5044577
716,Anderson Street,29627,34.5203075,-82.5043419
303,Anderson Street,29627,34.5220682,-82.4965605
301,Anderson Street,29627,34.5220516,-82.4963352
107,Anderson Street,29627,34.5218561,-82.4943014
107,Anderson Street,29627,34.5218574,-82.4941677
219,North Main Street,29627,34.5266788,-82.4958764
219,North Main Street,29627,34.5266091,-82.4958554
315,Jim Russell Way,29627,34.5211062,-82.4936575
306,Anderson Street,29627,34.5210682,-82.4973526
202,Watkins Street,29627,34.5154787,-82.4944795
218,Bannister Street,29627,34.5231605,-82.5025349
116,River Street,29627,34.5238314,-82.4928138
222,South Main Street,29627,34.5206975,-82.4918620
304,South Main Street,29627,34.5196319,-82.4914376
326,South Main Street,29627,34.5173942,-82.4891440
400,South Main Street,29627,34.5168496,-82.4874849
404,South Main Street,29627,34.5168247,-82.4870711
424,South Main Street,29627,34.5164294,-82.4856061
426,South Main Street,29627,34.5160717,-82.4838769
528,South Main Street,29627,34.5154336,-82.4822899
710,Anderson Street,29627,34.5203948,-82.5037359
202,Anderson Street,29627,34.5214835,-82.4950580
313,North Main Street,29627,34.5278391,-82.4954726
14515,Highway 20,29627,34.5407772,-82.4942842
208,South Main Street,29627,34.5213969,-82.4925956
224,South Main Street,29627,34.5201993,-82.4918874
451,South Main Street,29627,34.5198603,-82.4925767
405,Jim Russell Way,29627,34.5204175,-82.4932363
302,South Main Street,29627,34.5199388,-82.4916599
324,South Main Street,29627,34.5177201,-82.4896210
422,South Main Street,29627,34.5164575,-82.4862758
607,South Main Street,29627,34.5136113,-82.4797418
605,South Main Street,29627,34.5127713,-82.4811089
102,Blake Street,29627,34.5267944,-82.4971286
302,North Main Street,29627,34.5269481,-82.4968449
102,McGee Way,29627,34.5225705,-82.4947856
101,McGee Way,29627,34.5231634,-82.4949304
103,Breazeale Street,29627,34.5231440,-82.4954465
203,Mcgee Way,29627,34.5223665,-82.4919502
108,McGee Way,29627,34.5219023,-82.4921916
201,ONeal Street,29627,34.5224271,-82.4921807
121,River Street,29627,34.5233252,-82.4922098
125,River Street,29627,34.5234498,-82.4918888
200,River Street,29627,34.5242519,-82.4918873
121,North Main Street,29627,34.5240534,-82.4946001
102,Saluda Street,29627,34.5236448,-82.4941328
91,Breazeale Street,29627,34.5238088,-82.4951770
319,City Square,29627,34.5234014,-82.4940795
756,Anderson Street,29627,34.5156853,-82.5101733
755,Anderson Street,29627,34.5163776,-82.5105799
752,Anderson Street,29627,34.5164016,-82.5097336
753,Anderson Street,29627,34.5168331,-82.5100013
750,Anderson Street,29627,34.5165960,-82.5093985
729,Anderson Street,29627,34.5189844,-82.5076183
726,Anderson Street,29627,34.5189734,-82.5057683
725,Anderson Street,29627,34.5200969,-82.5066671
723,Anderson Street,29627,34.5204589,-82.5064292
717,Anderson Street,29627,34.5206989,-82.5054789
715,Anderson Street,29627,34.5209415,-82.5048163
713,Anderson Street,29627,34.5209425,-82.5044171
705,Anderson Street,29627,34.5212062,-82.5035581
703,Anderson Street,29627,34.5212395,-82.5033325
702,Anderson Street,29627,34.5208001,-82.5029506
701,Anderson Street,29627,34.5213574,-82.5030316
411,Anderson Street,29627,34.5220050,-82.4979028
405,Anderson Street,29627,34.5220107,-82.4976365
305,Anderson Street,29627,34.5221301,-82.4969656
208,Anderson Street,29627,34.5214390,-82.4959037
203,Anderson Street,29627,34.5219640,-82.4949520
319,North Main Street,29627,34.5286932,-82.4956480
309,North Main Street,29627,34.5274522,-82.4957117
207,North Main Street,29627,34.5259031,-82.4954266
205,North Main Street,29627,34.5257373,-82.4954173
110,Shirley Street,29627,34.5239344,-82.4997906
605,South Main Street,29627,34.5129615,-82.4815967
709,North Main Street,29627,34.5391395,-82.4946706
303,Campbell Street,29627,34.5199251,-82.4909766
304,Campbell Street,29627,34.5201025,-82.4904069
308,Campbell Street,29627,34.5198109,-82.4900830
607,North Main Street,29627,34.5322849,-82.4952387
306,Anderson St,29627,34.5210935,-82.4974032
107,Blair Mill Road,29627,34.5296544,-82.5103440
400,Church Street,29627,34.5267215,-82.5058017
3,Blake Street,29627,34.5272788,-82.5004102
211,Washington Street,29627,34.5277299,-82.4926187
206,Zion Street,29627,34.5201093,-82.4996314
215,Meeks Drive,29627,34.5240310,-82.4795482
102,Cherokee Road,29627,34.5141789,-82.5100608
105,Brown Avenue,29627,34.5204128,-82.4948836
