House number,Street name,Postal code,Latitude,Longitude
101,East Arctic Avenue,29439,32.6547985,-79.9395889
2,Center Street,29439,32.6552286,-79.9403712
87,Center Street,29439,32.6589875,-79.9430589
83,Center Street,29439,32.6589316,-79.9428938
81,Center Street,29439,32.6588093,-79.9429109
55,Center Street,29439,32.6576097,-79.9423577
106,West Huron Avenue,29439,32.6573278,-79.9426720
50,Center Street,29439,32.6575962,-79.9418769
105,West Huron Avenue,29439,32.6570585,-79.9424840
41,Center Street,29439,32.6569540,-79.9420343
39,Center Street,29439,32.6567618,-79.9417816
31,Center Street,29439,32.6564371,-79.9417181
32B,Center Street,29439,32.6567077,-79.9413364
32A,Center Street,29439,32.6566507,-79.9412219
20,Center Street,29439,32.6561496,-79.9409439
18,Center Street,29439,32.6559163,-79.9408380
106,East Ashley Avenue,29439,32.6559476,-79.9402666
201,West Erie Avenue,29439,32.6556458,-79.9439062
1640,East Ashley Avenue,29439,32.6763065,-79.8995565
1720,East Ashley Avenue,29439,32.6805135,-79.8938225
1627,East Ashley Avenue,29439,32.6751510,-79.8997290
1657,East Ashley Avenue,29439,32.6767475,-79.8977140
902,East Arctic Avenue,29439,32.6628690,-79.9228430
1013,East Arctic Avenue,29439,32.6638755,-79.9191035
1006,East Arctic Avenue,29439,32.6643886,-79.9191402
1115,East Ashley Avenue,29439,32.6654255,-79.9169495
1705,East Ashley Avenue,29439,32.6794420,-79.8940195
1685B,East Ashley Avenue,29439,32.6781655,-79.8953255
1568,East Ashley Avenue,29439,32.6720983,-79.9048492
1301,East Ashley Avenue,29439,32.6666100,-79.9140205
910,East Ashley Avenue,29439,32.6636090,-79.9222650
1591,East Ashley Avenue,29439,32.6730765,-79.9026240
1405,East Ashley Avenue,29439,32.6675970,-79.9112775
902,East Ashley Avenue,29439,32.6633110,-79.9230875
1666,East Ashley Avenue,29439,32.6776660,-79.8976275
1742,East Ashley Avenue,29439,32.6817950,-79.8921510
1645,East Ashley Avenue,29439,32.6760235,-79.8985210
1723,East Ashley Avenue,29439,32.6805608,-79.8927797
1508,East Ashley Avenue,29439,32.6690095,-79.9091595
1516,East Ashley Avenue,29439,32.6694675,-79.9084465
1002,East Arctic Avenue,29439,32.6637815,-79.9205840
1021,East Arctic Avenue,29439,32.6641700,-79.9183965
1656,East Ashley Avenue,29439,32.6771115,-79.8983510
1740,East Ashley Avenue,29439,32.6816480,-79.8922985
1306,East Ashley Avenue,29439,32.6671000,-79.9137505
1695,East Ashley Avenue,29439,32.6788680,-79.8947165
1696,East Ashley Avenue,29439,32.6792505,-79.8954250
915,East Arctic Avenue,29439,32.6629565,-79.9213125
1668,East Ashley Avenue,29439,32.6776795,-79.8973945
1680,East Ashley Avenue,29439,32.6783465,-79.8965720
1707A,East Ashley Avenue,29439,32.6796005,-79.8938875
906,East Arctic Avenue,29439,32.6630155,-79.9223930
1709B,East Ashley Avenue,29439,32.6794774,-79.8935238
913,East Arctic Avenue,29439,32.6628625,-79.9215545
