House number,Street name,Postal code,Latitude,Longitude
200,Snow Goose Circle,29445,33.0407467,-80.0740213
214,Snow Goose Circle,29445,33.0407284,-80.0742959
300,Snow Goose Circle,29445,33.0407917,-80.0744867
2001,Snow Goose Circle,29445,33.0406205,-80.0751155
518,Snow Goose Circle,29445,33.0404805,-80.0755671
500,Snow Goose Circle,29445,33.0406821,-80.0757938
400,Snow Goose Circle,29445,33.0409953,-80.0750372
410,Snow Goose Circle,29445,33.0408515,-80.0753696
605,Saint James Avenue,29445,33.0357332,-80.0637426
603,St James Ave,29445,33.0339836,-80.0616340
611,Saint James Avenue,29445,33.0361637,-80.0641508
605,Saint James Avenue,29445,33.0337230,-80.0641750
433,Saint James Avenue,29445,33.0245874,-80.0557855
431,Saint James Avenue,29445,33.0238534,-80.0562404
217,Saint James Avenue,29445,33.0088115,-80.0463455
140,Fletcher Street,29445,32.9656555,-79.9753449
1956,Fletcher Street,29445,32.9636897,-79.9749435
608,Saint James Avenue,29445,33.0349856,-80.0614503
103,North Goose Creek Boulevard,29445,32.9976854,-80.0388819
128,Saint James Avenue,29445,33.0003899,-80.0405453
516,Saint James Avenue,29445,33.0309154,-80.0584639
509,North Goose Creek Boulevard,29445,33.0178877,-80.0366631
142,Saint James Avenue,29445,33.0032451,-80.0410671
670,College Park Road,29445,33.0157241,-80.0878768
1,South Alliance Drive,29445,33.0171317,-80.0874878
670,College Park Road,29445,33.0157234,-80.0879683
509,North Goose Creek Boulevard,29445,33.0178501,-80.0369918
650,College Park Road,29445,33.0144569,-80.0876449
513,Wodin Place,29486,33.0553897,-80.1038458
418,Stephanie Drive,29445,33.0189763,-80.0256424
119,Saint James Avenue,29445,32.9983077,-80.0406077
7750,Henry E Brown Jr Blvd,29445,33.0143528,-80.0005349
2007,2nd Avenue,29486,33.0582916,-80.0983245
5,South Alliance Drive,29445,33.0183097,-80.0877276
208,Saint James Avenue,29445,33.0064881,-80.0428969
881,St. James Ave,29486,33.0430518,-80.0751913
135,Saint James Avenue,29445,33.0005819,-80.0417046
537,Saint James Avenue,29445,33.0324514,-80.0605099
322,Snow Goose Circle,29445,33.0409119,-80.0748576
212,Snow Goose Circle,29445,33.0407310,-80.0742567
210,Snow Goose Circle,29445,33.0407336,-80.0742174
208,Snow Goose Circle,29445,33.0407362,-80.0741782
206,Snow Goose Circle,29445,33.0407389,-80.0741390
204,Snow Goose Circle,29445,33.0407415,-80.0740998
202,Snow Goose Circle,29445,33.0407441,-80.0740605
320,Snow Goose Circle,29445,33.0409010,-80.0748239
318,Snow Goose Circle,29445,33.0408900,-80.0747902
316,Snow Goose Circle,29445,33.0408791,-80.0747564
314,Snow Goose Circle,29445,33.0408682,-80.0747227
312,Snow Goose Circle,29445,33.0408573,-80.0746890
310,Snow Goose Circle,29445,33.0408463,-80.0746553
308,Snow Goose Circle,29445,33.0408354,-80.0746216
306,Snow Goose Circle,29445,33.0408245,-80.0745879
304,Snow Goose Circle,29445,33.0408136,-80.0745541
302,Snow Goose Circle,29445,33.0408026,-80.0745204
408,Snow Goose Circle,29445,33.0408803,-80.0753031
406,Snow Goose Circle,29445,33.0409090,-80.0752366
404,Snow Goose Circle,29445,33.0409378,-80.0751702
402,Snow Goose Circle,29445,33.0409665,-80.0751037
2007,Snow Goose Circle,29445,33.0405632,-80.0750502
2005,Snow Goose Circle,29445,33.0405823,-80.0750720
2003,Snow Goose Circle,29445,33.0406014,-80.0750937
516,Snow Goose Circle,29445,33.0405029,-80.0755923
514,Snow Goose Circle,29445,33.0405253,-80.0756175
512,Snow Goose Circle,29445,33.0405477,-80.0756427
510,Snow Goose Circle,29445,33.0405701,-80.0756679
508,Snow Goose Circle,29445,33.0405925,-80.0756930
506,Snow Goose Circle,29445,33.0406149,-80.0757182
504,Snow Goose Circle,29445,33.0406373,-80.0757434
502,Snow Goose Circle,29445,33.0406597,-80.0757686
140,Fletcher Street,29445,32.9656075,-79.9753326
111,Sully Street,29445,33.0037350,-80.0625155
142,Saint James Avenue,29445,33.0037864,-80.0413532
220,Saint James Avenue,29445,33.0102661,-80.0458830
220,Saint James Avenue,29445,33.0097618,-80.0445779
2519,North Main Street,29486,33.0584168,-80.0967861
101,NNPTC Circle,29445,32.9657764,-79.9663002
601,Saint James Avenue,29445,33.0336616,-80.0613398
520,Saint James Avenue,29445,33.0322634,-80.0572170
210,Saint James Avenue,29445,33.0075398,-80.0444986
211,Saint James Avenue,29445,33.0067631,-80.0449921
207,Saint James Avenue,29445,33.0054926,-80.0448201
205,Saint James Avenue,29445,33.0048196,-80.0446728
142,Saint James Avenue,29445,33.0031862,-80.0408892
205,Goose Creek Boulevard North,29445,33.0025978,-80.0401079
105,Thomason Boulevard,29445,33.0020293,-80.0405274
101,Red Bank Road,29445,32.9951936,-80.0377831
925,Red Bank Road,29445,32.9738851,-80.0229228
907,Red Bank Road,29445,32.9741345,-80.0237451
107,North Goose Creek Boulevard,29445,32.9985132,-80.0389363
109,Goose Creek Boulevard North,29445,32.9988311,-80.0389850
105,North Goose Creek Boulevard,29445-2964,32.9980932,-80.0389232
2316,Red Bank Road,29445,32.9569602,-79.9359553
201,North Goose Creek Boulevard,29445,33.0016313,-80.0386662
122,Saint James Avenue,29445,32.9994519,-80.0400329
3,South Alliance Drive,29445,33.0175310,-80.0878317
1,South Alliance Drive,29445,33.0170556,-80.0876066
660,College Park Road,29456,33.0151823,-80.0880501
933,Red Bank Road,29445,32.9735244,-80.0225512
325,Old Moncks Corner Road,29445,33.0202151,-80.0433963
4020,2nd Avenue,29486,33.0610525,-80.0993471
1137,Red Bank Road,29445,32.9741155,-80.0163459
108,Spring Hall Drive,29445,33.0107842,-80.0535237
108,Spring Hall Drive,29445,33.0107016,-80.0533430
140,Fletcher Street,29445,32.9657696,-79.9753156
244,Jefferson Avenue,29445,32.9689937,-79.9980647
106,West Maccaw Street,29445,32.9685307,-79.9987730
100,Underwood Lane,29486,33.0563973,-80.0926925
2316,Red Bank Road,29445,32.9214968,-79.9354393
2482,Red Bank Road,29445,32.9536299,-79.9364035
519,Goose Creek Boulevard North,29445,33.0284407,-80.0360498
435,Saint James Avenue,29445,33.0258623,-80.0573127
301,Red Bank Road,29445,32.9858289,-80.0320404
2464,North Main Street,29483,33.0556637,-80.1004396
100,Callen Boulevard,29486,33.0685486,-80.0952960
104,South Goose Creek Boulevard,29445,32.9937357,-80.0395302
108,Goose Creek Boulevard South,29445,32.9930951,-80.0397444
215,Saint James Avenue,29445,33.0080559,-80.0470433
215,Saint James Avenue,29445,33.0077227,-80.0457449
220,Saint James Avenue,29445,33.0103430,-80.0458478
776,Fletcher Street,29445,32.9648759,-79.9766269
101,Hunters Lane,29445,33.0076469,-80.0580472
240,Westview Boulevard,29445,33.0019688,-80.0514174
200,Westview Boulevard,29445,33.0028353,-80.0490934
106,Westview Boulevard,29445,33.0032191,-80.0481500
201,Saint James Avenue,29445,33.0044029,-80.0440571
88,Westview Boulevard,29445,33.0041320,-80.0447139
217,Saint James Avenue,29445,33.0090185,-80.0462936
86,Bridgetown Road,29445,33.0109757,-80.0486303
99,Bridgetown Road,29445,33.0081659,-80.0505088
98,Hamlet Circle,29445,33.0152826,-80.0807726
111,Sully Street,29445,33.0037351,-80.0625183
113,Sully Street,29445,33.0037714,-80.0623133
115,Margate Circle,29445,33.0033340,-80.0624181
101,Margate Circle,29445,33.0025014,-80.0631602
103,Margate Circle,29445,33.0025461,-80.0629029
105,Margate Circle,29445,33.0026369,-80.0627258
107,Margate Circle,29445,33.0027793,-80.0625571
109,Margate Circle,29445,33.0029555,-80.0624453
113,Margate Circle,29445,33.0031356,-80.0623923
118,Berringer Drive,29445,33.0032970,-80.0628522
114,Berringer Drive,29445,33.0028471,-80.0630466
116,Berringer Drive,29445,33.0030424,-80.0629706
116,Margate Circle,29445,33.0034397,-80.0619869
1055,Red Bank Road,29445,32.9729631,-80.0191180
107,Berringer Drive,29445,33.0020817,-80.0635985
100,Berringer Drive,29445,33.0014557,-80.0630829
102,Berringer Drive,29445,33.0016536,-80.0631247
104,Berringer Drive,29445,33.0018300,-80.0631421
101,Berringer Drive,29445,33.0014202,-80.0635680
103,Berringer Drive,29445,33.0016461,-80.0635665
105,Berringer Drive,29445,33.0018429,-80.0636017
1003,Red Bank Road,29445,32.9732656,-80.0212897
1015,Red Bank Road,29445,32.9730740,-80.0208674
100,Vestry Lane,29445,32.9755013,-80.0326468
200,Foster Creek Road,29445,32.9732300,-80.0322254
300,Hamlet Circle,29445,33.0063460,-80.0795553
951,Crowfield Boulevard,29445,33.0134752,-80.0853296
