House number,Street name,Postal code,Latitude,Longitude
2303,Mason Road,29349,35.0307621,-82.0810403
816,Mason Road,29349,35.0311058,-82.0806209
12,West Clark Road,29349,35.0386618,-82.0861930
72,Church Avenue,29349,35.0411176,-82.0933564
8,South Main Street,29349,35.0475096,-82.0903711
5,Culp Street,29349,35.0432974,-82.0878371
27,Gosnell Avenue,29349,35.0444500,-82.0862274
12,West Clark Road,29349,35.0379304,-82.0865512
526,Mason Road,29349,35.0324695,-82.0800838
5,Culp Street,29349,35.0430449,-82.0882122
20,Mill Street,29349,35.0473476,-82.0916389
1004,Mason Road,29349,35.0309039,-82.0803744
5,Culp Street,29349,35.0429823,-82.0877774
13,Mill Street,29349,35.0473877,-82.0909416
5,Culp Street,29349,35.0429960,-82.0877292
522,Franklin Asberry Lane,29349,35.0338678,-82.0875396
11530,Asheville Highway,29349,35.0402293,-82.0836045
1002,Mason Road,29349,35.0309296,-82.0803478
2,South Humphrey Street,29349,35.0462313,-82.0918940
11811,Asheville Highway,29349,35.0403814,-82.0869427
12,West Clark Road,29349,35.0379080,-82.0868660
520,Mason Road,29349,35.0327015,-82.0802026
20,South Howard Street,29349,35.0472597,-82.0887528
1022,Mason Road,29349,35.0307431,-82.0800849
5,Culp Street,29349,35.0428979,-82.0883287
59,Mill Street,29349,35.0455286,-82.0935518
802,Mason Road,29349,35.0312492,-82.0807550
43,Mill Street,29349,35.0463349,-82.0925139
12,West Clark Road,29349,35.0379625,-82.0866973
10,Mill Street,29349,35.0476997,-82.0912227
2,South Main Street,29349,35.0477765,-82.0904771
5,Culp Street,29349,35.0434753,-82.0880671
23,Mill Street,29349,35.0470448,-82.0914332
2307,Mason Road,29349,35.0308687,-82.0811058
814,Mason Road,29349,35.0311316,-82.0805923
21,South Howard Street,29349,35.0474744,-82.0877915
12,West Clark Road,29349,35.0378863,-82.0864289
16,South Main Street,29349,35.0471758,-82.0901643
348,Arp Way,29349,35.0317589,-82.0836867
5,Culp Street,29349,35.0424410,-82.0883551
8,Amos Street,29349,35.0456794,-82.0902896
329,Arp Way,29349,35.0320273,-82.0828918
51,South Howard Street,29349,35.0451872,-82.0841208
812,Mason Road,29349,35.0311770,-82.0806549
28,Bloomwood Heights,29349,35.0417356,-82.0846909
11287,Asheville Highway,29349,35.0382189,-82.0801544
1010,Mason Road,29349,35.0308419,-82.0802619
822,Mason Road,29349,35.0310283,-82.0805372
12,West Clark Road,29349,35.0380066,-82.0868196
5,Culp Street,29349,35.0430835,-82.0881786
12,West Clark Road,29349,35.0387789,-82.0865072
2301,Mason Road,29349,35.0308170,-82.0809873
824,Mason Road,29349,35.0310541,-82.0805024
610,Nature Walk Way,29349,35.0301887,-82.0801373
12111,Asheville Highway,29349,35.0426273,-82.0922045
12,West Clark Road,29349,35.0378698,-82.0867414
518,Mason Road,29349,35.0327659,-82.0801886
5,Culp Street,29349,35.0426542,-82.0883975
22,Mill Street,29349,35.0473134,-82.0916745
1107,Mason Road,29349,35.0310890,-82.0800087
5,Culp Street,29349,35.0424913,-82.0883702
808,Mason Road,29349,35.0311203,-82.0807224
7,Bishop Street,29349,35.0476187,-82.0921741
15,Mill Street,29349,35.0473482,-82.0910089
12,West Clark Road,29349,35.0378318,-82.0865977
5,Culp Street,29349,35.0433247,-82.0877460
603,Ezra Court,29349,35.0344233,-82.0876899
7,Mill Street,29349,35.0475160,-82.0908418
2305,Mason Road,29349,35.0308277,-82.0811301
11765,Asheville Highway,29349,35.0402450,-82.0866670
12,West Clark Road,29349,35.0380407,-82.0869561
426,Gemstone Lane,29349,35.0328261,-82.0812865
8,Amos Street,29349,35.0456117,-82.0902624
1905,Mason Road,29349,35.0303984,-82.0804176
5,Culp Street,29349,35.0432823,-82.0878817
10,South Main Street,29349,35.0475514,-82.0902953
8,Mill Street,29349,35.0477677,-82.0910963
12,West Clark Road,29349,35.0387949,-82.0862448
72,South Main Street,29349,35.0431859,-82.0895281
109,Fleetwood Street,29349,35.0404902,-82.0826060
5,Culp Street,29349,35.0430263,-82.0876310
32,Church Avenue,29349,35.0399152,-82.0931956
5,Culp Street,29349,35.0434910,-82.0879669
102,Boardwalk Drive,29349,35.0416959,-82.0858916
5,Culp Street,29349,35.0426897,-82.0884088
673,Nature Walk Way,29349,35.0308574,-82.0822183
240,West Clark Road,29349,35.0348600,-82.0867569
12,West Clark Road,29349,35.0380655,-82.0865935
672,Nature Walk Way,29349,35.0311295,-82.0820766
5,Culp Street,29349,35.0430111,-82.0876846
31,Ladson Street,29349,35.0438682,-82.0923405
35,Mill Street,29349,35.0468748,-82.0918356
20,East Main Street,29349,35.0464161,-82.0890943
1907,Mason Road,29349,35.0304566,-82.0803769
5,Henderson Street,29349,35.0436341,-82.0917363
25,Mill Street,29349,35.0469993,-82.0914937
21,Mill Street,29349,35.0471322,-82.0913574
1103,Mason Road,29349,35.0312015,-82.0799708
9,Culp Street,29349,35.0422862,-82.0876291
12,West Clark Road,29349,35.0389831,-82.0867318
5,Culp Street,29349,35.0430152,-82.0882405
18,Mill Street,29349,35.0473737,-82.0915941
1024,Mason Road,29349,35.0307757,-82.0800543
5,Culp Street,29349,35.0429320,-82.0883040
33,Mill Street,29349,35.0468190,-82.0917496
2107,Mason Road,29349,35.0306577,-82.0807248
27,Mill Street,29349,35.0469521,-82.0915848
12,West Clark Road,29349,35.0381570,-82.0869026
5,Culp Street,29349,35.0428681,-82.0883642
1018,Mason Road,29349,35.0307675,-82.0802196
12,West Clark Road,29349,35.0377936,-82.0864731
5,Culp Street,29349,35.0433126,-82.0877835
18,South Howard Street,29349,35.0469390,-82.0888781
806,Mason Road,29349,35.0311993,-82.0808288
5,Culp Street,29349,35.0433624,-82.0876496
65,Mill Street,29349,35.0452192,-82.0941042
27,Culp Street,29349,35.0432147,-82.0865405
68,South Main Street,29349,35.0432974,-82.0894600
1160,Park Road,29349,35.0330914,-82.0912555
12,West Clark Road,29349,35.0385922,-82.0867554
2,Bishop Street,29349,35.0476570,-82.0914226
14,South Main Street,29349,35.0472494,-82.0902158
5,Culp Street,29349,35.0434594,-82.0882086
558,Franklin Asberry Lane,29349,35.0345776,-82.0877120
3,Mill Street,29349,35.0476261,-82.0907361
818,Mason Road,29349,35.0310800,-82.0806619
1012,Mason Road,29349,35.0308309,-82.0801605
23,South Howard Street,29349,35.0473389,-82.0875757
12,West Clark Road,29349,35.0389119,-82.0865590
420,Gemstone Lane,29349,35.0327423,-82.0809241
12,West Clark Road,29349,35.0388776,-82.0864416
10,Amos Street,29349,35.0455040,-82.0902221
1008,Mason Road,29349,35.0308145,-82.0802905
4,Blackstock Road,29349,35.0468275,-82.0912131
11285,Asheville Highway,29349,35.0381823,-82.0800365
12,Gosnell Avenue,29349,35.0449477,-82.0888672
12,West Clark Road,29349,35.0379863,-82.0871248
78,Church Avenue,29349,35.0413301,-82.0936021
5,Culp Street,29349,35.0429671,-82.0878346
108,Boardwalk Drive,29349,35.0416344,-82.0857419
322,Thacker Court,29349,35.0330946,-82.0839060
1012,Mason Road,29349,35.0308728,-82.0802334
18,Ladson Street,29349,35.0457516,-82.0919389
23,South Main Street,29349,35.0462944,-82.0891025
12,West Clark Road,29349,35.0386265,-82.0868728
5,Culp Street,29349,35.0435106,-82.0879115
418,Gemstone Lane,29349,35.0323473,-82.0807776
804,Mason Road,29349,35.0312251,-82.0807919
