House number,Street name,Postal code,Latitude,Longitude
623,North Shamrock Avenue,29356,35.1807273,-82.1922254
412,North Trade Avenue,29356,35.1797280,-82.1962280
601,North Howard Avenue,29356,35.1813881,-82.2018549
109,Cannon Street,29356,35.1808561,-82.2038178
221,East Greenwood Street,29356,35.1813812,-82.1930994
602,North Randolph Avenue,29356,35.1810423,-82.2020936
105,East Durham Street,29356,35.1804159,-82.1974550
330,North Trade Avenue,29356,35.1786932,-82.1944007
102,Mcdowell Street,29356,35.1804292,-82.2027741
204,Mcdowell Street,29356,35.1801452,-82.2039177
221,East Greenwood Street,29356,35.1813236,-82.1930177
500,North Trade Avenue,29356,35.1802866,-82.1976078
221,East Greenwood Street,29356,35.1812641,-82.1929262
620,North Shamrock Avenue,29356,35.1794488,-82.1921137
101,Cannon Street,29356,35.1806084,-82.2032151
101,East Durham Street,29356,35.1806336,-82.1975534
106,East Greenwood Street,29356,35.1790485,-82.1942184
220,East Greenwood Street,29356,35.1811208,-82.1924330
610,North Shamrock Avenue,29356,35.1788621,-82.1923201
201,North Laurel Avenue,29356,35.1810295,-82.1971196
621,North Shamrock Avenue,29356,35.1805507,-82.1921984
208,Mcdowell Street,29356,35.1799907,-82.2042930
707,North Randolph Avenue,29356,35.1817897,-82.2048696
619,North Shamrock Avenue,29356,35.1793095,-82.1933227
221,East Greenwood Street,29356,35.1814884,-82.1928362
221,East Greenwood Street,29356,35.1814248,-82.1927544
102,East Durham Street,29356,35.1804548,-82.1969925
520,North Randolph Avenue,29356,35.1799942,-82.2007029
105,East Durham Street,29356,35.1803860,-82.1974765
701,North Randolph Avenue,29356,35.1811500,-82.2046764
605,North Randolph Avenue,29356,35.1810658,-82.2029358
224,East Greenwood Street,29356,35.1814484,-82.1921276
130,Sarah Drive,29356,35.1789093,-82.2027370
622,North Shamrock Avenue,29356,35.1793818,-82.1917837
516,North Randolph Avenue,29356,35.1795764,-82.2001754
204,North Laurel Avenue,29356,35.1814559,-82.1970882
221,East Greenwood Street,29356,35.1815440,-82.1929105
511,North Howard Avenue,29356,35.1799709,-82.1995028
206,Mcdowell Street,29356,35.1799369,-82.2039280
106,Cannon Street,29356,35.1804576,-82.2038698
130,Boysenberry Lane,29356,35.1848618,-82.1892424
209,Camelia Circle,29356,35.1825258,-82.1734382
291,North Oak Avenue,29356,35.1794730,-82.1845702
232,North Valley Road,29356,35.1809628,-82.1880312
320,Irish Hills Lane,29356,35.1806055,-82.1895712
404,North Pine Avenue,29356,35.1822624,-82.1842065
103,East Crestview Street,29356,35.1811751,-82.1738479
279,North Oak Avenue,29356,35.1794033,-82.1844237
341,Irish Hills Lane,29356,35.1792255,-82.1888808
104,Heritage Estates Street,29356,35.1786478,-82.1843482
120,Boysenberry Lane,29356,35.1851288,-82.1897185
499,East Prince Road,29356,35.1801075,-82.1797045
349,Irish Hills Lane,29356,35.1785690,-82.1888288
336,Irish Hills Lane,29356,35.1793654,-82.1895668
108,Skyuka Circle,29356,35.1795094,-82.1782225
202,Pacolet Drive,29356,35.1795025,-82.1765487
333,Irish Hills Lane,29356,35.1797081,-82.1891204
275,North Oak Avenue,29356,35.1792869,-82.1843298
145,Brook Avenue,29356,35.1811780,-82.1873462
295,North Oak Avenue,29356,35.1795971,-82.1846563
215,North Valley Road,29356,35.1800807,-82.1881384
297,North Oak Avenue,29356,35.1796536,-82.1847038
718,North Elm Avenue,29356,35.1854299,-82.1837571
340.,Irish Hills Lane,29356,35.1791208,-82.1894701
504,East Prince Road,29356,35.1803350,-82.1781071
293,North Oak Avenue,29356,35.1795370,-82.1846118
