House number,Street name,Postal code,Latitude,Longitude
1143,Stonecrest Boulevard,29708,35.0475445,-80.9918239
2410,SC 160 West,29708,35.0462008,-80.9900121
313,Annandale Drive,29708,35.0524245,-80.9925925
2435,SC-160,29708,35.0465685,-80.9915933
1175,Stonecrest Boulevard,29708,35.0478582,-80.9957372
520,Rosemary Ln,29708,35.0290364,-80.9925522
1114,Watertrace Drive,29708,35.0491055,-81.0183210
5116,Windward Drive,29708,35.0327346,-81.0290211
1151,Stonecrest Boulevard,29708,35.0461773,-80.9936533
2453,Highway 160,29708,35.0466267,-80.9903827
2524,Highway 160 West,29708-8487,35.0499693,-80.9910617
7705,Tega Cay Drive,29708,35.0516140,-81.0113114
898,Nivens Landing Drive,29708,35.0375821,-81.0040708
2541,New Gray Rock Road,29708,35.0224322,-81.0029059
130,Shoreline Parkway,29708,35.0491045,-81.0090177
4099,Triton Drive,29708,35.0273910,-81.0313316
2050,Diamond Head Circle,29708,35.0236475,-81.0240222
1965,Newberry Lane,29708,35.0386531,-81.0101372
15083,Molokai Drive,29708,35.0370097,-81.0215630
4088,Beach Club Lane,29708,35.0429543,-81.0067648
28000,Marina Drive,29708,35.0345985,-81.0340474
1,Koala Circle,29708,35.0291181,-81.0267770
886,Coralbell Way,29708,35.0337525,-81.0036628
880,Coralbell Way,29708,35.0336887,-81.0034608
874,Coralbell Way,29708,35.0336364,-81.0032564
868,Coralbell Way,29708,35.0335610,-81.0030518
862,Coralbell Way,29708,35.0335016,-81.0028406
856,Coralbell Way,29708,35.0334149,-81.0026441
850,Coralbell Way,29708,35.0333587,-81.0024150
844,Coralbell Way,29708,35.0333477,-81.0021769
838,Coralbell Way,29708,35.0333630,-81.0019467
832,Coralbell Way,29708,35.0333853,-81.0017303
826,Coralbell Way,29708,35.0333921,-81.0015120
820,Coralbell Way,29708,35.0333906,-81.0012847
814,Coralbell Way,29708,35.0333532,-81.0010549
808,Coralbell Way,29708,35.0333106,-81.0008478
790,Coralbell Way,29708,35.0331303,-81.0001046
784,Coralbell Way,29708,35.0331351,-80.9998448
778,Coralbell Way,29708,35.0331415,-80.9996065
772,Coralbell Way,29708,35.0331500,-80.9993670
766,Coralbell Way,29708,35.0331394,-80.9991276
760,Coralbell Way,29708,35.0331258,-80.9988733
754,Coralbell Way,29708,35.0331299,-80.9986116
748,Coralbell Way,29708,35.0330927,-80.9983727
742,Coralbell Way,29708,35.0330522,-80.9981466
736,Coralbell Way,29708,35.0330368,-80.9978979
730,Coralbell Way,29708,35.0329948,-80.9976683
724,Coralbell Way,29708,35.0329688,-80.9974372
718,Coralbell Way,29708,35.0329596,-80.9971986
712,Coralbell Way,29708,35.0329513,-80.9969398
706,Coralbell Way,29708,35.0329476,-80.9967028
885,Coralbell Way,29708,35.0333782,-81.0038030
833,Coralbell Way,29708,35.0329869,-81.0017271
827,Coralbell Way,29708,35.0330106,-81.0015062
819,Coralbell Way,29708,35.0330059,-81.0012645
813,Coralbell Way,29708,35.0329600,-81.0010429
795,Coralbell Way,29708,35.0327750,-81.0004240
779,Coralbell Way,29708,35.0327206,-80.9995670
771,Coralbell Way,29708,35.0327284,-80.9993105
765,Coralbell Way,29708,35.0327399,-80.9990717
759,Coralbell Way,29708,35.0327223,-80.9988184
747,Coralbell Way,29708,35.0326788,-80.9983196
741,Coralbell Way,29708,35.0326526,-80.9980833
735,Coralbell Way,29708,35.0326420,-80.9978392
729,Coralbell Way,29708,35.0326006,-80.9976100
717,Coralbell Way,29708,35.0325516,-80.9970998
711,Coralbell Way,29708,35.0325499,-80.9968660
705,Coralbell Way,29708,35.0325677,-80.9966263
1806,Larkspur Way,29708,35.0333038,-81.0034714
1810,Larkspur Way,29708,35.0331164,-81.0035667
1814,Larkspur Way,29708,35.0329529,-81.0036422
1818,Larkspur Way,29708,35.0327848,-81.0036912
1822,Larkspur Way,29708,35.0326213,-81.0037894
1826,Larkspur Way,29708,35.0324580,-81.0038794
1830,Larkspur Way,29708,35.0322946,-81.0039541
1834,Larkspur Way,29708,35.0321279,-81.0040221
1838,Larkspur Way,29708,35.0319480,-81.0041150
1842,Larkspur Way,29708,35.0317968,-81.0042336
1846,Larkspur Way,29708,35.0316700,-81.0043866
1850,Larkspur Way,29708,35.0314967,-81.0045587
1854,Larkspur Way,29708,35.0313783,-81.0046772
1862,Larkspur Way,29708,35.0311497,-81.0049040
