House number,Street name,Postal code,Latitude,Longitude
220,East Main Street,29693,34.6648433,-83.0955119
218,East Main Street,29693,34.6648637,-83.0955454
216,East Main Street,29693,34.6648930,-83.0955809
124,East Main Street,29693,34.6656725,-83.0966474
122,East Main Street,29693,34.6656974,-83.0966786
110,East Main Street,29693,34.6658681,-83.0969576
108,East Main Street,29693,34.6658901,-83.0969938
705,East Main Street,29693,34.6614177,-83.0910426
705,East Main Street,29693,34.6613703,-83.0909903
905,East Main Street,29693,34.6605871,-83.0894333
907,East Main Street,29693,34.6603797,-83.0891678
103,East Windsor Street,29693,34.6657244,-83.0975584
105,East Windsor Street,29693,34.6656913,-83.0975125
426,West Oak Highway,29693,34.6544697,-83.0864021
501,Westminster Highway,29693,34.6772803,-83.0912189
135,East Main Street,29693,34.6658509,-83.0962303
206,Hamilton Drive,29693,34.6770187,-83.0852402
300,East Main Street,29693,34.6640759,-83.0947742
306,East Windsor Street,29693,34.6633193,-83.0946869
136,East Main Street,29693,34.6653131,-83.0964163
134,East Main Street,29693,34.6653615,-83.0964728
800,East Main Street,29693,34.6604422,-83.0912360
120,East Main Street,29693,34.6656235,-83.0968556
126,East Main Street,29693,34.6655430,-83.0967140
128,East Main Street,29693,34.6654985,-83.0966553
132,East Main Street,29693,34.6654014,-83.0965284
130,East Main Street,29693,34.6654469,-83.0965918
513,East Main Street,29693,34.6628964,-83.0926974
216,Emergency Lane,29693,34.6557948,-83.0910943
311,North Piedmont Street,29693,34.6599041,-83.0843215
200,West North Avenue,29693,34.6677923,-83.0979181
113,West Main Street,29693,34.6665801,-83.0982173
113,West Main Street,29693,34.6664982,-83.0981275
120,West Windsor Street,29693,34.6667081,-83.0986168
118,West Windsor Street,29693,34.6666695,-83.0985292
111,West Main Street,29693,34.6663738,-83.0978505
109,West Main Street,29693,34.6663276,-83.0977885
107,West Main Street,29693,34.6662800,-83.0977246
105,West Main Street,29693,34.6662360,-83.0976656
101,West Main Street,29693,34.6661701,-83.0975772
104,East Main Street,29693,34.6659600,-83.0971422
102,East Main Street,29693,34.6659595,-83.0972603
100,East Main Street,29693,34.6660380,-83.0972928
209,East Windsor Street,29693,34.6645597,-83.0959309
213,East Windsor Street,29693,34.6643798,-83.0956183
228,East Main Street,29693,34.6645098,-83.0952936
224,East Main Street,29693,34.6646121,-83.0954393
222,East Main Street,29693,34.6646821,-83.0955288
214,East Main Street,29693,34.6648540,-83.0957185
212,East Main Street,29693,34.6649006,-83.0957781
210,East Main Street,29693,34.6649337,-83.0958561
208,East Main Street,29693,34.6649809,-83.0959163
206,East Main Street,29693,34.6650286,-83.0959772
204,East Main Street,29693,34.6650750,-83.0960366
107,Retreat Street,29693,34.6650455,-83.0962883
109,Retreat Street,29693,34.6649828,-83.0963177
111,Retreat Street,29693,34.6649301,-83.0963731
113,Retreat Street,29693,34.6648782,-83.0964290
115,East Windsor Street,29693,34.6655180,-83.0971572
113,East Windsor Street,29693,34.6655582,-83.0972093
111,East Windsor Street,29693,34.6656064,-83.0972719
107,East Windsor Street,29693,34.6656769,-83.0973635
101,East Windsor Street,29693,34.6658173,-83.0975456
1001,East Main Street,29693,34.6595104,-83.0884590
1009,East Main Street,29693,34.6593572,-83.0883237
903,East Main Street,29693,34.6607178,-83.0895454
807,East Main Street,29693,34.6607889,-83.0898379
803,East Main Street,29693,34.6610473,-83.0901627
713,East Main Street,29693,34.6612177,-83.0906727
705,East Main Street,29693,34.6614785,-83.0908939
703,East Main Street,29693,34.6616020,-83.0911362
701,East Main Street,29693,34.6618160,-83.0913246
201,Lucky Street,29693,34.6635750,-83.0956082
1109,East Main Street,29693,34.6584988,-83.0861789
207,Westminster  Highway,29693,34.6707500,-83.0988392
407,Hall Road,29693,34.6783944,-83.0821067
126,Robin Road,29693,34.6606008,-83.0744580
1101,East Main Street,29693,34.6587207,-83.0870021
925,East Main Street,29693,34.6598524,-83.0887833
205,Lucky Street,29693,34.6633139,-83.0958522
510,East Main Street,29693,34.6627086,-83.0933786
512,East Main Street,29693,34.6624502,-83.0933560
98,Anderson Avenue,29693,34.6663692,-83.0914913
112,West North Avenue,29693,34.6675675,-83.0972859
212,East Windsor Street,29693,34.6640691,-83.0963554
60,West Abbey Street,29693,34.6668606,-83.0950754
100,West Abbey Street,29693,34.6679000,-83.0963069
608,South Hampton Street,29693,34.6547940,-83.0803949
505,East Main Street,29693,34.6634411,-83.0933467
405,East Main Street,29693,34.6637646,-83.0937285
303,East North Avenue,29693,34.6643796,-83.0930712
