House number,Street name,Postal code,Latitude,Longitude
207,West Main Street,37814,36.2127555,-83.2940784
209,West Main Street,37814,36.2127245,-83.2941338
215,West Main Street,37814,36.2126710,-83.2942047
219,West Main Street,37814,36.2126412,-83.2942632
225,West Main Street,37814,36.2125790,-83.2943587
5400,Quarter Horse Trail,37813,36.1411339,-83.2796990
5354,South Davy Crockett Parkway,37813,36.1436190,-83.2789154
5969,West Andrew Johnson Highway,37614,36.1783462,-83.3915160
4331,West Andrew Johnson,37814,36.1911275,-83.3568327
2902,West Andrew Johnson Highway,37814,36.2014804,-83.3356770
2403,West Andrew Johnson Highway,37814,36.2037893,-83.3269777
2235,West Andrew Johnson Highway,37814,36.2053782,-83.3235863
2280,West Andrew Johnson Highway,37814,36.2057630,-83.3249757
2138,West Andrew Johnson Highway,37814,36.2067370,-83.3221520
2212,West Andrew Johnson,37814,36.2063887,-83.3233195
1123,East Morris Boulevard,37813,36.2179171,-83.2801175
2531,East Morris Boulevard,37813,36.2227168,-83.2622515
2519,East Morris Boulevard,37813,36.2224150,-83.2628065
1780,Buffalo Trail,37814,36.2336019,-83.2856976
475,South Davey Crockett Parkway,37813,36.2143446,-83.2552004
3765,West Andrew Johnson Highway,37814,36.1959013,-83.3481487
116,East Main Street,37815-0724,36.2140738,-83.2919120
142,West Main Street,37814,36.2134844,-83.2934923
363,Ash Home,37813,36.2168147,-83.2737235
2345,East Morris Boulevard,37813,36.2219743,-83.2642141
5995,West Andrew Johnson Highway,37813,36.1781871,-83.3921351
2512,East Andrew Johnson Highway,37814,36.2254877,-83.2626995
726,McFarland Street,37814,36.2149514,-83.3034507
908,West 4th North Street,37814,36.2132306,-83.3051300
1180,Valley Home Road,37813,36.1908148,-83.3191187
1635,Doyal Drive,37814,36.2160982,-83.3257282
345,East 6th North Street,37814,36.2214061,-83.2927171
5233,Old US Highway 11E,37814,36.1790280,-83.3760199
4901,Enka Highway,37813,36.1506983,-83.2103446
1997,Buffalo Trail,37814,36.2369190,-83.2824437
1594,Buffalo Trail Drive,37814,36.2312134,-83.2879065
127,East Morris Boulevard,37601,36.2128331,-83.2906149
174,West Main Street,37814,36.2133434,-83.2938503
103,West Main Street,37814,36.2136279,-83.2924889
2505,East Morris Boulevard,37813,36.2223985,-83.2600444
2547,East Morris Boulevard,37813,36.2228325,-83.2617141
2141,West Andrew Johnson Highway,37814,36.2059388,-83.3222765
2744,West Andrew Johnson Highway,37814,36.2036156,-83.3323807
2961,Millers Pointe Drive,37813,36.2260728,-83.2554175
179,Millers Landing Boulevard,37814,36.2261352,-83.2538450
1609,College Park Drive,37813,36.2051042,-83.2596810
475,Crockett Trace Drive,37813,36.2136703,-83.2551445
417,West Main Street,37814-4615,36.2114834,-83.2959190
291,South Daisy Street,37813,36.2135858,-83.2891650
117,West Morris Boulevard,37813-2233,36.2111923,-83.2915826
521,East Morris Boulevard,37813,36.2147891,-83.2870214
301,East Main Street,37814,36.2151358,-83.2901132
1941,West Morris Boulevard,37813,36.2054108,-83.3198807
1930,West Andrew Johnson,37814,36.2100901,-83.3182357
2550,East Morris Boulevard,37813,36.2201926,-83.2603708
2550,East Morris Boulevard,37813,36.2207304,-83.2600262
2550,East Morris Boulevard,37813,36.2206493,-83.2616797
3275,Maple Valley Road,37813,36.1819298,-83.3346942
536,South Hill Street,37813,36.2090896,-83.2881835
3305,West Andrew Johnson Highway,37814,36.1994190,-83.3395242
4331,West Andrew Johnson Highway,37814,36.1906149,-83.3571701
4329,West Andrew Johnson Highway,37814,36.1924090,-83.3579812
2342,East Andrew Johnson Highway,37814,36.2246845,-83.2654779
5290,Davy Crockett Parkway,37813,36.1431288,-83.2793488
5290,Twin Spires Lane,37814,36.1432223,-83.2769919
106,Thoroughbred Run Road,37813,36.1418641,-83.2774242
133,Cracker Road,37813,36.1399032,-83.2770692
5368,Winners Circle Road,37813,36.1408314,-83.2776908
5290,Davy Crockett Parkway,37813,36.1432870,-83.2802990
202,West Morris Boulevard,37813-2234,36.2113964,-83.2930889
154,West Pin Lane,37814,36.1928631,-83.3617684
601,West Main Street,37814,36.2100474,-83.2986224
2518,West Andrew Johnson Highway,37814,36.2038631,-83.3288007
130,Cracker Road,37813,36.1388071,-83.2782018
5978,Commerce Boulevard,37814,36.1692896,-83.4028759
701,McFarland Street,37814,36.2143648,-83.3045968
609,McFarland Street,37814,36.2137381,-83.3044674
924,West 4th North Street,37814,36.2117497,-83.3053170
1153,South Cumberland,37814,36.2026082,-83.2834170
230,Bowman Street,37814,36.2027753,-83.3145128
2788,West Andrew Johnson Highway,37814,36.2018364,-83.3336406
2850,West Andrew Johnson Highway,37814,36.2014240,-83.3348977
3750,West Andrew Johnson Highway,37814,36.1969899,-83.3488020
3332,West Andrew Johnson Highway,37814,36.2003720,-83.3402186
5204,Twin Spires Lane,37813,36.1438474,-83.2767084
2323,East Morris Boulevard,37813,36.2216020,-83.2655688
5984,West Andrew Johnson Highway,37814,36.1794022,-83.3927088
2435,West Andrew Johnson Highway,37814,36.2033431,-83.3275421
307,Dr. Martin Luther King Jr. Parkway,37813,36.2018381,-83.3101763
500,Davy Crockett Parkway,37813,36.2102741,-83.2610176
