House number,Street name,Postal code,Latitude,Longitude
221,Bridge Avenue,37129,35.8429229,-86.3999855
307,South Baird Lane,37130,35.8386770,-86.3669366
3145,North Thompson Lane,37129,35.9093703,-86.4138533
1905,South Church Street,37130,35.8188856,-86.3951749
745,S. Church St. Suite B220,37130,35.8469042,-86.4432851
1731,South Rutherford Boulevard,37130,35.8131751,-86.3684055
2975,South Rutherford Boulevard,37130,35.8335026,-86.3516458
2975,South Rutherford Boulevard,37130,35.8337421,-86.3516337
2050,Lascassas Pike,37130,35.8728183,-86.3523218
1301,Northwest Broad Street,37129,35.8631048,-86.4094928
2482,South Church Street,37127,35.8069189,-86.3980608
2858,South Church Street,37127,35.7928117,-86.4003239
2856,South Church Street,37127,35.7924905,-86.4003565
2946,south Church Street,37127,35.7905856,-86.4022332
2270,Armory Drive,37129,35.8505722,-86.4340970
1851,Old Fort Parkway,37129,35.8433788,-86.4259795
821,Northwest Broad Street,37129,35.8545948,-86.4031130
3415,Memorial Boulevard,37129-3640,35.9121400,-86.3859905
2325,Memorial Boulevard,37129,35.8865030,-86.3845330
319,North Maple Street,37130,35.8485688,-86.3926814
655,West Thompson Lane,37129,35.9117537,-86.4046292
1962,South Church Street,37130,35.8178934,-86.3962011
2904,South Church Street,37127,35.7908397,-86.4005078
467,South Hancock Street,37130,35.8401503,-86.3802668
1601,Northwest Broad Street,37129,35.8691057,-86.4156461
536,North Thompson Lane,37129,35.8560166,-86.4291098
732,Old Salem Rd,37129,35.8380470,-86.4012268
732,Old Salem Rd,37129,35.8381727,-86.4014178
3234,Mapleside Lane,37128,35.8212715,-86.4533415
1829,Old Fort Pkwy,37129,35.8452410,-86.4233220
2707,South Rutherford Blvd,37130,35.8284834,-86.3516402
2449,Old Fort Parkway,37128,35.8436636,-86.4421263
1153,Fortress Boulevard,37128,35.8671468,-86.4646460
206,North Thompson Lane,37129,35.8504284,-86.4292996
1440,Medical Center Parkway,37129,35.8604996,-86.4175195
2812,Old Fort Pkwy,37128,35.8458649,-86.4480372
1500,Medical Center Parkway,37129,35.8612810,-86.4170901
2819,Elam Road,37127,35.7923874,-86.3704383
2664,South Church Street,37127,35.7974570,-86.3994301
2303,Memorial Boulevard,37129,35.8860620,-86.3829898
2510,Old Fort Parkway,37128,35.8456788,-86.4436626
116,John R Rice Boulevard,37129,35.8477439,-86.4390087
416,North Front Street,37130,35.8500853,-86.3941116
2083,Lascassas Pike,37130,35.8741033,-86.3541256
2708,New Salem Highway,37128,35.8111043,-86.4602217
2674,New Salem Highway,37128,35.8113480,-86.4586233
2511,New Salem Highway,37128,35.8109852,-86.4499866
2525,Salem Creek Drive,37128,35.8113187,-86.4481772
2407,New Salem Highway,37128,35.8129663,-86.4454575
1508,Carl Adams Drive,37129,35.8618968,-86.4194207
205,Northwest Broad Street,37130,35.8430858,-86.3935145
1800,South Rutherford Boulevard,37130,35.8124668,-86.3643337
2482,South Church Street,37127,35.8068718,-86.3981001
915,Bridge Avenue,37129,35.8432613,-86.4154149
1860,Blue Raider Drive,37132-0001,35.8479317,-86.3592525
1301,Main Street,37132,35.8486813,-86.3648863
1611,Alumni Drive,37132,35.8461943,-86.3636093
206-A,North Thompson Lane,37129,35.8504686,-86.4293438
2314,Medical Center Parkway,37129,35.8587664,-86.4380932
2137,Northwest Broad Street,37129,35.8801675,-86.4288326
708,Minerva Drive,37130,35.8332644,-86.3646494
1320,Brinkley Road,37128,35.8647537,-86.4831107
2670,New Salem Highway,37128,35.8114222,-86.4580645
2658,New Salem Highway,37128,35.8123471,-86.4587231
2658,New Salem Highway,37128,35.8123261,-86.4584976
2467,New Salem Highway,37128,35.8125756,-86.4474443
1624,New Salem Highway,37128,35.8238284,-86.4172332
1624,New Salem Highway,37128,35.8239875,-86.4171608
1515,Warrior Drive,37128,35.8247618,-86.4174550
1596,New Salem Highway,37129,35.8251660,-86.4164154
1845,Old Fort Parkway,37129,35.8454259,-86.4248939
2005,Old Fort Parkway,37129,35.8459556,-86.4273014
1965,Old Fort Parkway,37129,35.8455773,-86.4269943
2037,Old Fort Parkway,37129,35.8449180,-86.4283019
2033,Old Fort Parkway,37129,35.8447919,-86.4282509
1985,Old Fort Parkway,37129,35.8440570,-86.4281463
1979,Old Fort Parkway,37129,35.8440613,-86.4278996
2091,Old Fort Parkway,37129,35.8460991,-86.4291978
2181,Old Fort Parkway,37129,35.8463698,-86.4303390
2658,New Salem Highway,37128,35.8123684,-86.4582743
2658,New Salem Highway,37128,35.8123550,-86.4583325
2658,New Salem Highway,37128,35.8123192,-86.4585473
2658,New Salem Highway,37128,35.8123120,-86.4586084
2658,New Salem Highway,37128,35.8123357,-86.4584406
2575,Old Ford Parkway,37128,35.8448660,-86.4437631
2559,Old Fort Parkway,37128,35.8448540,-86.4435190
2449,Old Fort Parkway,37128,35.8434793,-86.4418748
2441,Old Fort Parkway,37128,35.8432206,-86.4410286
517,Cason Lane,37128,35.8416392,-86.4402564
517,Cason Lane,37128,35.8416338,-86.4400337
505,Cason Lane,37128,35.8420230,-86.4398366
4213,Franklin Road,37128,35.8432330,-86.4738607
108,Battalion Way,37128,35.8435070,-86.4704981
4106,Franklin Road,37128,35.8444229,-86.4707011
1129,Fortress Boulevard,37128,35.8652109,-86.4647861
1144,Fortress Square Boulevard,37129,35.8653048,-86.4630591
3053,Medical Center Parkway,37129,35.8661471,-86.4509175
3031,Medical Center Parkway,37129,35.8660610,-86.4502117
2933,Medical Center Parkway,37129,35.8659308,-86.4490894
2306,Medical Center Parkway,37129,35.8587506,-86.4375530
2180,Old Fort Parkway,37130,35.8479543,-86.4299925
2170,Old Fort Parkway,37129,35.8477351,-86.4295369
452,North Thompson Lane,37129,35.8549549,-86.4295490
510,North Thompson Lane,37129,35.8562846,-86.4297642
536,North Thompson Lane,37129,35.8567336,-86.4290589
496,North Thompson Lane,37129,35.8556688,-86.4276419
460,North Thompson Lane,37129,35.8538645,-86.4273415
1970,Old Fort Parkway,37129,35.8476130,-86.4260575
1820,Old Fort Parkway,37129,35.8469581,-86.4234287
1804,Old Fort Parkway,37129,35.8468720,-86.4227166
1720,Old Fort Parkway,37129,35.8488765,-86.4169097
2711,Medical Center Parkway,37129,35.8615047,-86.4444264
2711,Medical Center Parkway,37129,35.8615674,-86.4445138
2615,Medical Center Parkway,37129,35.8598800,-86.4473234
2615,Medical Center Parkway,37129,35.8607354,-86.4482317
2615,Medical Center Parkway,37129-2257,35.8618481,-86.4478230
2615,"Medical Center Parkway, The Avenue",37129-2257,35.8622998,-86.4472364
2615,Medical Center Parkway,37129,35.8625991,-86.4467805
2105,Memorial Boulevard,37129,35.8804899,-86.3846133
2113,Memorial Boulevard,37129,35.8811615,-86.3843836
2116,Memorial Boulevard,37129,35.8815318,-86.3831745
2104,Memorial Boulevard,37129,35.8804333,-86.3834477
143,Wendelwood Drive,37129,35.8803223,-86.3867086
2310,Memorial Boulevard,37130,35.8864735,-86.3810609
130,Dejarnette Lane,37130,35.8877437,-86.3795564
2302,Memorial Boulevard,37129,35.8837220,-86.3805649
2263,Memorial Boulevard,37129,35.8852999,-86.3833079
1918,North Memorial Boulevard,37129,35.8757369,-86.3846853
1816,Memorial Boulevard,37129,35.8733878,-86.3849418
1851,Memorial Boulevard,37129,35.8724907,-86.3861645
1735,Memorial Boulevard,37129-1520,35.8699414,-86.3865760
1670,Memorial Boulevard,37129,35.8690818,-86.3859193
1723,Memorial Boulevard,37129,35.8690716,-86.3868576
1706,Memorial Boulevard,37129-1519,35.8685267,-86.3861180
1702,Memorial Boulevard,37129,35.8681375,-86.3865141
2723,New Salem Highway,37128,35.8098757,-86.4603605
4175,Franklin Road,37128,35.8421363,-86.4718442
2624,South Rutherford Boulevard,37130,35.8261207,-86.3493613
2624,South Rutherford Boulevard,37130,35.8261924,-86.3496255
1511,Memorial Boulevard,37129,35.8641405,-86.3899703
1315,Memorial Boulevard,37129,35.8608225,-86.3909309
1313,Memorial Boulevard,37129,35.8605767,-86.3910430
1311,Memorial Boulevard,37129,35.8604281,-86.3911113
1301,Memorial Boulevard,37129,35.8602598,-86.3911573
1107,Memorial Boulevard,37129,35.8585224,-86.3931446
122,Memorial Boulevard,37129,35.8592759,-86.3909947
1006,Memorial Boulevard,37129,35.8578428,-86.3921670
1010,Memorial Boulevard,37129,35.8581902,-86.3921299
1110,Memorial Boulevard,37129,35.8584125,-86.3919039
814,Memorial Boulevard,37129,35.8540374,-86.3948438
833,Memorial Boulevard,37129,35.8547216,-86.3963768
501,Memorial Boulevard,37129,35.8517500,-86.3980943
730,Northwest Broad Street,37129,35.8517240,-86.3999744
113,North Maple Street,37130,35.8466699,-86.3927371
125,North Maple Street,37130,35.8470259,-86.3926765
121,North Maple Street,37130,35.8468918,-86.3927224
1145,Northwest Broad Street,37129,35.8593493,-86.4068667
235,Mtcs Drive,37129,35.8702941,-86.3891767
1270,North West Broad Street,37129,35.8624241,-86.4073762
2395,New Salem Highway,37128,35.8131499,-86.4442003
3250,Memorial Boulevard,37129,35.9047278,-86.3829210
3267,Memorial Boulevard,37129,35.9055666,-86.3845343
3371,Memorial Boulevard,37130,35.9092960,-86.3843834
3378,Memorial Boulevard,37130,35.9097102,-86.3832675
3208,Memorial Boulevard,37129,35.9015768,-86.3829150
3208,Memorial Boulevard,37129,35.9016019,-86.3832207
3202,Memorial Boulevard,37129,35.9010666,-86.3827818
2908,Memorial Boulevard,37129,35.8976079,-86.3823731
2908,Memorial Boulevard,37129,35.8976240,-86.3826696
2365,Memorial Boulevard,37129,35.8873298,-86.3841271
3138,South Church Street,37127,35.7837518,-86.4019067
3162,South Church Street,37127,35.7825547,-86.4019803
3162,South Church Street,37127,35.7824643,-86.4016818
3183,South Church Street,37127,35.7821184,-86.4004501
3183,South Church Street,37127,35.7822098,-86.4004312
2983,South Church Street,37127,35.7867797,-86.4001203
2943,South Church Street,37127,35.7897044,-86.3993980
144,Uptown Square,37129,35.8750165,-86.3840899
2705 STE N,Old Fort Parkway,37128,35.8445187,-86.4465560
2595,Old Fort Parkway,37130,35.8446824,-86.4441395
2382,Old Fort Parkway,37128,35.8464084,-86.4415170
107,East Main Street,37130,35.8460629,-86.3910203
4058,Franklin Road,37128,35.8450444,-86.4695102
4106,Franklin Road,37128,35.8446824,-86.4707641
108,Battalion Way,37128,35.8435406,-86.4702192
1596,New Salem Highway,37129,35.8253577,-86.4167190
3208,Shelbyville Highway,37127,35.7815484,-86.4019212
3208,Shelbyville Highway,37127,35.7815516,-86.4022739
221C,Castlewood Drive,37129,35.8875837,-86.3855583
1510,South Church Street,37130,35.8264783,-86.3948890
2755,New Salem Highway,37128,35.8095059,-86.4619976
134,Old Main Circle,37132-0001,35.8483954,-86.3687754
5541,NW Broad St,37129,35.9260206,-86.4699344
207,National Drive,37128,35.8008264,-86.4016862
3028,South Rutherford Boulevard,37130,35.8390911,-86.3513468
2333,Dr. Martin Luther King Jr. Blvd,37130,35.8355776,-86.3515185
1320,Journey Dr,37130,35.8587910,-86.3452673
1103,NW Broad St E,37129,35.8578476,-86.4063536
1835,Old Fort Parkway,37129,35.8452678,-86.4242584
208,West Main Street,37130,35.8462690,-86.3930734
114,East College Street,37130,35.8467630,-86.3906422
3050,Medical Center Parkway,37129,35.8669833,-86.4486957
3050,Medical Center Parkway,37129,35.8668505,-86.4484751
422,Old Main Circle,37132-0001,35.8471287,-86.3674482
422,Old Main Circle,37132-0001,35.8474007,-86.3675792
5619,Franklin Road,37128,35.8425849,-86.4916444
1821,Heritage Park Plaza,37129,35.8728206,-86.3874164
2357,South Church Street,37130,35.8115482,-86.3915119
3006,South Rutherford Boulevard,37130,35.8355170,-86.3503437
319,North Front Street,37130,35.8490039,-86.3949356
1630,Lakeshore Drive,37130,35.8193429,-86.3652741
810,Northwest Broad Street,37129,35.8537145,-86.4008768
3249,Memorial Boulevard,37129,35.9044521,-86.3842170
1722,Rutherford Boulevard,37130,35.8118525,-86.3673303
125,South Front Street,37130,35.8456322,-86.3950942
1120,West College Street,37129,35.8587148,-86.4077781
2435,South Church Street,37127,35.8087318,-86.3964504
2438,South Church Street,37127,35.8076372,-86.3979505
2441,South Church Street,37127,35.8079290,-86.3964504
2925,South Church Street,37127,35.7904140,-86.3991622
1301,East main Street,37132-0001,35.8483093,-86.3672097
