House number,Street name,Postal code,Latitude,Longitude
700,North Loop 340,76705,31.6038190,-97.1005764
600,North Loop 340,76705,31.6038509,-97.0999203
1515,North I35,76705,31.5996450,-97.1077406
801,I 35,76705,31.5876711,-97.1077428
3706,Bellmead Dr,76705,31.5940952,-97.0959504
1521,North Interstate 35,76705,31.6000001,-97.1055944
801,North Interstate 35,76705,31.5875298,-97.1072851
2301,East Waco Drive,76705,31.5843148,-97.1074979
1020,North Interstate 35 Frontage Road,76705,31.6047199,-97.1048369
900,North Loop 340,76705,31.6041765,-97.1016896
1803,North Interstate 35,76705,31.6085384,-97.1019765
801,North Interstate 35,76705,31.5858984,-97.1084398
801,North Interstate 35,76705,31.5857587,-97.1087776
2301,East Waco Drive,76705,31.5853645,-97.1060068
4400,Harrison Street,76705,31.6015248,-97.0847194
555,North Loop 340,76705,31.6010861,-97.0981453
1801,North Interstate 35 Frontage Road,76705,31.6071617,-97.1036110
1004,North Loop 340,76705,31.6043962,-97.1041231
950,North Loop 340,76705,31.6043883,-97.1033068
555,East Loop 340,76705,31.5925331,-97.0844115
701,North Interstate 35,76705,31.5816801,-97.1090325
709,North Interstate 35,76705,31.5836497,-97.1085695
1705,North Interstate 35 Frontage Road,76705,31.6049816,-97.1047536
901,Bank Drive,76705,31.6015940,-97.1029221
1525,North Interstate 35 Frontage Road,76705,31.6022575,-97.1064674
1523,North Interstate 35 Frontage Road,76705,31.6019630,-97.1066125
3100,Wheeler Street,76705,31.5977346,-97.1059643
107,East Loop 340,76705,31.5982221,-97.0895658
705,North Interstate 35,76705,31.5823794,-97.1086973
601,North Loop 340,76705,31.6026824,-97.0996990
603,North Loop 340,76705,31.6027196,-97.1001464
611,North Loop 340,76705,31.6026212,-97.1004905
725,North Loop 340,76705,31.6025988,-97.1010711
3600,Scroggins Drive,76705,31.6016897,-97.1015370
524,North Loop 340,76705,31.6035289,-97.0978245
522,North Loop 340,76705,31.6036621,-97.0982511
4010,Bellmead Drive,76705,31.5988749,-97.0907678
110,East Loop 340,76705,31.5990687,-97.0879803
4200,Bellmead Drive,76705,31.6005988,-97.0879876
506,East Loop 340,76705,31.5948179,-97.0819063
400,East Loop 340,76705,31.5935135,-97.0831500
1502,North Interstate 35,76705,31.5966875,-97.1100123
1320,Behrens Circle,76705,31.5949175,-97.1104682
1509,Hogan Lane,76705,31.5966728,-97.1107802
1504,North Interstate 35,76705,31.5983635,-97.1099938
1508,North Interstate 35,76705,31.5987979,-97.1100948
1510,North Interstate 35,76705,31.5992871,-97.1098630
3900,Parrish Street,76705,31.5992207,-97.0966145
1801,North Development Boulevard,76705,31.6061112,-97.1016048
1405,New Dallas Highway,76705,31.5940558,-97.1124743
1601,North Interstate 35 Frontage Rd,76705,31.6032804,-97.1055374
2525,Montrose Street,76705,31.5930779,-97.1100120
3015,Bellmead Drive,76705,31.5889210,-97.1010256
