House number,Street name,Postal code,Latitude,Longitude
204,Waller Avenue,77423,29.7799312,-95.9523251
340,FM 359 Road South,77423,29.7768593,-95.9518947
959,Kenney Avenue,77423,29.7858311,-95.9443147
907,Otto Street,77423,29.7855127,-95.9550772
3603,Highway Boulevard,77423,29.7858172,-95.9480968
907,Cooper Street,77423,29.7856732,-95.9538767
3303,Highway Boulevard,77423,29.7860315,-95.9445226
708,Gresham Avenue,77423,29.7834236,-95.9449748
702,Gresham Avenue,77423,29.7832471,-95.9450406
910,Gresham Avenue,77423,29.7859196,-95.9446105
919,Otto Street,77423,29.7858328,-95.9551776
3625,Highway Boulevard,77423,29.7860580,-95.9486796
914,Purdy Avenue,77423,29.7859011,-95.9486050
3603,Highway Boulevard,77423,29.7861400,-95.9482624
3603,Highway Boulevard,77423,29.7858095,-95.9478846
3603,Highway Boulevard,77423,29.7859202,-95.9482591
3625,Highway Boulevard,77423,29.7860561,-95.9485559
914,Purdy Avenue,77423,29.7859480,-95.9486091
914,Purdy Avenue,77423,29.7859472,-95.9485302
3603,Highway Boulevard,77423,29.7860444,-95.9482609
3603,Highway Boulevard,77423,29.7858389,-95.9482528
914,Purdy Avenue,77423,29.7858955,-95.9485241
3603,Highway Boulevard,77423,29.7858217,-95.9481701
3603,Highway Boulevard,77423,29.7859833,-95.9482594
3603,Highway Boulevard,77423,29.7860922,-95.9482616
3625,Highway Boulevard,77423,29.7860581,-95.9486424
3603,Highway Boulevard,77423,29.7858131,-95.9479612
3625,Highway Boulevard,77423,29.7860562,-95.9485997
3603,Highway Boulevard,77423,29.7858156,-95.9480268
3514,7th Street,77423,29.7833206,-95.9473929
3915,6th Street,77423,29.7837399,-95.9519592
905,Cooper Street,77423,29.7855493,-95.9538722
715½,Velasco Street,77423,29.7838088,-95.9527821
903,Cooper Street,77423,29.7854310,-95.9538767
3510,7th Street,77423,29.7833104,-95.9471851
713,Waller Avenue,77423,29.7838937,-95.9515321
3615,Highway Boulevard,77423,29.7860320,-95.9484020
721,Farm-to-Market Road 1489,77423,29.7773985,-95.9667997
3523,Highway Boulevard,77423,29.7855078,-95.9472453
321,FM 359 Road South,77423,29.7775981,-95.9508843
35310,Katy Freeway,77423,29.7795967,-95.9568048
34003,Katy Freeway,77423,29.7781999,-95.9529147
819,Waller Avenue,77423,29.7849508,-95.9516065
3810,6th Street,77423,29.7844234,-95.9507094
715,Rouse Avenue,77423,29.7839993,-95.9503831
818,Purdy Avenue,77423,29.7850703,-95.9486102
702,Purdy Avenue,77423,29.7833898,-95.9486711
3610,7th Street,77423,29.7833621,-95.9482565
3506,7th Street,77423,29.7833607,-95.9470693
519,Purdy Avenue,77423,29.7810623,-95.9489334
4327,Highway Boulevard,77423,29.7860552,-95.9569887
415,Fm 359 Road South,77423,29.7761847,-95.9508391
3815,6th Street,77423,29.7838060,-95.9509025
3911,Highway Boulevard,77423,29.7859610,-95.9521064
4114,5th Street,77423,29.7854763,-95.9544349
914,Otto Street,77423,29.7856582,-95.9547193
3812,5th Street,77423,29.7854441,-95.9508104
715,Cooper Street,77423,29.7839690,-95.9540856
3806,6th Street,77423,29.7844281,-95.9503916
4323,Highway Boulevard,77423,29.7858514,-95.9568809
4314,6th Street,77423,29.7844229,-95.9567667
714,Otto Street,77423,29.7839676,-95.9546310
934,Waller Avenue,77423,29.7856610,-95.9510418
4211,7th Street,77423,29.7829150,-95.9555938
615,Otto Street,77423,29.7828871,-95.9552717
4319,7th Street,77423,29.7828999,-95.9569578
4218,6th Street,77423,29.7844409,-95.9558787
703,Franklin Street,77423,29.7833768,-95.9564305
3816,6th Street,77423,29.7844518,-95.9510256
714,Cooper Street,77423,29.7839432,-95.9534472
3920,7th Street,77423,29.7833533,-95.9522469
715,Velasco Street,77423,29.7839398,-95.9528425
4011,Highway Boulevard,77423,29.7859702,-95.9529127
3919,7th Street,77423,29.7828982,-95.9522446
4319,Highway Boulevard,77423,29.7860503,-95.9566178
715,Franklin Street,77423,29.7839666,-95.9564081
4003,Highway Boulevard,77423,29.7860412,-95.9526823
3923,5th Street,77423,29.7850415,-95.9522718
902,Otto Street,77423,29.7853646,-95.9547158
716,Franklin Street,77423,29.7839878,-95.9558457
4218,5th Street,77423,29.7854423,-95.9556779
803,Franklin Street,77423,29.7843865,-95.9563922
3911,7th Street,77423,29.7829093,-95.9519102
3901,Highway Boulevard,77423,29.7858922,-95.9508167
614,Waller Avenue,77423,29.7829470,-95.9510399
3810,5th Street,77423,29.7854695,-95.9506463
603,Rouse Avenue,77423,29.7824265,-95.9503744
4310,South Street,77423,29.7823066,-95.9566920
803,Waller Avenue,77423,29.7844084,-95.9516512
4211,6th Street,77423,29.7839510,-95.9554459
4026,5th Street,77423,29.7854687,-95.9534835
911,Otto Street,77423,29.7856634,-95.9551862
4340,5th Street,77423,29.7856574,-95.9569004
4215,6th Street,77423,29.7839233,-95.9556034
707,Cooper Street,77423,29.7834560,-95.9543509
4222,5th Street,77423,29.7855018,-95.9555074
707,Otto Street,77423,29.7835326,-95.9551688
707,Velasco Street,77423,29.7833467,-95.9527743
702,Cooper Street,77423,29.7833335,-95.9534728
4302,South Street,77423,29.7823006,-95.9563043
4017,Highway Boulevard,77423,29.7860843,-95.9532724
4212,5th Street,77423,29.7854611,-95.9552285
4323,7th Street,77423,29.7829191,-95.9571178
4311,6th Street,77423,29.7839446,-95.9566725
706,Cooper Street,77423,29.7835501,-95.9533689
4004,6th Street,77423,29.7844599,-95.9528238
4309,7th Street,77423,29.7827255,-95.9565630
908,Cooper Street,77423,29.7856847,-95.9534817
4414,South Street,77423,29.7822354,-95.9574635
4135,Highway Boulevard,77423,29.7860480,-95.9546487
4217,7th Street,77423,29.7828888,-95.9558372
4216,6th Street,77423,29.7844105,-95.9556283
4322,South Street,77423,29.7822808,-95.9571002
4307,Highway Boulevard,77423,29.7859126,-95.9563874
4234,5th Street,77423,29.7855086,-95.9558749
3311,5th Street,77423,29.7849883,-95.9446659
802,Maxwell Avenue,77423,29.7845173,-95.9474301
3511,Highway Boulevard,77423,29.7860133,-95.9467942
3603,5th Street,77423,29.7849102,-95.9479331
937,Kenney Avenue,77423,29.7856319,-95.9444867
906,Gresham Avenue,77423,29.7855993,-95.9450154
902,Gresham Avenue,77423,29.7854193,-95.9449983
3607,7th Street,77423,29.7828621,-95.9480892
604,Rouse Avenue,77423,29.7824309,-95.9498578
3502,7th Street,77423,29.7834053,-95.9467504
3335,Highway Boulevard,77423,29.7860089,-95.9448475
614,Rouse Avenue,77423,29.7827739,-95.9498621
3611,5th Street,77423,29.7849790,-95.9482480
3403,5th Street,77423,29.7849281,-95.9455317
611,Kenney Street,77423,29.7828545,-95.9444817
838,Fratt Avenue,77423,29.7845378,-95.9463238
805,Gresham Avenue,77423,29.7845648,-95.9456109
520,Purdy Avenue,77423,29.7812008,-95.9482292
614,Gresham Avenue,77423,29.7828394,-95.9449197
534,Purdy Avenue,77423,29.7818208,-95.9483774
3619,7th Street,77423,29.7828602,-95.9485933
3306,6th Street,77423,29.7843864,-95.9445233
613,Purdy Avenue,77423,29.7828260,-95.9491910
606,Velasco Street,77423,29.7824844,-95.9522087
3411,Highway Boulevard,77423,29.7860000,-95.9458867
819,Purdy Avenue,77423,29.7849697,-95.9492169
3615,5th Street,77423,29.7849533,-95.9483883
3806,5th Street,77423,29.7854827,-95.9504065
3712,5th Street,77423,29.7855081,-95.9494428
3603,Highway Boulevard,77423,29.7860212,-95.9479527
702,Waller Avenue,77423,29.7833605,-95.9510688
3506,6th Street,77423,29.7844435,-95.9470513
3719,6th Street,77423,29.7838989,-95.9499053
3402,6th Street,77423,29.7843677,-95.9456046
604,Fratt Avenue,77423,29.7824224,-95.9462228
703,Rouse Avenue,77423,29.7833090,-95.9504417
3709,5th Street,77423,29.7849735,-95.9495423
3919,6th Street,77423,29.7838400,-95.9521676
3612,5th Street,77423,29.7855018,-95.9482671
606,Waller Avenue,77423,29.7825248,-95.9510241
3415,5th Street,77423,29.7848526,-95.9460427
3602,7th Street,77423,29.7833816,-95.9479787
810,Gresham Avenue,77423,29.7849190,-95.9449993
3325,South Street,77423,29.7816195,-95.9452892
702,Maxwell Avenue,77423,29.7833917,-95.9474647
3302,5th Street,77423,29.7854113,-95.9444966
714,Gresham Avenue,77423,29.7838164,-95.9448936
3910,6th Street,77423,29.7844263,-95.9518254
711,Waller Avenue,77423,29.7837799,-95.9516002
3716,5th Street,77423,29.7854883,-95.9496022
