House number,Street name,Postal code,Latitude,Longitude
803,Paris Street,78009,29.3541277,-98.8810884
913,US Highway 90 West,78009,29.3535838,-98.8824037
10600,Airport Road,78009,29.3476968,-98.8504558
202,US Highway 90 East,78009,29.3553773,-98.8709381
1651,US Highway 90 West,78009,29.3490885,-98.8972417
800,Madrid Street,78009,29.3546588,-98.8815395
1986,US Highway 90 East,78009,29.3545454,-98.8434272
1955,East Highway 90,78009,29.3570993,-98.8433135
1598,US Highway 90 East,78009,29.3545351,-98.8534971
945,US Highway 90 East,78009,29.3559686,-98.8604539
935,US Highway 90 East,78009,29.3560597,-98.8608251
835,US Highway 90 East,78009,29.3561892,-98.8618575
521,US Highway 90 East,78009,29.3562124,-98.8658365
415,US Highway 90 East,78009,29.3564962,-98.8679685
337,US Highway 90 East,78009,29.3563628,-98.8688714
207,US Highway 90 East,78009,29.3562504,-98.8708051
201,US Highway 90 East,78009,29.3564538,-98.8710822
203,US Highway 90 East,78009,29.3562855,-98.8710318
103,FM 471 North,78009,29.3563409,-98.8718951
1006,Florella Street,78009,29.3554907,-98.8755050
409,US Highway 90 West,78009,29.3553543,-98.8758410
409,US Highway 90 West,78009,29.3553633,-98.8756501
602,US Highway 90 West,78009,29.3542956,-98.8776520
1115,Angelo Street,78009,29.3549732,-98.8778217
608,US Highway 90 West,78009,29.3542160,-98.8779888
702,US Highway 90 West,78009,29.3536751,-98.8789539
901,West Highway 90,78009,29.3533431,-98.8814979
815,US Highway 90 West,78009,29.3536847,-98.8810385
801,US Highway 90 West,78009,29.3538383,-98.8807142
1408,Alsace Avenue,78009,29.3496442,-98.8891878
1314,US Highway 90 West,78009,29.3508223,-98.8865548
1306,US Highway 90 West,78009,29.3510240,-98.8862058
1302,US Highway 90 West,78009,29.3512127,-98.8859822
1210,Madrid Street,78009,29.3512771,-98.8853400
1305,US Highway 90 West,78009,29.3516586,-98.8866213
1202,US Highway 90 West,78009,29.3514894,-98.8846657
1116,US Highway 90 West,78009,29.3516991,-98.8840634
1102,US Highway 90 West,78009,29.3520387,-98.8835606
1012,US Highway 90 West,78009,29.3522822,-98.8831850
1103,US Highway 90 West,78009,29.3524658,-98.8840206
1410,Naples Street,78009,29.3549949,-98.8823733
1410,Amelia Street,78009,29.3558511,-98.8812781
1415,Naples Street,78009,29.3557029,-98.8820688
715,Madrid Street,78009,29.3552802,-98.8815295
607,Madrid Street,78009,29.3564851,-98.8806342
1306,Angelo Street,78009,29.3556765,-98.8796119
610,Madrid Street,78009,29.3558357,-98.8801550
8222,FM 471 South,78009,29.3480022,-98.8424638
1000,Madrid Street,78009,29.3539354,-98.8842562
1208,Fiorella Street,78009,29.3566478,-98.8768671
813,US Highway 90 East,78009,29.3562076,-98.8629211
1950,US Highway 90 East,78009,29.3540842,-98.8456345
1235,FM 471 North,78009,29.3648886,-98.8795759
102,Schott Street,78009,29.3568770,-98.8683880
402,Florence Street,78009,29.3543202,-98.8740298
