House number,Street name,Postal code,Latitude,Longitude
1128,Glade Road,76034,32.8818080,-97.1493851
1124,Glade Road,76034,32.8818212,-97.1497068
4801,Colleyville Boulevard,76034,32.8791565,-97.1553582
4701,Colleyville Boulevard,76034,32.8779453,-97.1569797
4801,Colleyville Boulevard,76034,32.8789506,-97.1558569
3930,Glade Road,76034,32.8824952,-97.1027244
8300,Precinct Line Road,76034,32.9044986,-97.1857328
7137,Colleyville Boulevard,76034,32.9114745,-97.1324681
7101,Colleyville Boulevard,76034,32.9108586,-97.1343149
5712,Colleyville Boulevard,76034,32.8930666,-97.1480607
5615,Colleyville Boulevard,76034,32.8913115,-97.1480477
5615,Colleyville Boulevard,76034,32.8909832,-97.1482797
5615,Colleyville Boulevard,76034,32.8910512,-97.1482332
5615,Colleyville Boulevard,76034,32.8911034,-97.1481994
5615,Colleyville Boulevard,76034,32.8913338,-97.1477747
5615,Colleyville Boulevard,76034,32.8913345,-97.1478938
5615,Colleyville Boulevard,76034,32.8913342,-97.1477125
5655,Colleyville Boulevard,76034,32.8915836,-97.1464696
5695,Colleyville Boulevard,76034,32.8919072,-97.1476573
5695,Colleyville Boulevard,76034,32.8918926,-97.1476579
5605,Colleyville Boulevard,76034,32.8894305,-97.1472357
5605,Colleyville Boulevard,76034,32.8891167,-97.1474475
5609,Colleyville Boulevard,76034,32.8902484,-97.1487135
5609,Colleyville Boulevard,76034,32.8904163,-97.1487732
5601,Colleyville Boulevard,76034,32.8898558,-97.1490368
5501,Colleyville Boulevard,76034,32.8892516,-97.1494866
5611,Colleyville Boulevard,76034,32.8905008,-97.1464013
5615,Colleyville Boulevard,76034,32.8913297,-97.1472284
5615,Colleyville Boulevard,76034,32.8913092,-97.1475641
5615,Colleyville Boulevard,76034,32.8913107,-97.1473977
4620,Colleyville Blvd,76034,32.8781724,-97.1596272
4000,Glade Road,76034,32.8825098,-97.1010773
3830,West Glade Road,76034,32.8823628,-97.1063223
5605,Colleyville Boulevard,76034,32.8890181,-97.1472636
4904,Colleyville Boulevard,76034,32.8824287,-97.1568672
5008,Roberts Road,76034,32.8850545,-97.1114902
4000,Glade Road,76034,32.8826400,-97.1013711
1221,Church Street,76034,32.8869625,-97.1494589
5605,Colleyville Boulevard,76034,32.8892795,-97.1468862
5101,Heritage Avenue,76034,32.8833953,-97.1048405
5401,Heritage Avenue,76034,32.8875931,-97.1026494
5911,Pleasant Run Road,76034,32.8954715,-97.1530571
1100,Bogart Drive,76034,32.8948126,-97.1516872
5300,Pool Road,76034,32.8862756,-97.1268495
5300,Heritage Avenue,76034,32.8862276,-97.1073801
4500,Heritage Avenue,76034,32.8880654,-97.1073751
6600,Glenhope Circle,76034,32.9044138,-97.1283360
5800,Colleyville Boulevard,76034,32.8942413,-97.1480581
601,Glade Road,76034,32.8797826,-97.1593694
1101,West McDonwell School Road,76034,32.9024419,-97.1842051
5009,Preservation Ave,76034,32.8828904,-97.1462472
5005,Preservation Avenue,76034,32.8827045,-97.1462063
5001,Preservation Avenue,76034,32.8825273,-97.1462063
4905,Preservation Avenue,76034,32.8823595,-97.1462080
4901,Preservation Avenue,76034,32.8822042,-97.1462097
4904,Preservation Avenue,76034,32.8821608,-97.1468519
5013,Preservation Avenue,76034,32.8830446,-97.1462080
5017,Preservation Avenue,76034,32.8831832,-97.1462080
5021,Preservation Avenue,76034,32.8833551,-97.1462030
5025,Preservation Avenue,76034,32.8835284,-97.1462063
5101,Preservation Avenue,76034,32.8836892,-97.1462030
5105,Preservation Avenue,76034,32.8838473,-97.1462014
5109,Preservation Avenue,76034,32.8840081,-97.1461997
5113,Preservation Avenue,76034,32.8841745,-97.1461981
5117,Preservation Avenue,76034,32.8843382,-97.1461948
5121,Preservation Avenue,76034,32.8844949,-97.1461932
5125,Preservation Avenue,76034,32.8846459,-97.1461932
5201,Preservation Avenue,76034,32.8848179,-97.1461915
5205,Preservation Avenue,76034,32.8849995,-97.1461585
4900,Preservation Avenue,76034,32.8820042,-97.1468436
4908,Preservation Avenue,76034,32.8823189,-97.1468519
5000,Preservation Avenue,76034,32.8824895,-97.1468519
5004,Preservation Avenue,76034,32.8826669,-97.1468486
5008,Preservation Avenue,76034,32.8828375,-97.1468469
5012,Preservation Avenue,76034,32.8829983,-97.1468370
5016,Preservation Avenue,76034,32.8831620,-97.1468370
5020,Preservation Avenue,76034,32.8833283,-97.1468370
5024,Preservation Avenue,76034,32.8834933,-97.1468354
5100,Preservation Avenue,76034,32.8836570,-97.1468337
5104,Preservation Avenue,76034,32.8838275,-97.1468337
5108,Preservation Avenue,76034,32.8839884,-97.1468337
5112,Preservation Avenue,76034,32.8841436,-97.1468337
5116,Preservation Avenue,76034,32.8843086,-97.1468337
5120,Preservation Avenue,76034,32.8844750,-97.1468305
5124,Preservation Avenue,76034,32.8846414,-97.1468288
5200,Preservation Avenue,76034,32.8848078,-97.1468305
5008,Roberts Road,76034,32.8848810,-97.1111067
5300,State Highway 121,76034,32.8866386,-97.1005895
3904,West Glade Road,76034,32.8819367,-97.1049335
3830,West Glade Road,76034,32.8822597,-97.1061858
5510,Colleyville Boulevard,76034,32.8894848,-97.1504235
715,Cheek Sparger Road,76034,32.8679622,-97.1561660
700,Glade Road,76034,32.8806482,-97.1548550
4701,Bransford Road,76034,32.8784035,-97.1602715
6100,Pleasant Run Road,76034,32.8973575,-97.1552085
6708,Whittier Lane,76034,32.9071170,-97.1756530
4904,Colleyville Boulevard,76034,32.8823004,-97.1571237
5655,Colleyville Boulevard,76034,32.8915188,-97.1462319
3908,West Glade Road,76034,32.8818462,-97.1042283
8170,Precinct Line Road,76034,32.9019659,-97.1854481
5615,Colleyville Boulevard,76034,32.8910895,-97.1477770
5609,Colleyville Boulevard,76034,32.8903010,-97.1486931
5601,Colleyville Boulevard,76034,32.8898059,-97.1488820
5695,Colleyville Boulevard,76034,32.8918789,-97.1475751
5701,Colleyville Boulevard,76034,32.8921078,-97.1473803
5501,Colleyville Boulevard,76034,32.8891322,-97.1492263
