House number,Street name,Postal code,Latitude,Longitude
2726,East Highway 190,76522,31.1201171,-97.8700093
2990,East Hwy. 190,76522,31.1188383,-97.8639495
674,Town Square,76522,31.1139193,-97.9092695
1217,US-190,76522,31.1203695,-97.8903829
301,West Highway 190,76522,31.1106424,-97.9106622
2611,Farm-to-Market Road 2657,76522,31.0900796,-97.9250440
2621,East Hwy 190,76522,31.1209539,-97.8739335
2303,East Highway 190,76522,31.1208873,-97.8786623
2202,Central Texas Expressway,76522,31.0941357,-97.9542886
232,Robert Griffin III Drive,76522,31.1188100,-97.8666853
232,Robert Griffin III Drive,76522,31.1180429,-97.8666793
232,Robert Griffin III Drive,76522,31.1179300,-97.8666883
232,Robert Griffin III Drive,76522,31.1178146,-97.8666793
232,Robert Griffin III Drive,76522,31.1186176,-97.8667002
458,Town Square,76522,31.1146135,-97.9089504
2040,West Highway 190,76522,31.0975973,-97.9492767
707,Marilyn,76522,31.1336421,-97.9053639
715,Marilyn,76522,31.1342582,-97.9063628
321,Constitution Drive,76522,31.1185152,-97.8685287
2720,East Highway 190,76522,31.1181097,-97.8708340
2730,East Highway 190,76522,31.1202243,-97.8683274
2740,East Highway 190,76522,31.1202705,-97.8678532
1502,Virginia Avenue,76522,31.1108825,-97.8828931
102,East Highway 190,76522,31.1151411,-97.9044239
101,West Highway 190,76522,31.1145426,-97.9050884
206,North 1st Street,76522,31.1257003,-97.9025764
3006,East Highway 190,76522,31.1203200,-97.8629149
402,Constitution Drive,76522,31.1163682,-97.8714478
202,Robert Griffin III Drive,76522,31.1201315,-97.8663155
208,Robert Griffin III Drive,76522,31.1195328,-97.8661335
2102,South FM 116,76522,31.1004133,-97.9081702
2602,Dennis Street,76522,31.0996454,-97.9095614
100,FM 3046,76522,31.1010174,-97.9101180
2009,Pleasant Lane,76522,31.1000382,-97.9071678
2011,Pleasant Lane,76522,31.1000195,-97.9073781
1203,Miranda Avenue,76522,31.1017412,-97.9087794
1201,Miranda Avenue,76522,31.1016685,-97.9085033
2106,Henry Street,76522,31.1018732,-97.9092213
2104,Henry Street,76522,31.1021331,-97.9090962
1204,Collins Avenue,76522,31.1020624,-97.9086789
1202,Collins Avenue,76522,31.1019229,-97.9083228
1102,South FM 116,76522,31.1114454,-97.9096196
1406,Georgetown Road,76522,31.1118110,-97.9108206
238,West Highway 190,76522,31.1124834,-97.9098690
106,East Highway 190,76522,31.1154839,-97.9041659
2990,East Highway 190,76522,31.1186073,-97.8645801
2990,East Highway 190,76522,31.1202797,-97.8637751
2990,East Highway 190,76522,31.1200269,-97.8636618
6200,West Central Texas Expressway,76549,31.1140482,-97.8084941
341,Constitution Drive,76522,31.1171218,-97.8689874
1408,Golf Course Road,76522,31.1289285,-97.8826141
1110,East Highway 190,76544,31.1194712,-97.8930216
830,East Highway 190,76522,31.1192416,-97.8952620
1418,East Highway 190,76522,31.1195030,-97.8893715
80,Cove Terrace Shopping Center,76522,31.1199147,-97.8964350
712,Constitution Drive,76522,31.1087499,-97.8752513
1115,Northern Dancer Drive,76522,31.1036936,-97.8894533
1120,Risen Star Lane,76522,31.1055971,-97.8886361
702,Sunny Avenue,76522,31.1154708,-97.8827772
2053,FM 2657,76522,31.0947935,-97.9244928
249,Robert Griffin III Drive,76522,31.1169322,-97.8648286
232,Robert Griffin III Drive,76522,31.1183367,-97.8668975
232,Robert Griffin III Drive,76522,31.1171809,-97.8667913
1205,Courtney Lane,76522,31.1457913,-97.9072239
501,North 1st Street,76522,31.1280469,-97.9022686
202,North 1st Street,76522,31.1252253,-97.9024569
1262,East Highway 190,76522,31.1193918,-97.8901215
1420,East Highway 190,76522,31.1197360,-97.8888851
2096,Big Divide Road,76522,31.0969055,-97.9536762
905,Courtney Lane,76522,31.1409955,-97.9094053
302,West Highway 190,76522,31.1115615,-97.9113334
3010,East Highway 190,76522,31.1194339,-97.8622450
1001,East Highway 190,76522-2228,31.1204170,-97.8931647
1501,East Highway 190,76522,31.1205896,-97.8882082
2524,East Highway 190,76522,31.1201372,-97.8750671
2306,South FM 116,76522,31.0974116,-97.9068637
