House number,Street name,Postal code,Latitude,Longitude
3606,FM 1327,78610,30.0993030,-97.7526462
10900,Farm-to-Market Road 1625,78610,30.1082410,-97.7235170
11110,Farm-to-Market Road 1625,78610,30.1048020,-97.7259480
11111,Farm-to-Market Road 1625,78747,30.1044430,-97.7247880
11206,Farm-to-Market Road 1625,78610,30.1038320,-97.7264040
11218,Farm-to-Market Road 1625,78610,30.1031710,-97.7267470
11607,Old Lockhart Highway,78610,30.1056510,-97.7366740
11708,Farm-to-Market Road 1625,78610,30.0974270,-97.7326200
11712,Farm-to-Market Road 1625,78610,30.0976700,-97.7308510
11716,Farm-to-Market Road 1625,78610,30.0970600,-97.7305820
11720,Farm-to-Market Road 1625,78610,30.0969520,-97.7322480
11900,Farm-to-Market Road 1625,78610,30.0953120,-97.7320910
11901,Carl Road,78610,30.1042440,-97.7523320
11916,Farm-to-Market Road 1625,78610,30.0947430,-97.7322120
11920,Farm-to-Market Road 1625,78610,30.0942870,-97.7323050
12004,Farm-to-Market Road 1625,78610,30.0939270,-97.7325410
12108,Farm-to-Market Road 1625,78610,30.0924540,-97.7334910
12117,Farm-to-Market Road 1625,78610,30.0917730,-97.7331060
12201,Farm-to-Market Road 1625,78610,30.0913030,-97.7333650
12205,Carl Road,78610,30.1008240,-97.7552190
12208,Farm-to-Market Road 1625,78610,30.0911590,-97.7342320
12215,Farm-to-Market Road 1625,78610,30.0905850,-97.7330980
12220,Farm-to-Market Road 1625,78610,30.0908120,-97.7345410
3606,Farm-to-Market Road 1327,78610,30.0990350,-97.7522900
4016,Farm-to-Market Road 1327,78610,30.0958340,-97.7462950
4200,Farm-to-Market Road 1327,78610,30.0951700,-97.7444500
4400,Farm-to-Market Road 1327,78610,30.0946800,-97.7433640
4402,Farm-to-Market Road 1327,78610,30.0944060,-97.7424630
4410,Farm-to-Market Road 1327,78610,30.0942440,-97.7416360
4508,Farm-to-Market Road 1327,78610,30.0930510,-97.7398050
4512,Farm-to-Market Road 1327,78610,30.0929030,-97.7394100
4620,Farm-to-Market Road 1327,78610,30.0938060,-97.7357520
4714,Farm-to-Market Road 1327,78610,30.0912340,-97.7364650
4722,Farm-to-Market Road 1327,78610,30.0909320,-97.7359090
4808,Farm-to-Market Road 1327,78610,30.0905420,-97.7351420
4904,Farm-to-Market Road 1327,78610,30.0902520,-97.7336540
5300,Farm-to-Market Road 1327,78747,30.0916260,-97.7265730
6310,Farm-to-Market Road 1327,78747,30.0914700,-97.7089150
9100,Cliffbrook Drive,78747,30.1069080,-97.7219930
9104,Cliffbrook Drive,78747,30.1066540,-97.7214180
9202,Cliffbrook Drive,78747,30.1062390,-97.7209060
9304,Cliffbrook Drive,78747,30.1054400,-97.7194270
9402,Cliffbrook Drive,78747,30.1051330,-97.7187260
9500,Cliffbrook Drive,78747,30.1047330,-97.7179690
9502,Cliffbrook Drive,78747,30.1044560,-97.7172790
9600,Cliffbrook Drive,78747,30.1040780,-97.7165910
9604,Cliffbrook Drive,78747,30.1036580,-97.7158350
9608,Cliffbrook Drive,78747,30.1033430,-97.7152850
12307,Farm-to-Market Road 1625,78610,30.0894690,-97.7338600
12311,Farm-to-Market Road 1625,78610,30.0889470,-97.7331430
12401,Farm-to-Market Road 1625,78610,30.0889470,-97.7343040
12403,Palmer Road,78610,30.1012180,-97.7587260
12409,Palmer Road,78610,30.1010030,-97.7597500
12417,Farm-to-Market Road 1625,78610,30.0879710,-97.7340250
12425,Wright Road,78610,30.0963670,-97.7549040
12501,Farm-to-Market Road 1625,78610,30.0871490,-97.7345400
12519,Farm-to-Market Road 1625,78610,30.0858750,-97.7347420
12522,Farm-to-Market Road 1625,78610,30.0855700,-97.7355920
12523,Farm-to-Market Road 1625,78610,30.0856100,-97.7346310
12526,Farm-to-Market Road 1625,78610,30.0854260,-97.7358230
12616,Wright Road,78610,30.0951950,-97.7564690
12940,Farm-to-Market Road 1625,78610,30.0818470,-97.7427700
13014,Farm-to-Market Road 1625,78610,30.0788420,-97.7362770
13104,Farm-to-Market Road 1625,78610,30.0774630,-97.7359510
13116,Farm-to-Market Road 1625,78610,30.0770510,-97.7365560
13204,Farm-to-Market Road 1625,78610,30.0766010,-97.7365760
13210,Farm-to-Market Road 1625,78610,30.0758320,-97.7360230
14101,Graef Road,78610,30.0698400,-97.7524890
3201,Farm-to-Market Road 1327,78610,30.1008600,-97.7585320
3207,Farm-to-Market Road 1327,78610,30.1004570,-97.7580230
3215,Farm-to-Market Road 1327,78610,30.1002890,-97.7574850
4105,Farm-to-Market Road 1327,78610,30.0947870,-97.7458120
4404,South Turnersville Road,78610,30.0785210,-97.7516200
4406,South Turnersville Road,78610,30.0784780,-97.7515310
4701,Farm-to-Market Road 1327,78610,30.0913780,-97.7378350
4801,Farm-to-Market Road 1327,78610,30.0893980,-97.7363430
4801,South Turnersville Road,78610,30.0713660,-97.7467450
4903,Farm-to-Market Road 1327,78610,30.0899210,-97.7343420
4904,Miller Lane,78610,30.0886440,-97.7341250
4915,South Turnersville Road,78610,30.0752440,-97.7410840
5000,Miller Lane,78610,30.0887860,-97.7338730
5001,Miller Lane,78610,30.0882560,-97.7340080
5006,Miller Lane,78610,30.0887880,-97.7335570
