House number,Street name,Postal code,Latitude,Longitude
300,West Chapoy Street,78840,29.3545977,-100.8922709
200,Veterans Boulevard,78840,29.3660601,-100.8993690
206,Parkway Avenue,78840,29.3450351,-100.8945283
700,W Gibbs St,78840,29.3618600,-100.9088390
3607,Veterans Boulevard,78840,29.4048103,-100.9040590
205,Memorial Drive,78840,29.3851214,-100.9211205
100,Serafini Drive,78840,29.3443693,-100.9023926
504,West Garza Street,78840,29.3546090,-100.8905920
2600,Veterans Boulevard,78840,29.4000585,-100.9059000
2415,Veterans Blvd,78840,29.3959242,-100.9036400
100,Memorial Drive,78840,29.3808313,-100.9187576
2003,North Main Street,78840,29.3817294,-100.9100838
720,Raymond Lozano Memorial Drive,78842,29.3759230,-100.8757687
1009,Avenue J,78840,29.3750156,-100.8957276
100,Echo Valley Drive,78840,29.4087174,-100.9190592
1524,East Gibbs Street,78840,29.3729260,-100.8840660
330,Braddie Drive,78840,29.3936908,-100.9012212
2219,Bedell Avenue,78840,29.3924916,-100.9006815
2410,Dodson Avenue,78840,29.3955893,-100.9009179
2427,Veterans Boulevard,78840,29.3965753,-100.9041625
2415,Veterans Blvd,78840,29.3959248,-100.9036418
100,Braddie Drive,78840,29.3937144,-100.9044110
2213,Veterans Boulevard,78840,29.3931395,-100.9043681
2415,Veterans Boulevard,78840,29.3960120,-100.9042176
2001,North Bedell Avenue,78840-9998,29.3844219,-100.9009568
2115,Veterans Boulevard,78840,29.3882948,-100.9041536
2005,Veterans Boulevard,78840,29.3848993,-100.9042173
2101,Veterans Boulevard,78840,29.3863030,-100.9044689
2050,North Bedell Avenue,78840,29.3870328,-100.9022068
2113,Veterans Boulevard,78840,29.3878721,-100.9047559
110,Miers Street,78840,29.3876717,-100.9033685
2700,Veterans Boulevard,78840,29.4022620,-100.9056680
3616,Veterans Boulevard,78840,29.4064614,-100.9054541
3808,Veterans Boulevard,78840,29.4103303,-100.9054764
2454,Veterans Boulevard,78840,29.3947513,-100.9066673
2900,Veterans Boulevard,78840,29.4044739,-100.9053185
1701,Veterans Boulevard,78840-3346,29.3800929,-100.9037324
200,Veterans Boulevard,78840,29.3662357,-100.8998989
505,Veterans Boulevard,78840,29.3693474,-100.8989756
1504,East Gibbs Street,78840,29.3696500,-100.8870693
1307,East 1st Street,78840,29.3695821,-100.8890739
1510,East Gibbs Street,78840,29.3697551,-100.8860741
500,Pecan Street,78840,29.3580286,-100.8972203
90,Memorial Drive,78840,29.3833532,-100.9159581
1900,US Highway 90,78840,29.3733150,-100.8766725
905,West Cantu Road,78840,29.3875041,-100.9253811
300,West Martin Street,78840,29.3586920,-100.9027544
301,Waters Avenue,78840,29.3603093,-100.8843835
1207,West Garza Street,78840,29.3574986,-100.8811538
803,Texas Spur 239,78840,29.3629700,-100.9106224
253,Hamilton Lane,78840,29.3727154,-100.8477680
200,Avenue C,78840,29.3649841,-100.9014647
2209,North Veterans Boulevard,78840,29.3920685,-100.9046344
2207,Veterans Boulevard,78840,29.3904276,-100.9047024
2204,Veterans Boulevard,78840-3121,29.3889632,-100.9058016
801,North Bedell Avenue,78840,29.3749716,-100.8921625
509,West Garza Street,78840,29.3545784,-100.8895216
205,Wildcat Drive,78840,29.3843844,-100.9230266
207,Wildcat Drive,78840,29.3832422,-100.9228801
207,Wildcat Drive,78840,29.3845593,-100.9218977
207,Wildcat Drive,78840,29.3844402,-100.9225293
205 1/2,Wildcat Drive,78840,29.3840190,-100.9225741
207,Wildcat Drive,78840,29.3839349,-100.9239415
207,Wildcat Drive,78840,29.3841990,-100.9239379
207,Wildcat Drive,78840,29.3840590,-100.9241537
205,Wildcat Drive,78840,29.3835014,-100.9227846
205,Wildcat Drive,78840,29.3831502,-100.9228153
205,Wildcat Drive,78840,29.3833488,-100.9223569
205,Wildcat Drive,78840,29.3834327,-100.9220397
205,Memorial Drive,78840,29.3851186,-100.9211385
404,West Chapoy Street,78840,29.3551013,-100.8914184
504,West Garza Street,78840,29.3548053,-100.8906384
1809,Veterans Boulevard,78840,29.3813522,-100.9046194
3811,Veterans Boulevard,78840,29.4092998,-100.9034319
1300,East Gibbs Street,78840,29.3694110,-100.8884071
1302,East Gibbs Street,78840,29.3689662,-100.8894514
5842,US Highway 90 East,78840,29.3688628,-100.8147723
115,Wild Wood Drive,78840,29.4260363,-100.9095404
3616,Veterans Boulevard,78840,29.4063611,-100.9037399
333,Yucca Trailer Park Road,78840,29.4037802,-100.9063709
