House number,Street name,Postal code,Latitude,Longitude
100,Commons Road,78620,30.1922033,-98.0849345
104,East Highway 290,78620,30.1909786,-98.0865594
1301,Highway 290 West,78620,30.1975788,-98.1071829
598,East US Highway 290,78620,30.1896404,-98.0807237
1025,Cannon Drive,78620,30.1921292,-98.0821638
1025,Cannon Drive,78620,30.1921181,-98.0819456
400,West Mercer Street,78620,30.1928894,-98.0909174
165,Hargraves Drive,78737,30.2069964,-97.9752051
26450,RM 12,78620,30.1774276,-98.0844842
170,Benney Lane,78620,30.1952051,-98.1005242
108,East US Highway 290,78620,30.1911399,-98.0860033
108,East US Highway 290,78620,30.1911490,-98.0858665
166,Hargraves Drive,78737,30.2041075,-97.9810476
166,Hargraves Drive,78737,30.2042747,-97.9807298
166,Hargraves Drive,78737,30.2037549,-97.9786727
14101,West US Highway 290,78737,30.1951069,-98.0059741
165,Hargraves Drive,78737,30.2062742,-97.9765092
166,Hargraves Drive,78737,30.2036673,-97.9790530
1711,West US Highway 290,78620,30.2008412,-98.1114899
333,East US Highway 290,78620,30.1928875,-98.0840107
164,Belterra Village Way,78737,30.2032749,-97.9824617
164,Belterra Village Way,78737,30.2031379,-97.9827571
164,Belterra Village Way,78737,30.2029407,-97.9832252
164,Belterra Village Way,78737,30.2033733,-97.9822701
164,Belterra Village Way,78737,30.2032390,-97.9825349
164,Belterra Village Way,78737,30.2031559,-97.9827122
164,Belterra Village Way,78737,30.2031790,-97.9826664
165,Hargraves Drive,78737,30.2063749,-97.9764006
100,Commons Road,78620,30.1929136,-98.0844477
400,West US Highway 290,78620,30.1917952,-98.0913932
260,East US Highway 290,78620,30.1888768,-98.0855840
598,East US Highway 290,78620,30.1895243,-98.0813816
598,East US Highway 290,78620,30.1910760,-98.0806812
333,East US Highway 290,78620,30.1920930,-98.0840176
111,Tiger Lane,78620,30.2018949,-98.1153265
501,Sportsplex Drive,78620,30.1960417,-98.0987484
940,West US Highway 290,78620,30.1994123,-98.0994999
401,West Mercer Street,78620,30.1922255,-98.0883978
27495,Ranch Road 12,78620,30.1910324,-98.0881469
403,East US Highway 290,78620,30.1919626,-98.0808408
320,East US Highway 290,78620,30.1909108,-98.0846478
200,East US Highway 290,78620,30.1908823,-98.0854567
1310,West US Highway 290,78620,30.1984388,-98.1063386
660,West US Highway 290,78620,30.1924772,-98.0964931
1450,West US Highway 290,78620,30.2001878,-98.1080945
1310,West US Highway 290,78620,30.1981328,-98.1058558
598,East US Highway 290,78620,30.1911031,-98.0822788
14101,West US Highway 290,78737,30.1943378,-98.0060528
195,Roger Hanks Pkwy,78620,30.1955263,-98.1060255
2720,East US Highway 290,78620,30.1933644,-98.0439663
230,East US Highway 290,78620,30.1903379,-98.0852826
2440,East Highway 290,78620,30.1942742,-98.0504838
1301,West US Highway 290,78620,30.1976965,-98.1072705
203,West US Highway 290,78620,30.1910318,-98.0891129
1505,West US Highway 290,78620,30.1992935,-98.1095580
1225,West US Highway 290,78620,30.1962830,-98.1054755
1711,West US Highway 290,78620,30.2010900,-98.1119500
470,Old Highway 290,78620,30.2019990,-98.1097380
660,West US Highway 290,78620,30.1925499,-98.0966408
14101,West US Highway 290,78737,30.1950880,-98.0059780
400,East US Highway 290,78620,30.1911845,-98.0841830
27320,Ranch Road 12,78620,30.1881315,-98.0863240
104,East US Highway 290,78620,30.1909732,-98.0866631
333,East US Highway 290,78620,30.1936506,-98.0838083
13150,Four Star Boulevard,78737,30.2067575,-97.9853903
490,Founders Park Road,78620,30.1999019,-98.0835260
12610,Nutty Brown Road,78737,30.2028643,-97.9733369
166,Hargraves Drive,78737,30.2044815,-97.9802540
165,Hargraves Drive,78737,30.2058591,-97.9772712
165,Hargraves Drive,78737,30.2057523,-97.9776472
27216,Ranch Road 12,78620,30.1863850,-98.0848944
166,Hargraves Drive,78737,30.2041588,-97.9776279
22690,Ranch Road 150 West,78619,30.1628029,-98.0753801
13519,West US Highway 290,78737,30.1958228,-97.9989091
1040,Rob Shelton Boulevard,78620,30.1922588,-98.0825116
300,Sportsplex Drive,78620,30.1943792,-98.0944411
510,West Mercer Street,78620,30.1929554,-98.0936196
604,West US Highway 290,78620,30.1924194,-98.0943445
466,Spanish Star Trail,78620,30.1964394,-98.0828480
458,Spanish Star Trail,78620,30.1963153,-98.0828351
450,Spanish Star Trail,78620,30.1961911,-98.0828378
440,Spanish Star Trail,78620,30.1960674,-98.0828397
432,Spanish Star Trail,78620,30.1959444,-98.0828717
424,Spanish Star Trail,78620,30.1958224,-98.0828535
414,Spanish Star Trail,78620,30.1956965,-98.0828526
406,Spanish Star Trail,78620,30.1955727,-98.0828271
380,Spanish Star Trail,78620,30.1951910,-98.0828509
372,Spanish Star Trail,78620,30.1950671,-98.0828696
362,Spanish Star Trail,78620,30.1949412,-98.0828662
354,Spanish Star Trail,78620,30.1948198,-98.0828846
346,Spanish Star Trail,78620,30.1946943,-98.0828538
336,Spanish Star Trail,78620,30.1945707,-98.0828748
170,Spanish Star Trail,78620,30.1943675,-98.0849173
178,Spanish Star Trail,78620,30.1942442,-98.0849187
186,Spanish Star Trail,78620,30.1941210,-98.0849422
194,Spanish Star Trail,78620,30.1939972,-98.0849314
130,Spanish Star Trail,78620,30.1949466,-98.0849349
