House number,Street name,Postal code,Latitude,Longitude
2424,East 38th Street,75261,32.8581303,-97.0356435
2424,East 38th Street,75261,32.8570969,-97.0356115
2424,East 38th Street,75261,32.8581195,-97.0351231
2424,East 38th Street,75261,32.8572047,-97.0351298
2424,East 38th Street,75261,32.8574613,-97.0351279
2424,East 38th Street,75261,32.8570894,-97.0352767
2424,East 38th Street,75261,32.8578896,-97.0351248
2424,East 38th Street,75261,32.8576967,-97.0351262
2344,Rental Car Road,76039,32.8523050,-97.0386801
2424,East 38th Street,75261,32.8581253,-97.0353894
2309,Airport Freeway,76040,32.8367777,-97.1205388
2323,West Airport Freeway,76040,32.8366966,-97.1213971
3010,State Highway 121,76039,32.8800427,-97.0981186
2750,State Highway121,76039,32.8780461,-97.0979102
1101,Arwine Court,76040,32.8228445,-97.1553906
2301,West Airport Freeway,76040,32.8366579,-97.1201128
203,Ross Avenue,76040,32.8356056,-97.0849748
1201,Airport Freeway,76040,32.8353592,-97.1006662
1201,West Airport Freeway,76040,32.8353757,-97.1009936
201,South Industrial Boulevard,76040,32.8363475,-97.0983712
1114,South Airport Circle,76040,32.8209097,-97.1133270
2424,East 38th Street,75261,32.8560422,-97.0355873
2424,East 38th Street,75261,32.8575056,-97.0352641
2424,East 38th Street,75261,32.8560790,-97.0347061
2701,Rio Grande Boulevard,76039,32.8770936,-97.1026799
2501,Rio Grande Boulevard,76039,32.8721467,-97.1034470
1310,Chisholm Trail,75065,32.8753846,-97.1033721
1155,North Main Street,76039,32.8533050,-97.0833653
1060,North Main Street,76039,32.8513875,-97.0808119
1401,West Glade Road,76039,32.8802900,-97.1047130
711,South Industrial Boulevard,76040,32.8282820,-97.0991274
711,South Industrial Boulevard,76040,32.8282215,-97.0991237
711,South Industrial Boulevard,76040,32.8279513,-97.0991163
3050,Highway 360,76039,32.8807049,-97.0739481
2570,State Highway 121,76039,32.8739015,-97.0985037
2570,State Highway 121,76039,32.8747666,-97.0983321
2550,State Highway 121,76039,32.8729290,-97.0987035
125,South Ector Drive,76040,32.8360361,-97.0903426
203,South Ector Drive,76040,32.8352985,-97.0899187
2500,S Garage Drive,75261,32.8571868,-97.0353926
300,West Midway Drive,76039,32.8449873,-97.0858808
100,East Euless Boulevard,76040,32.8367540,-97.0821246
106,North Main Street,76040,32.8378112,-97.0818555
105,North Main Street,76040,32.8398038,-97.0831540
301,North Main Street,76039-3636,32.8402748,-97.0831077
1200,North Main Street,76039,32.8533673,-97.0819521
2401,State Highway 121,76039,32.8715228,-97.1019162
2200,West 32nd Street,75261,32.8749394,-97.0451188
3500,Bear Creek Ct,75261,32.8600616,-97.0579365
1400,Texas Star Parkway,76040,32.8150056,-97.1111696
2424,East 38th Street,75261,32.8575988,-97.0353819
300,West Midway Drive,76039,32.8451040,-97.0852634
306,West Airport Freeway,76039,32.8389395,-97.0878735
409,North Ector Drive,76039,32.8421813,-97.0931511
1101,Denton Drive,76039,32.8527812,-97.0884563
1201,West Glade Road,76039,32.8809415,-97.1012391
1401,West Glade Road,76039,32.8805116,-97.1050300
3003,TX 121,76039,32.8803962,-97.1004224
