House number,Street name,Postal code,Latitude,Longitude
700,South Saint Mary's Street,78355,27.2204916,-98.1458796
101,North US Highway 281,78355,27.2267646,-98.1417840
100,Jersey Drive,78355,27.2326499,-98.1515796
200,West Bennett Street,78355,27.2225351,-98.1465132
601,South Saint Mary's Street,78355,27.2214642,-98.1444172
1204,South Business 281,78355,27.2128259,-98.1441892
3735,South US Highway 281,78355,27.1715423,-98.1204629
540,West Noble Street,78355,27.2217987,-98.1534928
100,South Negri Street,78355,27.2277683,-98.1577223
701,North US Highway 281,78355,27.2331996,-98.1416003
400,Sacahuista Street,78355,27.2299694,-98.1420113
118,North US Highway 281,78355,27.2269659,-98.1399826
218,East Chapote Street,78355,27.2274723,-98.1420008
200,South Saint Mary's Street,78355,27.2257942,-98.1447996
202,West Rice Street,78355,27.2272144,-98.1456735
112,North US Highway 281,78355,27.2265520,-98.1396955
500,Sacahuista Street,78355,27.2316515,-98.1419260
500,East Rice Street,78355,27.2257602,-98.1399368
1413,South US Highway 281,78355,27.2131700,-98.1414907
1419,South US Highway 281,78355,27.2119528,-98.1413385
630,South Saint Mary's Street,78355,27.2211449,-98.1453305
602,South Saint Mary's Street,78355,27.2217678,-98.1457565
606,South Saint Mary's Street,78355,27.2215816,-98.1457824
110,East 14th Street,78355,27.2377426,-98.1377677
2116,South US Highway 281,78355,27.2051922,-98.1445565
2299,South US Highway 281,78355,27.2049757,-98.1424090
300,South Saint Mary's Street,78355,27.2247492,-98.1450183
300,South Saint Mary's Street,78355,27.2244414,-98.1449143
304,South Saint Mary's Street,78355,27.2241189,-98.1448759
408,West Travis Street,78355,27.2360866,-98.1460941
100,East Miller Street,78355,27.2254728,-98.1439879
203,East Allen Street,78355,27.2250730,-98.1424852
100,East Allen Street,78355,27.2237796,-98.1432318
200,East Allen Street,78355,27.2244383,-98.1428265
600,South Center Street,78355,27.2215611,-98.1512389
898,South Center Street,78355,27.2177146,-98.1516544
617,East Rice Street,78355,27.2263216,-98.1380881
900,East Rice Street,78355,27.2254419,-98.1360312
1200,East Rice Street,78355,27.2256990,-98.1305585
213,East Rice Street,78355,27.2268976,-98.1426573
925,South US Highway 281,78355,27.2189754,-98.1405093
102,East Rice Street,78355,27.2264910,-98.1441041
108,East Rice Street,78355,27.2264804,-98.1439913
203,South Calixto Mora Avenue,78355,27.2254834,-98.1429153
232,South Calixto Mora Avenue,78355,27.2252098,-98.1435678
219,South Calixto Mora Avenue,78355,27.2251207,-98.1430233
217,East Miller Street,78355,27.2261026,-98.1424936
304,East Rice Street,78355,27.2262584,-98.1416617
220,South US Highway 281,78355,27.2250559,-98.1419172
312,South US Highway 281,78355,27.2240933,-98.1419231
325,South Lasater Street,78355,27.2238029,-98.1421376
214,South Saint Mary's Street,78355,27.2252907,-98.1447804
230,East Rice Street,78355,27.2263612,-98.1423422
117,East Miller Street,78355,27.2261867,-98.1436404
124,East Rice Street,78355,27.2264695,-98.1434863
102,South Caldwell Street,78355,27.2266981,-98.1455398
223,West Rice Street,78355,27.2267361,-98.1462300
302,West Allen Street,78355,27.2256093,-98.1469647
304,South Caldwell Street,78355,27.2243355,-98.1459776
915,South Saint Mary's Street,78355,27.2184149,-98.1451129
913,South Saint Mary's Street,78355,27.2186177,-98.1450315
115,West Blucher Street,78355,27.2236085,-98.1452524
1102,South Saint Mary's Street,78355,27.2169845,-98.1459162
1010,South Saint Mary's Street,78355,27.2175676,-98.1458696
1208,South Saint Mary's Street,78355,27.2156559,-98.1462042
1204,South Saint Mary's Street,78355,27.2160200,-98.1460204
924,South Gardner Street,78355,27.2183440,-98.1490000
1327,South Center Street,78355,27.2153766,-98.1514887
1301,South Terrell Street,78355,27.2148059,-98.1487488
103,East Magnolia Street,78355,27.2371845,-98.1386309
105,East Magnolia Street,78355,27.2371787,-98.1383703
107,East Magnolia Street,78355,27.2371031,-98.1380520
109,East Magnolia Street,78355,27.2370792,-98.1377438
201,East Magnolia Street,78355,27.2369997,-98.1372339
200,East Magnolia Street,78355,27.2365821,-98.1372906
108,East Magnolia Street,78355,27.2366456,-98.1377959
106,East Magnolia Street,78355,27.2366643,-98.1381015
104,East Magnolia Street,78355,27.2367169,-98.1384209
102,East Magnolia Street,78355,27.2367339,-98.1387019
100,East Magnolia Street,78355,27.2367630,-98.1389723
601,East Travis Street,78355,27.2369304,-98.1362576
804,East Travis Street,78355,27.2329348,-98.1346932
832,East Travis Street,78355,27.2328654,-98.1343028
806,North Miller Boulevard,78355,27.2330136,-98.1366680
800,North Saint Mary's Street,78355,27.2343784,-98.1433611
515,North Saint Mary's Street,78355,27.2316029,-98.1440206
612,North Saint Mary's Street,78355,27.2319428,-98.1432019
516,North Saint Mary's Street,78355,27.2310925,-98.1433142
401,North Saint Mary's Street,78355,27.2309931,-98.1440031
510,North Saint Mary's Street,78355,27.2307355,-98.1433478
801,West Rice Street,78355,27.2274327,-98.1541792
405,East Bowie Street,78355,27.2274780,-98.1398260
409,East Bowie Street,78355,27.2273656,-98.1395231
411,East Bowie Street,78355,27.2273238,-98.1393546
1033,North US Highway 281,78355,27.2402282,-98.1395505
