House number,Street name,Postal code,Latitude,Longitude
231,South FM 548,75126,32.7369257,-96.4525840
231,South FM 548,75126,32.7368264,-96.4527101
351,North FM 548,75126,32.7444119,-96.4484063
209,East Main Street,75126,32.7468901,-96.4704341
427,Pinson Road,75126,32.7547906,-96.4704192
351,North FM 548,75126,32.7444913,-96.4483666
215,South Bois d'Arc Street,75126,32.7474774,-96.4723225
201,South Bois d'Arc Street,75126,32.7477003,-96.4719512
106,East Main Street,75126,32.7476225,-96.4718172
750,East US Highway 80,75126,32.7439480,-96.4493996
750,East US Highway 80,75126,32.7438907,-96.4492758
724,East US Highway 80,75126,32.7442423,-96.4500778
724,East US Highway 80,75126,32.7445470,-96.4506754
724,East US Highway 80,75126,32.7445809,-96.4498796
724,East US Highway 80,75126,32.7443465,-96.4502264
724,East US Highway 80,75126,32.7443934,-96.4503502
724,East US Highway 80,75126,32.7444429,-96.4504896
780,East US Highway 80,75126,32.7438454,-96.4486416
780,East US Highway 80,75126,32.7436951,-96.4487012
780,East US Highway 80,75126,32.7438220,-96.4490704
780,East US Highway 80,75126,32.7437753,-96.4488759
426,North FM 548,75126,32.7457141,-96.4491738
426,North FM 548,75126,32.7453373,-96.4494181
425,Pinson Road,75126,32.7540889,-96.4712219
425,Pinson Road,75126,32.7541823,-96.4711157
425,Pinson Road,75126,32.7540182,-96.4711295
425,Pinson Road,75126,32.7538515,-96.4709159
534,Pinson Road,75126,32.7544453,-96.4692258
528,Pinson Road,75126,32.7542188,-96.4689286
100,West Broad Street,75126,32.7494344,-96.4703292
1012,East US Highway 80,75126,32.7430962,-96.4428522
1012,East US Highway 80,75126,32.7430803,-96.4424418
375,North FM 548,75126,32.7452425,-96.4494329
375,North FM 548,75126,32.7451892,-96.4494840
485,Marketplace Boulevard,75126,32.7475247,-96.4486967
485,Marketplace Boulevard,75126,32.7473880,-96.4488732
1102,Ranch Road,75126,32.7649183,-96.4568844
1102,Ranch Road,75126,32.7650033,-96.4568215
1102,Ranch Road,75126,32.7650676,-96.4567630
1102,Ranch Road,75126,32.7651300,-96.4566821
1102,Ranch Road,75126,32.7654210,-96.4563719
1102,Ranch Road,75126,32.7652934,-96.4564958
1102,Ranch Road,75126,32.7652613,-96.4565594
1102,Ranch Road,75126,32.7652206,-96.4566052
1104,Ranch Road,75126,32.7653619,-96.4571397
1104,Ranch Road,75126,32.7655224,-96.4569615
205,West Broad Street,75126,32.7502110,-96.4717203
207,West Broad Street,75126,32.7502557,-96.4721091
