House number,Street name,Postal code,Latitude,Longitude
135,North Pecan Street,76457,31.9820963,-98.0304405
901,North Cedar Street,76457,31.9939710,-98.0234501
800,Cherry Street,76457,31.9922104,-98.0232154
203,East 2nd Street,76457,31.9818685,-98.0293555
112,East 1st Street,76457,31.9814689,-98.0300431
111,North Elm Street,76457,31.9821842,-98.0314893
120,West 1st Street,76457,31.9818285,-98.0316001
300,East 3rd Street,76457,31.9833795,-98.0278025
301,North Pecan Street,76457,31.9834430,-98.0300435
105,East Avenue A,76457,31.9789080,-98.0308360
211,South Walnut Street,76457,31.9800605,-98.0339075
401,West North Railroad Street,76457,31.9810475,-98.0348345
712,West Railroad Street,76457,31.9826795,-98.0407167
302,East 2nd Street,76457,31.9821250,-98.0281430
320,West 1st Street,76457,31.9822770,-98.0336965
300,West 2nd Street,76457,31.9830147,-98.0329311
504,North 2nd Street,76457,31.9837344,-98.0350929
118,West 2nd Street,76457,31.9826864,-98.0312787
301,West 2nd Street,76457,31.9823642,-98.0332408
603,North Cedar Street,76457,31.9881687,-98.0265304
205,West 2nd Street,76457,31.9822095,-98.0326270
404,North 2nd Street,76457,31.9827483,-98.0345147
404,North 2nd Street,76457,31.9828608,-98.0343344
400,West 1st Street,76457,31.9822624,-98.0343698
500,South Elm Street,76457,31.9761391,-98.0351183
406,West Grubbs Street,76457,31.9832112,-98.0334776
208,West 2nd Street,76457,31.9828594,-98.0323966
217,North Pecan Street,76457,31.9823947,-98.0302202
202,North Pecan Street,76457,31.9824990,-98.0309170
205,North Cedar Street,76457,31.9824343,-98.0280867
600,8th Street,76457,31.9906874,-98.0198190
821,North Cedar Street,76457,31.9926296,-98.0253271
804,North Cedar Street,76457,31.9920725,-98.0264726
802,North Cedar Street,76457,31.9918981,-98.0265144
800,North Cedar Street,76457,31.9916649,-98.0265773
204,8th Street,76457,31.9916986,-98.0271089
1012,Live Oak Circle,76457,31.9974389,-98.0200922
502,9th Street,76457,31.9932544,-98.0211250
874,Live Oak Circle,76457,31.9937150,-98.0207385
872,Live Oak Circle,76457,31.9936667,-98.0203311
904,Chestnut Street,76457,31.9936950,-98.0196290
902,Chestnut Street,76457,31.9934302,-98.0196830
900,Chestnut Street,76457,31.9931670,-98.0197432
871,Live Oak Circle,76457,31.9946631,-98.0198943
915,Live Oak Circle,76457,31.9959440,-98.0199549
1010,Live Oak Circle,76457,31.9966247,-98.0190354
1000,Chestnut Street,76457,31.9957656,-98.0191518
506,9th Street,76457,31.9931654,-98.0204620
901,Chestnut Street,76457,31.9931599,-98.0192866
903,Chestnut Street,76457,31.9933718,-98.0192651
907,Chestnut Street,76457,31.9938281,-98.0191707
905,Chestnut Street,76457,31.9935861,-98.0192265
906,Chestnut Street,76457,31.9940547,-98.0195552
873,Live Oak Circle,76457,31.9942031,-98.0205912
904,Live Oak Circle,76457,31.9940783,-98.0210769
910,Chestnut Street,76457,31.9942969,-98.0194905
912,Chestnut Street,76457,31.9945859,-98.0194867
915,Chestnut Street,76457,31.9952434,-98.0187986
913,Chestnut Street,76457,31.9950108,-98.0188772
911,Chestnut Street,76457,31.9945934,-98.0189782
405,North 2nd Street,76457,31.9835943,-98.0341684
605,North 2nd Street,76457,31.9856839,-98.0357901
610,North 2nd Street,76457,31.9857970,-98.0363968
606,North 2nd Street,76457,31.9854760,-98.0363292
708,North 2nd Street,76457,31.9862184,-98.0367625
505,North 2nd Street,76457,31.9844711,-98.0348331
515,North 2nd Street,76457,31.9848365,-98.0351718
