House number,Street name,Postal code,Latitude,Longitude
1000,Highland Village Road,75077,33.0849567,-97.0532299
1950,FM 407,75077,33.0723016,-97.0479436
1101,Shoal Creek,75077,33.0732029,-97.0870188
2230,FM 407,75077,33.0729751,-97.0555373
2600,Village Parkway,75077,33.0779122,-97.0792609
3060,Justin Road,75077,33.0764764,-97.0789711
3194,FM 407,75077-7049,33.0753149,-97.0811721
2830,Village Parkway,75077,33.0751409,-97.0815089
3188,Justin Road,75077,33.0746321,-97.0823964
3000,Village Parkway,75077,33.0791548,-97.0783132
2570,Justin Road,75077,33.0742383,-97.0693537
2630,FM 407,75077,33.0742671,-97.0700916
2100,Village Parkway,75077,33.0756109,-97.0821685
2460,Justin Rd,75077,33.0742639,-97.0662605
2710,FM 407,75077,33.0741832,-97.0715379
481,Spruce Drive,75077,33.0844949,-97.0455931
2100,Briarhill Boulevard,75077,33.0755580,-97.0663309
2300,Briarhill Boulevard,75077,33.0806221,-97.0651523
301,Brazos Boulevard,75077,33.0822498,-97.0436375
100,Barnett Boulevard,75077,33.0783297,-97.0725824
310,Highland Village Road,75077,33.0872947,-97.0343103
1000,Highland Village Road,75077,33.0848589,-97.0529990
218A,Orchid Hill Lane,75077,33.1052617,-97.0731206
500,Highland Village Road,75077,33.0923240,-97.0389502
2200,Briarhill Boulevard,75077,33.0769446,-97.0646974
930,Silverthorne Trail,75077,33.0830088,-97.0745268
241,Sellmeyer Lane,75077,33.0889705,-97.0454367
190,Brazos Boulevard,75077,33.0854983,-97.0504301
229,Turpin Drive,75077,33.0827247,-97.0460710
700,Highland Village Road,75077,33.0917769,-97.0417240
305,Merriman Drive,75077,33.0852783,-97.0437279
418,Copperas Trail,75077,33.0844617,-97.0416656
422,Copperas Trail,75077,33.0842056,-97.0416709
430,Copperas Trail,75077,33.0836023,-97.0416482
414,Copperas Trail,75077,33.0845978,-97.0412447
482,Millwood Drive,75077,33.0844729,-97.0459815
481,Sellmeyer Lane,75077,33.0842024,-97.0446836
485,Millwood Drive,75077,33.0845199,-97.0465490
4041,Justin Road,75077,33.0727624,-97.0847360
3060,Justin Road,75077,33.0768670,-97.0780742
2170,FM 407,75077,33.0719375,-97.0549950
3420,Fairfield Lane,75077,33.0970996,-97.0864846
2450,Justin Road,75077,33.0741426,-97.0657584
2600,Village Parkway,75077,33.0780051,-97.0793082
3140,Justin Road,75077,33.0733118,-97.0808454
3020,Justin Road,75077,33.0743592,-97.0771304
3080,Justin Road,75077,33.0741706,-97.0785615
2570,Justin Road,75077,33.0743049,-97.0693228
1000,Chinn Chapel Road,75077,33.0815847,-97.0846272
4307,Highwoods Trail,75077,33.0850958,-97.0845591
600,Creek Place,75077,33.0749693,-97.0465290
202,Victoria Drive,75077,33.0772059,-97.0459298
2333,Briarhill Boulevard,75077,33.0778351,-97.0646133
