House number,Street name,Postal code,Latitude,Longitude
20755,Eastex Freeway,77338,30.0181428,-95.2691069
20777,Eastex Freeway,77338-2209,30.0192483,-95.2687528
20518,Eastex Freeway,77338,30.0142347,-95.2606251
9781,FM 1960 Bypass Road West,77338,30.0062537,-95.2748088
20520,Eastex Freeway,77338,30.0145002,-95.2606146
20514,Eastex Freeway,77338,30.0138692,-95.2607457
20518,Eastex Freeway,77338,30.0143781,-95.2607229
20510,Eastex Freeway,77338,30.0135173,-95.2609703
20424,Eastex Freeway,77338,30.0125759,-95.2612258
20524,Eastex Freeway,77338,30.0152317,-95.2617088
20530,Eastex Freeway,77338,30.0151446,-95.2614243
20536,Eastex Freeway,77338,30.0150330,-95.2610849
20412,Eastex Freeway,77338,30.0113021,-95.2618176
20408,Eastex Freeway,77338,30.0108960,-95.2619739
20506,Eastex Freeway,77338,30.0129673,-95.2613216
9470,FM 1960 Bypass Road West,77338,30.0024474,-95.2814139
1420,FM 1960 Bypass Road East,77338,30.0032989,-95.2520372
1315,1st Street,77338,29.9997650,-95.2525280
1420,FM 1960 Bypass Road East,77338,30.0026247,-95.2516634
20131,Eastex Freeway,77338,30.0085452,-95.2698330
19615,Highway 59 North,77338,30.0028331,-95.2723440
19653,Eastex Freeway,77338-3565,30.0037901,-95.2724004
19657,Eastex Freeway,77338,30.0040967,-95.2724165
1986,South Houston Avenue,77396,29.9748544,-95.2633815
20131,US-59 North,77338,30.0102942,-95.2706567
19300,Eastex Freeway,77336,29.9971279,-95.2702484
9815,FM 1960 Bypass Road West,77338,30.0061781,-95.2729339
19304,Highway 59,77338,29.9728260,-95.2765927
258,FM 1960 Bypass Road East,77338,30.0039502,-95.2642117
18228,Eastex Freeway,77338,29.9826713,-95.2753620
18230,Eastex Freeway,77338,29.9827967,-95.2752922
202,FM 1960 Bypass Road East,77338,30.0041615,-95.2656859
202,FM 1960 Bypass Road East,77338,30.0043264,-95.2656269
20777,Highway 59,77338,30.0194487,-95.2685130
112,1st Street West,77338,30.0017969,-95.2684003
9470,FM 1960 Bypass Road West,77338,30.0024178,-95.2804145
124,FM 1960 Bypass Road East,77338,30.0031464,-95.2666944
1116,1st Street,77338,29.9982315,-95.2566121
1701,Wilson Road,77338,29.9799911,-95.2472199
10035,FM 1960 Bypass Road West,77338,30.0058278,-95.2692918
9509,FM 1960 Bypass Road,77338,30.0055335,-95.2803812
9475,FM 1960 Bypass Road West,77338,30.0070650,-95.2812230
20131,US-59,77338,30.0108343,-95.2701742
7710,Will Clayton Parkway,77338,29.9800212,-95.2682007
8233,Will Clayton Parkway,77338,29.9801591,-95.2587894
9451,Fm 1960 Bypass,77338,30.0090256,-95.2833439
20131,Eastex Freeway,77338,30.0093747,-95.2703446
9665,FM 1960 Bypass Road West,77338,30.0084908,-95.2792776
20252,Fieldtree Drive,77338,30.0118364,-95.2730578
200,East Main Street,77338,29.9977398,-95.2645976
211,East Main Street,77338,29.9980856,-95.2641560
9717,Humble Westfield Road,77338,30.0020364,-95.2753197
19707,Eastex Freeway,77338,30.0020224,-95.2702211
2602,South Houston Avenue,77396,29.9618450,-95.2678104
20515,Eastex Freeway,77338,30.0144568,-95.2650804
10015,FM 1960 Bypass Road West,77338,30.0055575,-95.2706288
10019,FM 1960 Bypass Road West,77338,30.0054758,-95.2701708
20310,Eastex Freeway,77338,30.0099666,-95.2647664
20220,Eastex Freeway,77338,30.0096130,-95.2647458
20360,Eastex Freeway,77338,30.0096436,-95.2626008
20130,Eastex Freeway,77338,30.0082705,-95.2655908
20118,Eastway Village Drive,77338,30.0066111,-95.2637146
140,FM 1960 Bypass Road East,77338,30.0043289,-95.2662645
20611,Highway 59 North,77338,30.0155701,-95.2645832
20525,US-59,77338,30.0149435,-95.2648028
310,North Bender Avenue,77338,29.9992954,-95.2675550
10035,Humble Westfield Road,77338-4230,30.0020756,-95.2709242
152,1st Street West,77338-3622,30.0033813,-95.2674599
150,1st Street West,77338,30.0012725,-95.2683059
1700,Wilson Road,77338,29.9830674,-95.2467087
1131,Wilson Road,77338,29.9845031,-95.2487700
2400,Cold River Drive,77396,29.9696465,-95.2432199
1500,Montgomery Lane,77338,29.9899058,-95.2526705
2505,South Houston Avenue,77396,29.9666828,-95.2624986
1501,FM 1960 Bypass Road East,77338,30.0041413,-95.2520259
9632,FM 1960 Bypass Road West,77338,30.0043057,-95.2780700
18004,Eastex Freeway,77306,29.9802191,-95.2762846
9824,J M Hester Street,77338,30.0003981,-95.2739750
19713,Eastex Freeway,77338,30.0038186,-95.2695377
19002,McKay Drive,77076,29.9935335,-95.2768831
18951,North Memorial Drive,77338,29.9956861,-95.2762948
1475,FM 1960 Bypass Road East,77338,30.0049725,-95.2524439
9850,J M Hester Street,77338,29.9993454,-95.2735348
19700,Whitaker Drive,77338,30.0028467,-95.2757347
9814,FM 1960 Bypass Road West,77338,30.0035597,-95.2742409
21802,Townsen Boulevard,77338,30.0222930,-95.2670231
611,Higgins Street,77338,29.9979479,-95.2602257
1373,FM 1960 Bypass Road East,77338,30.0055896,-95.2549100
9111,Will Clayton Parkway,77338,29.9795934,-95.2475298
9021,Will Clayton Parkway,77338,29.9795814,-95.2480894
110,1st Street West,77338,30.0013237,-95.2686568
1524,FM 1960 Bypass Road East,77338,29.9988211,-95.2505082
18,Wilson Road,77338,30.0017072,-95.2510457
525,North Houston Avenue,77338,30.0005250,-95.2581595
1702,1st Street,77338,29.9986145,-95.2498399
21003,Eastex Freeway,77338,30.0191771,-95.2629480
