House number,Street name,Postal code,Latitude,Longitude
110,Grapevine Hwy,76054,32.8711887,-97.1679406
1312,West Pipeline Road,76053,32.8241429,-97.1998930
777,Northeast Loop 820,76053,32.8232894,-97.2065099
450,Grapevine Highway,76053,32.8655584,-97.1749249
1101,Melbourne Road Suite 3074,76053,32.8306867,-97.1993017
1101,Melbourne Road,76053,32.8303100,-97.2010559
809,West Pipeline Road,76053,32.8226706,-97.1871991
825,Thousand Oaks Drive,76054,32.8405336,-97.1869435
1460,Precinct Line Road,76053,32.8380499,-97.1855610
1460,Precinct Line Road,76053,32.8382480,-97.1855526
1420,Precinct Line Road,76053,32.8372405,-97.1859079
1308,Precinct Line Road,76053,32.8355314,-97.1858666
1220,W Hurst Boulevard,76053,32.8095480,-97.1989601
1220,W Hurst Boulevard,76053,32.8095471,-97.1991475
1220,W Hurst Boulevard,76053,32.8095504,-97.1993426
1222,W Hurst Boulevard,76053,32.8094983,-97.1998105
1222,W Hurst Boulevard,76053,32.8095375,-97.1997258
1222,W Hurst Boulevard,76053,32.8095568,-97.1998906
1222,W Hurst Boulevard,76053,32.8095177,-97.2000822
847,NE Mall Boulevard,76053,32.8256285,-97.2029351
245,NE Mall Boulevard,76053,32.8255179,-97.2029348
841,NE Mall Boulevard,76053,32.8253748,-97.2029361
837,Northeast Mall Boulevard,76053,32.8252151,-97.2029323
833,NE Mall Boulevard,76053,32.8250835,-97.2029430
829,NE Mall Boulevard,76053,32.8248998,-97.2029417
1404,West Pipeline Road,76053,32.8242140,-97.2029038
1414,West Pipeline Road,76053,32.8241602,-97.2031296
1418,West Pipeline Road,76053,32.8241586,-97.2032105
1428,West Pipeline Road,76053,32.8241557,-97.2034458
1420,West Pipeline Road,76053,32.8241589,-97.2032801
1424,West Pipeline Road,76053,32.8241554,-97.2033668
1501,West Hurst Blvd,76053,32.8084034,-97.2082206
1501,West Hurst Blvd,76053,32.8084079,-97.2080583
1410,Precinct Line Road,76053,32.8366560,-97.1858297
1410,Precinct Line Road,76053,32.8367783,-97.1858284
750,West Pipeline Road,76053,32.8247382,-97.1860974
740,West Pipeline Road,76053,32.8247382,-97.1858617
736,West Pipeline Road,76053,32.8247149,-97.1857061
732,West Pipeline Road,76053,32.8247563,-97.1856152
712,West Pipeline Road,76053,32.8246723,-97.1842527
712,West Pipeline Road,76053,32.8246715,-97.1841906
850,West Pipeline Road,76053,32.8241575,-97.1903078
848,West Pipeline Road,76053,32.8241555,-97.1901537
846,West Pipeline Road,76053,32.8241653,-97.1900031
801,West Pipeline Road,76053,32.8233336,-97.1867853
803,Precinct Line Road,76053,32.8226677,-97.1867522
805A,Precinct Line Road,76053,32.8226505,-97.1868059
805B,Precinct Line Road,76053,32.8226508,-97.1868399
811A,West Pipeline Road,76053,32.8226578,-97.1877985
819,West Pipeline Road,76053,32.8226759,-97.1880101
1451,West Pipeline Road,76053,32.8223578,-97.2044598
1439,West Pipeline Road,76053,32.8223544,-97.2039821
