House number,Street name,Postal code,Latitude,Longitude
1000,South Jackson Street,75766,31.9551759,-95.2655355
1627,South Jackson Street,75766,31.9477796,-95.2612335
1626,South Jackson,75766,31.9485943,-95.2595115
1712,South Jackson Street,75766,31.9449756,-95.2570546
210,East Cherokee Street,75766,31.9662310,-95.2736521
908,North Ragsdale Street,75766,31.9754802,-95.2739938
315,South Ragsdale Street,75766,31.9625468,-95.2714832
210,East Cherokee Street,75766,31.9661340,-95.2738861
514,East Commerce Street,75766,31.9654629,-95.2695319
505,East Rusk Street,75766,31.9639646,-95.2687986
1029,South Jackson Street,75766,31.9542776,-95.2658790
300,South Bolton Street,75766,31.9619938,-95.2729928
701,South Jackson Street,75766,31.9585912,-95.2682945
1502,South Jackson Street,75766,31.9504488,-95.2620832
1702,South Jackson Street,75766,31.9458045,-95.2585529
602,South Jackson Street,75766,31.9599692,-95.2681380
607,East Rusk Street,75766,31.9646136,-95.2666708
525,East Commerce Street,75766,31.9651279,-95.2685457
302,East Cherokee Street,75766,31.9663134,-95.2729123
521,North Jackson Street,75766,31.9707710,-95.2736500
105,B. J. Albritton Drive,75766,31.9650562,-95.2832304
105,B J Albritton Drive,75766,31.9658950,-95.2809282
329,North Bolton Street,75766,31.9668888,-95.2763400
1042,North Jackson Street,75766,31.9869651,-95.2730152
3201,North Jackson Street,75766,32.0038942,-95.2778485
201,Memorial Drive,75766,32.0027948,-95.2778034
1029,South Jackson Street,75766,31.9541834,-95.2657956
1503,"S Jackson St, #7",75766,31.9500825,-95.2629008
911,South Bolton Street,75766,31.9551543,-95.2732106
911,South Bolton Street,75766,31.9548075,-95.2732106
2034,North Jackson Street,75766,31.9966321,-95.2728407
2034,North Jackson Street,75766,31.9958680,-95.2734913
2034,North Jackson Street,75766,31.9954723,-95.2737943
302,South Jackson Street,75766,31.9633931,-95.2698407
402,South Jackson Street,75766,31.9623471,-95.2694561
2026,South Jackson Street,75766,31.9384972,-95.2478458
1664,South Jackson Street,75766,31.9464153,-95.2593079
2015,South Jackson Street,75766,31.9377323,-95.2504228
501,South Ragsdale Street,75766,31.9601390,-95.2705206
627,South Jackson Street,75766,31.9592058,-95.2688170
105,B J Albritton Drive,75766,31.9657149,-95.2802664
604,South Jackson Street,75766,31.9595111,-95.2677720
411,South Jackson Street,75766,31.9618480,-95.2699695
210,West Larissa Street,75766,31.9611836,-95.2748787
1311,South Jackson Street,75766,31.9513750,-95.2663150
1105,South Jackson Street,75766,31.9538584,-95.2655051
1127,South Jackson Street,75766,31.9534225,-95.2652295
1329,South Jackson Street,75766,31.9509805,-95.2635820
1501,South Jackson Street,75766-3025,31.9504580,-95.2631145
1608,South Jackson Street,75766,31.9488680,-95.2610620
1659,South Jackson Street,75766-3027,31.9458228,-95.2598049
1923,South Jackson Street,75766,31.9396550,-95.2528537
1710,South Jackson Street,75766,31.9455045,-95.2570657
1010,South Jackson Street,75766,31.9546930,-95.2650880
1055,North Pineda Street,75766,31.9741186,-95.2878004
107,Alexander Boulevard,75766,31.9729841,-95.2754968
755,North Bolton Street,75766,31.9731542,-95.2768365
417,Frankston Highway,75766,31.9729595,-95.2807928
818,Southeast Loop 456,75766,31.9345059,-95.2507033
