House number,Street name,Postal code,Latitude,Longitude
501,Nugent Avenue,78636,30.2809544,-98.4127929
505,North Nugent Avenue,78636,30.2811613,-98.4148476
303,North LBJ Drive,78636,30.2788817,-98.4074256
401,East Pecan Drive,78636,30.2781742,-98.4081156
100,Victory Lane,78636,30.2825721,-98.4082141
101,East Pecan Avenue,78636,30.2781705,-98.4114597
201,South Avenue G,78636,30.2762160,-98.4105334
201,South Avenue E,78636,30.2753985,-98.4091703
100,East Main Street,78636,30.2764903,-98.4118295
405,North US Highway 281,78636,30.2830321,-98.4068770
202,South US Highway 281,78636,30.2738015,-98.4019639
201,South US Highway 281,78636,30.2743605,-98.4013079
305,East Bluebonnet Lane,78636,30.2798303,-98.4089870
105,Bill Watson Drive,78636,30.2725415,-98.3982612
400,South US Highway 281,78636,30.2699535,-98.3998189
403,South US Highway 281,78636,30.2702162,-98.3985203
101,South US Highway 281,78636,30.2768060,-98.4030628
100,North US Highway 281,78636,30.2771078,-98.4032576
509,East Main Street,78636,30.2771105,-98.4064072
206,East Main Street,78636,30.2764820,-98.4103413
105,North US Highway 281,78636,30.2779807,-98.4048028
107,South US Highway 281,78636,30.2764571,-98.4022335
109,South US Highway 281,78636,30.2759618,-98.4026820
111,South US Highway 281,78636,30.2756076,-98.4022612
113,South US Highway 281,78636,30.2752458,-98.4021987
501,South US Highway 281,78636,30.2692341,-98.3972356
206,Haley Road,78636,30.2709872,-98.4021520
208,Haley Road,78636,30.2707642,-98.4015695
303,East Pecan Drive,78636,30.2779266,-98.4093539
102,North Avenue F,78636,30.2772430,-98.4094385
608,North US Highway 281,78636,30.2877062,-98.4037402
522,North US Highway 281,78636,30.2865889,-98.4044044
615,North Nugent Avenue,78636,30.2841228,-98.4100264
506,North Nugent Avenue,78636,30.2813211,-98.4114321
100,East Pecan Drive,78636,30.2774739,-98.4117450
104,East Pecan Drive,78636,30.2774089,-98.4113974
106,East Pecan Drive,78636,30.2774370,-98.4112544
101,South Lady Bird Lane,78636,30.2764450,-98.4121990
100,North Nugent Avenue,78636,30.2769353,-98.4117288
104,North Nugent Avenue,78636,30.2771088,-98.4117229
102,West Main Street,78636,30.2770727,-98.4127133
305,East Elm Street,78636,30.2761136,-98.4089240
300,East Main Street,78636,30.2765474,-98.4095585
104,North US Highway 281,78636,30.2778854,-98.4038359
500,South US Highway 281,78636,30.2685925,-98.3983196
502,South US Highway 281,78636,30.2683465,-98.3981381
101,Heritage Drive,78636,30.2651091,-98.3956965
708,South US Highway 281,78636,30.2655313,-98.3960199
803,South US Highway 281,78636,30.2652009,-98.3943517
818,South US Highway 281,78636,30.2620934,-98.3945385
512,S Ave F,78636,30.2652904,-98.4115780
514,S Ave F,78636,30.2644020,-98.4120022
203,South US Highway 281,78636,30.2739850,-98.4011141
