House number,Street name,Postal code,Latitude,Longitude
19615,Boggy Ford Road,78645,30.4339482,-97.9830458
17900,Lakeshore Circle,78645,30.4376010,-97.9559930
17908,Lakeshore Circle,78645,30.4371350,-97.9565020
18313,Cloudy Ridge Road,78645,30.4222720,-97.9681690
18313,Lakeshore Circle,78645,30.4327804,-97.9600672
18315,Lakeshore Circle,78645,30.4327900,-97.9607830
18504,Marshalls Harbor Cove,78645,30.4279630,-97.9639510
18601,Austin Boulevard,78645,30.4272750,-97.9695330
18701,Austin Boulevard,78645,30.4279740,-97.9700260
18729,Austin Boulevard,78645,30.4292100,-97.9708530
18849,Austin Boulevard,78645,30.4308330,-97.9715690
19000,Austin Boulevard,78645,30.4332060,-97.9716740
19001,Austin Boulevard,78645,30.4321940,-97.9724550
19101,Canyon Drive,78645,30.4485250,-97.9628290
19303,Treat Trail,78645,30.4229490,-97.9847670
19307,Treat Trail,78645,30.4226660,-97.9848040
19321,Leisure Lane,78645,30.4585200,-97.9628560
19400,Leisure Lane,78645,30.4592900,-97.9626960
19401,Leisure Lane,78645,30.4587030,-97.9630520
19405,Leisure Lane,78645,30.4588300,-97.9632690
19409,Leisure Lane,78645,30.4589850,-97.9634720
19413,Leisure Lane,78645,30.4590570,-97.9637280
19417,Old Burnet Road,78645,30.4635350,-97.9600200
19429,Ming Trail,78645,30.4602260,-97.9665370
19501,Leisure Lane,78645,30.4591090,-97.9641340
19505,Leisure Lane,78645,30.4591060,-97.9645480
19509,Leisure Lane,78645,30.4592130,-97.9648750
19600,Old Burnet Road,78645,30.4661750,-97.9621620
19601,Leisure Lane,78645,30.4593520,-97.9651230
19601,Old Burnet Road,78645,30.4643300,-97.9615130
19603,Alfalfa Drive,78645,30.4533870,-97.9692090
19605,Leisure Lane,78645,30.4594400,-97.9653800
19605,Old Burnet Road,78645,30.4647510,-97.9625940
19606,Alfalfa Drive,78645,30.4549330,-97.9685630
19701,Old Burnet Road,78645,30.4652590,-97.9637390
19702,Old Burnet Road,78645,30.4667500,-97.9638020
19907,Boggy Ford Road,78645,30.4357810,-97.9868900
20000,Burdock Drive,78645,30.4661490,-97.9680350
20001,Burdock Drive,78645,30.4653890,-97.9681590
20101,Burdock Drive,78645,30.4648270,-97.9702070
20201,Burdock Drive,78645,30.4638230,-97.9729590
20521,Old Farm-to-Market 1431,78645,30.4736930,-97.9746480
4505,Shoreline Ranch Drive,78645,30.4327520,-97.9769690
4824,Shoreline Ranch Drive,78645,30.4358540,-97.9723040
4901,Observatory Hill,78645,30.4372750,-97.9746890
4901,Shoreline Ranch Drive,78645,30.4347870,-97.9720440
4925,Shoreline Ranch Drive,78645,30.4348890,-97.9708370
4929,Observatory Hill,78645,30.4378770,-97.9741570
4941,Observatory Hill,78645,30.4380820,-97.9743500
5000,Shoreline Ranch Drive,78645,30.4360200,-97.9707480
5001,Shoreline Ranch Drive,78645,30.4352110,-97.9700730
5029,Shoreline Ranch Drive,78645,30.4355050,-97.9687590
5100,Shoreline Ranch Drive,78645,30.4364030,-97.9694930
5120 1/2,Shoreline Ranch Drive,78645,30.4365820,-97.9683650
5900,Summit Ridge Drive North,78645,30.4437730,-97.9685770
5901,Summit Ridge Drive North,78645,30.4435220,-97.9678610
6101,Destination Way,78645,30.4536110,-97.9679450
6109,Destination Way,78645,30.4539460,-97.9678410
6117,Destination Way,78645,30.4541880,-97.9678180
6201,Destination Way,78645,30.4544910,-97.9679330
6321,Destination Way,78645,30.4559630,-97.9693800
6401,Destination Way,78645,30.4562380,-97.9694540
6409,Destination Way,78645,30.4564950,-97.9696590
6417,Destination Way,78645,30.4567160,-97.9699820
6444,Marshalls Point Cove,78645,30.4454640,-97.9583620
6501,Destination Way,78645,30.4570010,-97.9700360
6509,Destination Way,78645,30.4572830,-97.9700110
6517,Destination Way,78645,30.4575500,-97.9700290
6601,Destination Way,78645,30.4579380,-97.9699080
6609,Destination Way,78645,30.4582700,-97.9697030
6617,Destination Way,78645,30.4585290,-97.9695800
6701,Destination Way,78645,30.4588110,-97.9695300
6712,Liberty Grotto,78645,30.4555660,-97.9676860
6713,Destination Way,78645,30.4591990,-97.9694460
6716,Liberty Grotto,78645,30.4554490,-97.9674380
6720,Liberty Grotto,78645,30.4553040,-97.9672220
6721,Liberty Grotto,78645,30.4548340,-97.9676480
6724,Liberty Grotto,78645,30.4550570,-97.9671230
6725,Liberty Grotto,78645,30.4548590,-97.9670630
6801,Destination Way,78645,30.4592620,-97.9688290
6821,Destination Way,78645,30.4590780,-97.9683900
6829,Destination Way,78645,30.4587430,-97.9681330
6901,Destination Way,78645,30.4585980,-97.9678290
6901,Eagle Point,78645,30.4613290,-97.9734190
