House number,Street name,Postal code,Latitude,Longitude
6306,Lake Worth Boulevard,76135,32.8116881,-97.4218086
3935,Boat Club Road,76135,32.8118730,-97.4212889
6302,Lake Worth Boulevard,76135,32.8116453,-97.4215290
6061,Azle Avenue,76135,32.8157858,-97.4183606
6708,Lake Worth Blvd,76135,32.8148072,-97.4345889
6708,Lake Worth Boulevard,76135,32.8146945,-97.4344065
6732,Jacksboro Highway,76135,32.8150236,-97.4362090
6504,Lake Worth Boulevard,76135,32.8111746,-97.4288506
6640,Lake Worth Boulevard,76135,32.8127777,-97.4325134
6244,Lake Worth Boulevard,76135,32.8103085,-97.4203639
6014,Azle Avenue,76135,32.8148023,-97.4136139
6054,Azle Avenue,76135,32.8163454,-97.4167945
6042,Azle Avenue,76135,32.8159056,-97.4152898
6038,Azle Avenue,76135,32.8159417,-97.4148802
6034,Azle Avenue,76135,32.8156827,-97.4141149
6046,Azle Avenue,76135,32.8159306,-97.4160487
6547,Lake Worth Boulevard,76135,32.8102676,-97.4323755
6340,Lake Worth Boulevard,76135,32.8112564,-97.4238133
6604,Lake Worth Boulevard,76135,32.8140948,-97.4297726
6308,Lake Worth Boulevard,76135,32.8118676,-97.4223375
6360,Lake Worth Boulevard,76135,32.8121133,-97.4255803
6625,Lake Worth Boulevard,76135-2916,32.8113910,-97.4328640
6601,Lake Worth Boulevard,76135,32.8109570,-97.4324880
6113,Azle Avenue,76135,32.8152746,-97.4218132
6352,Lake Worth Boulevard,76135,32.8106070,-97.4240300
6338,Lake Worth Boulevard,76135,32.8112200,-97.4237600
6348,Lake Worth Boulevard,76135,32.8103730,-97.4226621
3522,Roberts Cut Off Road,76114,32.8109804,-97.4116942
6651,Lake Worth Boulevard,76135,32.8115763,-97.4348643
6120,Lake Worth Boulevard,76114,32.8080490,-97.4163041
6556,Lake Worth Boulevard,76135,32.8120247,-97.4305202
3950,Jim Wright Freeway,76135,32.8126864,-97.4180373
6244,Lake Worth Boulevard,76135,32.8102100,-97.4204940
6250,Lake Worth Boulevard,76135,32.8101650,-97.4212830
6604,Lake Worth Boulevard,76135-3000,32.8140102,-97.4300592
6360,Lake Worth Boulevard,76135,32.8123946,-97.4261045
4210,Boat Club Road,76135,32.8198576,-97.4170317
4000,Dakota Trail,76135,32.8132176,-97.4392713
3801,Merrett Drive,76135,32.8111200,-97.4388019
3501,Roberts Cut Off Road,76114,32.8111143,-97.4140626
3229,Shawnee Trail,76135,32.8046245,-97.4432310
3919,Telephone Road,76135,32.8143901,-97.4333359
6319,Lake Worth Boulevard,76135,32.8095805,-97.4241468
6042,Lake Worth Boulevard,76135,32.8062059,-97.4142121
3920,Boat Club Road,76135-3201,32.8109701,-97.4205300
3930,Jim Wright Freeway,76135,32.8106031,-97.4198071
6308,Lake Worth Boulevard,76135,32.8120229,-97.4223695
3000,Creekside Drive,76106,32.8140744,-97.4061705
3543,Jim Wright Freeway,76135,32.8137249,-97.4103189
3601,Northwest Loop 820,76106,32.8136384,-97.4106141
3541,Northwest Loop 820,76106,32.8140043,-97.4096329
6249,Lake Worth Boulevard,76135,32.8092380,-97.4212744
6301,Lake Worth Boulevard,76135,32.8093265,-97.4225180
6356,Jacksboro Highway,76135,32.8107895,-97.4251740
6327,Lake Worth Boulevard,76135,32.8097475,-97.4249600
6535,Lake Worth Boulevard,76135,32.8103950,-97.4312547
6534,Lake Worth Boulevard,76135,32.8102904,-97.4318176
3805,Adam Grubb,76135,32.8112018,-97.4365445
6724,Telephone Road,76135,32.8125880,-97.4367826
6640,Lake Worth Boulevard,76135,32.8128043,-97.4326262
