House number,Street name,Postal code,Latitude,Longitude
609,Industrial Boulevard,76654,30.5822120,-98.2892435
2600,Highway 281,78654,30.5978650,-98.2721849
318,Highway 281,78654,30.5723769,-98.2760835
909,2nd Street,78654,30.5713809,-98.2783204
2600,North US Highway 281,78654,30.5976565,-98.2722771
2510,North US Highway 281,78654,30.5972459,-98.2726137
2510,North US Highway 281,78654,30.5970428,-98.2727241
505,Boulder Creek Drive,78654,30.6033652,-98.2518654
107-A,Avenue N,78654,30.5729892,-98.2835525
404,Main Street,78654,30.5734602,-98.2767242
2510,North US Highway 281,78654,30.5968290,-98.2728053
2600,North US Highway 281,78654,30.5980774,-98.2720794
2400,Highway 281,78654,30.5951274,-98.2722115
2400,Highway 281,78654,30.5950172,-98.2722847
2312,Highway 281,78654,30.5943789,-98.2726139
2312,Highway 281,78654,30.5941732,-98.2724539
507,West Ranch Road 2147,78654,30.5609782,-98.2784921
507,West Ranch Road 2147,78654,30.5611096,-98.2783193
1503,RM 1431,78654,30.5821427,-98.2802637
2501,North US Highway 281,78654,30.5959811,-98.2704172
2508,North US Highway 281,78654,30.5962079,-98.2715990
2508,North US Highway 281,78654,30.5966336,-98.2713801
2508,North US Highway 281,78654,30.5963042,-98.2715706
2508,North US Highway 281,78654,30.5964059,-98.2715391
2508,North US Highway 281,78654,30.5964986,-98.2714836
2508,North US Highway 281,78654,30.5965662,-98.2714436
3053,US-281,78654,30.5242964,-98.2862284
101,Highway 281,78654,30.5689669,-98.2753437
809A,12th Street,78654,30.5804916,-98.2715102
206,Avenue H,78654,30.5708750,-98.2767801
705,North US Highway 281,78654,30.5754082,-98.2727507
2700,North US Highway 281,78654,30.5995814,-98.2718687
2605,North US Highway 281,78654,30.5969301,-98.2698591
2406,Highway 281,78654,30.5953479,-98.2720145
2206,Highway 281,78654,30.5934612,-98.2736929
2119,North US Highway 281,78654,30.5919858,-98.2722567
2121,North US Highway 281,78654,30.5922595,-98.2722737
2201,North US Highway 281,78654,30.5924357,-98.2721305
2301,Highway 281,78654,30.5929107,-98.2712490
2004,Commerce Street,78654,30.5921673,-98.2713183
1507,North US Highway 281,78654,30.5847459,-98.2725554
1403,North US Highway 281,78654,30.5833858,-98.2722269
1309,Mormon Mill Road,78654,30.5819789,-98.2719240
1301,Highway 281,78654,30.5823593,-98.2725430
1605,West Ranch Road 1431,78654,30.5828618,-98.2809039
230,S. Avenue J,78654,30.5687042,-98.2831157
305,Buena Vista Drive,78654,30.5672680,-98.2793975
1511,Pony Drive,78654,30.5845747,-98.2781115
1211,Highway 281,78654,30.5813864,-98.2723809
1501,RM 1431,78654,30.5816750,-98.2784618
507,West Ranch Road 1431,78654,30.5769580,-98.2691654
1700,Broadway Street,78654,30.5816066,-98.2832586
3301,North US Highway 281,78654,30.6043389,-98.2657404
1311,Mormon Mill Road,78654,30.5823866,-98.2715323
500,North US Highway 281,78654,30.5736904,-98.2752404
1008,Falls Parkway,78654,30.5872819,-98.2703957
1009,Veterans Drive,78654,30.5858583,-98.2845875
1204,Highway 281,78654,30.5809438,-98.2734158
700,Avenue N,76654,30.5787311,-98.2806203
810,West State Highway 71,78654,30.5130103,-98.3041003
1600,Mustang Drive,78654,30.5783294,-98.2564218
1700,Mustang Drive,78654,30.5799395,-98.2551863
200,West Ranch Road 1431,78654,30.5749863,-98.2654055
1101,6th Street,78654,30.5764768,-98.2776052
200,Old River Road,78654,30.5646856,-98.2758878
1106,Brazos Street,78654,30.5656623,-98.2867428
201,West Ranch Road 1431,78654,30.5758339,-98.2655908
105,West Ranch Road 1431,78654,30.5764777,-98.2645121
1804,Lacy Drive,78654,30.5853732,-98.2816445
311,North US Highway 281,78654,30.5715917,-98.2755825
810,Steve Hawkins Parkway,78654,30.5564323,-98.2734182
714,Corazon Drive,78654,30.5570392,-98.2750857
901,La Ventana Drive,78654,30.5572346,-98.2768726
302,Gateway North,78654,30.5625855,-98.2747017
301,Gateway North,78654,30.5634404,-98.2742638
4011,South US Highway 281,78654,30.5146193,-98.2911529
4015,South US Highway 281,78654,30.5131755,-98.2916592
704,1st Street,78654,30.5682622,-98.2771377
100,Avenue G,78654,30.5698664,-98.2759691
213,North US Highway 281,78654,30.5709953,-98.2759551
211,North US Highway 281,78654,30.5707772,-98.2759893
706,3rd Street,78654,30.5709034,-98.2757032
708,1st Street,78654,30.5691302,-98.2773330
702,1st Street,78654,30.5680981,-98.2766309
700,1st Street,78654,30.5680013,-98.2762604
1503,West Ranch Road 1431,78654,30.5827419,-98.2799140
1400,9th Street,78654,30.5801688,-98.2800858
2612,North US Highway 281,78654,30.6000872,-98.2696351
2903,North US Highway 281,78654,30.6011104,-98.2679444
3200,North US Highway 281,78654,30.6045843,-98.2690416
3300,North US Highway 281,78654,30.6055385,-98.2678996
3501,North US Highway 281,78654,30.6091100,-98.2664690
1601,Ollie Lane,78654,30.6101599,-98.2668153
1400,Ollie Lane,78654,30.6100966,-98.2652548
2514,North US Highway 281,78654,30.5970197,-98.2710996
1004,Pecan Circle,78654,30.5546760,-98.2908398
1002,Pecan Circle,78654,30.5546254,-98.2906009
920,Pecan Circle,78654,30.5546888,-98.2903573
1005,Pecan Circle,78654,30.5554808,-98.2907574
