House number,Street name,Postal code,Latitude,Longitude
3849,Cartwright Road,77459,29.5819438,-95.5668701
6126,Sienna Ranch Road,77459,29.5419080,-95.5491881
4724,TX 6,77459,29.5785540,-95.5820271
8900,TX 6,77459,29.5365496,-95.5358082
5402,TX Highway 6/Alvin-Sugarland Road,77459,29.5732831,-95.5753572
503,Texas Parkway,77489,29.6170413,-95.5351362
307,Texas Parkway,77489,29.6173794,-95.5360777
1511,5th Street,77489,29.6184838,-95.5340321
1701,Texas Parkway,77489,29.6020026,-95.5260516
1783,Texas Parkway,77489,29.6001742,-95.5260033
1949,Texas Parkway,77489,29.5982828,-95.5264432
2015,Texas Parkway,77489,29.5976997,-95.5262930
1530,Independence Boulevard,77489,29.5973965,-95.5253515
2203,Texas Parkway,77489,29.5956240,-95.5258826
2207,Texas Parkway,77489,29.5950503,-95.5262742
2196,Texas Parkway,77489,29.5965616,-95.5273847
2192,Texas Parkway,77489,29.5970444,-95.5281866
2190,Texas Parkway,77489,29.5972753,-95.5282135
2120,Texas Parkway,77489,29.5976134,-95.5271379
2210,Texas Parkway,77489,29.5952602,-95.5271352
2975,Texas Parkway,77489,29.5840646,-95.5257485
3007,Texas Parkway,77489,29.5827071,-95.5253757
1605,Cartwright Road,77489,29.5831293,-95.5273525
1653,Cartwright Road,77489,29.5831363,-95.5279962
1655,Cartwright Road,77489,29.5831479,-95.5282939
1673,Cartwright Road,77489,29.5825228,-95.5289967
2487,Cartwright Road,77459,29.5828960,-95.5424560
2601,Cartwright Road,77459,29.5822056,-95.5438977
2465,Murphy Road,77459,29.5828540,-95.5637232
2461,Murphy Road,77459,29.5831882,-95.5637205
3772,Cartwright Road,77459,29.5834879,-95.5637225
3819,Cartwright Road,77459,29.5814959,-95.5646399
3845,Cartwright Road,77459,29.5815192,-95.5661795
2604,Murphy Road,77459,29.5809244,-95.5649617
5805,Alvin Sugarland Road,77459,29.5696340,-95.5671880
3434,Murphy Road,77459,29.5702638,-95.5644736
3334-400,Murphy Road,77459,29.5712530,-95.5645540
3833,Murphy Road,77459,29.5654604,-95.5634221
6120,Alvin Sugarland Road,77459,29.5650311,-95.5650449
6200,Alvin Sugarland Road,77459,29.5636313,-95.5655009
6000,Alvin Sugarland Road,77459,29.5657916,-95.5677915
5752,Alvin Sugarland Road,77459,29.5691044,-95.5705756
5005,TX Highway 6/Alvin-Sugarland Road,77459,29.5771992,-95.5766803
4895,State Highway 6,77459,29.5791773,-95.5796736
4875,State Highway 6,77459,29.5797324,-95.5805159
4811,State Highway 6,77459,29.5810527,-95.5805963
4042,Lakeshore Harbor Boulevard,77459,29.5363221,-95.5226217
6016,Sienna Ranch Road,77459,29.5431629,-95.5481738
1902,Texas Parkway,77489,29.5982098,-95.5273253
2621,Court Road,77489,29.5904199,-95.5425656
